Avg degree: 10.638297872340425

Gene	Degree
PRKAG1	139
L2HGDH	124
FARP2	89
PTEN	74
TFAP2D	67
RBFOX1	63
LPL	52
CNNM2	48
RNY1P8	41
TTC28	38
AC011495.1	36
MTHFR	33
AC087664.2	33
BCAS3	32
AC007493.1	32
HOXB7	30
UFL1	27
CDC16	26
SVEP1	23
AMPD3	23
NAA60	22
HOXC4	22
AC004917.1	22
CHST9	21
LATS2	20
TMEM161B	19
RAD52	19
ZNF318	18
LRCH1	17
APOB	17
NADK	16
KCNK3	16
GLIS3	16
AGBL4	16
HTRA1	15
FAM13A	15
C12orf75	15
STK39	14
LINC02151	14
KDF1	14
HOXA3	14
RPL17P50	13
PREX2	13
TUBBP2	12
INPP5A	12
PRKAG2	11
NPR3	11
LSP1	11
INSR	11
GRIN2B	11
FBRSL1	11
FBN2	11
C5orf67	11
