Avg eigenvector: 0.05064236017608202

Gene	eigenvector
PRKAG1	0.2962937649197789
L2HGDH	0.28511718770009237
FARP2	0.25461014951832217
PTEN	0.22571969716872906
TFAP2D	0.20884979053117206
RBFOX1	0.2076216617707422
CNNM2	0.18103457406073184
LPL	0.1702835651670754
RNY1P8	0.16170073452260394
AC011495.1	0.1539720607262329
TTC28	0.14635087255563287
AC007493.1	0.14573777775732882
BCAS3	0.14297292178030016
AC087664.2	0.13302027816075265
MTHFR	0.13096563663081215
UFL1	0.12866428983839834
CDC16	0.12328282097540356
HOXC4	0.12267173292677094
HOXB7	0.12214515899457831
SVEP1	0.12178618390779541
NAA60	0.11335085500227834
AMPD3	0.11211930878167185
AC004917.1	0.10574408571312216
CHST9	0.10321146087220545
LATS2	0.09922899675011729
RAD52	0.0925638451345145
LRCH1	0.09019509546725402
ZNF318	0.08879708423456717
KDF1	0.08844933509421217
APOB	0.08544425166876143
KCNK3	0.08495437918546705
LINC02151	0.08187607815835785
TMEM161B	0.08140638493369506
HTRA1	0.0808428234099763
HOXA3	0.08073104702287322
NADK	0.0803649080792106
STK39	0.0795340687292862
GLIS3	0.07942387756318176
AGBL4	0.0771034452199307
FAM13A	0.0769788283498041
PREX2	0.07584056330773836
NPR3	0.07293351989219328
C5orf67	0.07138286564684251
INPP5A	0.07103126487777545
FBRSL1	0.06940911579667618
C12orf75	0.06876013750432607
PRKAG2	0.06857740267170843
TUBBP2	0.06524358699916936
INSR	0.06509995254214533
LSP1	0.06448069499409456
RPL17P50	0.06424120203598085
NCALD	0.06259091020016215
FBN2	0.062412831671197336
ATP2B1	0.06231353956018367
CSRP3	0.061365365752613914
HNF4GP1	0.060403888650855185
PDE11A	0.059685582532464906
LRBA	0.05943959667519092
EBF2	0.057643263059643735
OR4A16	0.057019898528375176
USP4	0.056180696901805174
CLN8	0.05525660766037797
GRIN2B	0.05411861470709697
SPRY4	0.05404694683635199
KLF14	0.05295030991585702
AC018735.1	0.05292285917837827
AL590080.1	0.052462752481943764
ATAD5	0.05221789015321813
PCCB	0.05139865528592428
