Avg bridging: 2.4779226029422627e-05

Gene	bridging
LINC02398	0.004586480477274334
SENP2	0.00233709558441972
MTAP	0.00044559110244524105
LINC00211	0.0004235794136985262
CDK17	0.00020228414842990474
TGFB2	1.2431547475665124e-06
SDCCAG8	1.2431547475665124e-06
RERE	1.2431547475665124e-06
POU2F1	1.2431547475665124e-06
PIK3R3	1.2431547475665124e-06
PBX1	1.2431547475665124e-06
NAV1	1.2431547475665124e-06
LINC01762	1.2431547475665124e-06
LINC01320	1.2431547475665124e-06
LAMC1	1.2431547475665124e-06
DNM3	1.2431547475665124e-06
DNAJB4	1.2431547475665124e-06
CDC42BPA	1.2431547475665124e-06
CD160	1.2431547475665124e-06
CAPZA1	1.2431547475665124e-06
CAMTA1	1.2431547475665124e-06
ARHGAP29	1.2431547475665124e-06
AL445466.1	1.2431547475665124e-06
AGT	1.2431547475665124e-06
ZBTB38	4.091069608932884e-07
VPS54	4.091069608932884e-07
TASOR	4.091069608932884e-07
SULT1C3	4.091069608932884e-07
SPR	4.091069608932884e-07
RPL24P7	4.091069608932884e-07
RPL17P12	4.091069608932884e-07
PRSS44P	4.091069608932884e-07
PPP4R3B	4.091069608932884e-07
PLCXD2	4.091069608932884e-07
PDE1A	4.091069608932884e-07
LINC01940	4.091069608932884e-07
GRM7	4.091069608932884e-07
GMPPA	4.091069608932884e-07
EML4	4.091069608932884e-07
DENND6A-DT	4.091069608932884e-07
ADAMTS9	4.091069608932884e-07
ACVR1C	4.091069608932884e-07
ACTBP13	4.091069608932884e-07
ACMSD	4.091069608932884e-07
AC099535.1	4.091069608932884e-07
AC092484.1	4.091069608932884e-07
AC018866.2	4.091069608932884e-07
AC016745.1	4.091069608932884e-07
ZSCAN2	0.0
ZNF692	0.0
ZNF652	0.0
ZNF462	0.0
ZNF423	0.0
ZNF101	0.0
ZNF100	0.0
ZFP36L1	0.0
ZFAT	0.0
ZFAND2A	0.0
ZC3HC1	0.0
ZAP70	0.0
Z98880.1	0.0
YPEL3	0.0
WNT3A	0.0
WDR90	0.0
WAC	0.0
UMOD	0.0
UBE2E3	0.0
UBE2D3	0.0
UBASH3B	0.0
TRMT10C	0.0
TPTE2P5	0.0
TNS1	0.0
TMEM44	0.0
TMEM107	0.0
TM6SF1	0.0
THSD4	0.0
TEX41	0.0
TDRD5	0.0
TBC1D19	0.0
SYNPO2	0.0
SWAP70	0.0
STN1	0.0
STARD6	0.0
SSPN	0.0
SOX6	0.0
SORCS3	0.0
SORBS3	0.0
SNX6	0.0
SNX31	0.0
SLCO3A1	0.0
SLC9A3R2	0.0
SLC8A1	0.0
SLC7A2	0.0
SLC39A8	0.0
SLC35F1	0.0
SLC25A5P9	0.0
SLC25A37	0.0
SIK2	0.0
SH3TC2	0.0
SH2B3	0.0
SEPTIN9	0.0
SELENOKP3	0.0
SCN2A	0.0
SBNO1	0.0
RXFP2	0.0
RPS4XP18	0.0
RPS27P25	0.0
RPS27	0.0
RNU6-1145P	0.0
RNASEH2B	0.0
RIMKLB	0.0
RGS17	0.0
RGL3	0.0
REEP3	0.0
RBMS3	0.0
RAPSN	0.0
RAPGEF5	0.0
PTPRD	0.0
PTK2	0.0
PRDM16	0.0
PPM1E	0.0
PPL	0.0
POLN	0.0
POLD3	0.0
PLK2	0.0
PLEKHH1	0.0
PLEKHG1	0.0
PKHD1	0.0
PKD2L1	0.0
PIEZO2	0.0
PIAS1	0.0
PHIP	0.0
PFKFB2	0.0
PDP2	0.0
PDE5A	0.0
PDE10A	0.0
