Avg centroid_value: -316.5925925925926

Gene	centroid_value
AC011518.1	76
CDK17	-76
MTAP	-140
LINC02398	-203
SENP2	-225
LINC00211	-281
TGFB2	-317
SDCCAG8	-317
RERE	-317
POU2F1	-317
PIK3R3	-317
PBX1	-317
NAV1	-317
LINC01762	-317
LINC01320	-317
LAMC1	-317
DNM3	-317
DNAJB4	-317
CDC42BPA	-317
CD160	-317
CAPZA1	-317
CAMTA1	-317
ARHGAP29	-317
AL445466.1	-317
AGT	-317
ZNF692	-318
ZBTB38	-318
WNT3A	-318
VPS54	-318
TDRD5	-318
TASOR	-318
SULT1C3	-318
SPR	-318
RPS27	-318
RPL24P7	-318
RPL17P12	-318
PRSS44P	-318
PRDM16	-318
PPP4R3B	-318
PLCXD2	-318
PFKFB2	-318
PDE1A	-318
PABPC4	-318
MIR4421	-318
MECR	-318
MDM4	-318
LRRC8C	-318
LINC01940	-318
LINC01738	-318
HAX1	-318
GRM7	-318
GPATCH2	-318
GMPPA	-318
EML4	-318
DENND6A-DT	-318
COLEC11	-318
CLCNKA	-318
AL445648.1	-318
AL139420.2	-318
ADORA1	-318
ADAMTS9	-318
ACVR1C	-318
ACTBP13	-318
ACMSD	-318
AC099535.1	-318
AC092484.1	-318
AC018866.2	-318
AC016745.1	-318
ZC3HC1	-319
ZAP70	-319
Z98880.1	-319
UBE2E3	-319
TRMT10C	-319
TNS1	-319
TMEM44	-319
TEX41	-319
TBC1D19	-319
SNX31	-319
SLC8A1	-319
SLC35F1	-319
SLC25A5P9	-319
SLC25A37	-319
SELENOKP3	-319
SCN2A	-319
RNU6-1145P	-319
RBMS3	-319
RAPGEF5	-319
PTK2	-319
PLK2	-319
PLEKHG1	-319
PKHD1	-319
PDE10A	-319
OSGIN2	-319
OPRM1	-319
NUDT3	-319
NOS3	-319
MXD3	-319
MRAS	-319
MLF1	-319
MINDY4	-319
MERTK	-319
MECOM	-319
MARK2P10	-319
MAP3K20	-319
LINC01890	-319
KLF7	-319
KCNK5	-319
HSPA4	-319
HFE	-319
GTF2I	-319
GRIFIN	-319
GPR20	-319
GNB4	-319
FGF5	-319
FAHD2CP	-319
EXOC6B	-319
ENPEP	-319
DGKB	-319
DENND2A	-319
CYP27A1	-319
CPEB4	-319
CDC25A	-319
CCM2	-319
CCDC141	-319
CACNA1D	-319
BCKDHB	-319
AUTS2	-319
ATXN7	-319
ARHGAP15	-319
ARAP2	-319
AL592429.2	-319
AL591518.1	-319
AL356534.1	-319
AL157371.2	-319
AL121981.1	-319
AKR1B10	-319
AGPAT4	-319
AC116366.3	-319
AC109925.1	-319
AC108047.1	-319
AC068985.1	-319
AC023347.1	-319
AC016735.1	-319
AC009498.1	-319
AC009480.2	-319
AC009296.1	-319
AC007652.2	-319
AC007100.1	-319
ZNF462	-320
ZFAT	-320
ZFAND2A	-320
WAC	-320
UBE2D3	-320
SYNPO2	-320
STN1	-320
SORBS3	-320
SLC7A2	-320
SLC39A8	-320
SH3TC2	-320
RGS17	-320
RAPSN	-320
PTPRD	-320
POLN	-320
POLD3	-320
PKD2L1	-320
PHIP	-320
PDE5A	-320
PALM2AKAP2	-320
MCPH1	-320
LY6E-DT	-320
LRRC10B	-320
LMO1	-320
LINC02235	-320
LINC01339	-320
LINC01006	-320
LEF1	-320
KIF2A	-320
IRX1	-320
IGFBP7	-320
GUCY1A1	-320
GABBR1	-320
GAB2	-320
FRK	-320
EXOC5P1	-320
EIF2AP4	-320
DUSP1	-320
DPYSL2	-320
DCDC1	-320
CYP2C19	-320
CLPB	-320
CABCOCO1	-320
C1GALT1	-320
BTRC	-320
BEND7	-320
BANK1	-320
BAG3	-320
AZIN1	-320
ARNTL	-320
ARHGEF17	-320
AP001533.1	-320
AP000820.2	-320
AL590226.2	-320
AL353614.1	-320
AL136367.1	-320
AL035467.2	-320
AEBP2	-320
ADO	-320
AC109322.2	-320
AC106822.1	-320
AC098588.2	-320
UBASH3B	-321
SWAP70	-321
SSPN	-321
SOX6	-321
SORCS3	-321
SIK2	-321
RIMKLB	-321
REEP3	-321
OR51E1	-321
NTN4	-321
NACA	-321
MYEOV	-321
MXI1	-321
