Avg centroid_value: -270.2826086956522

Gene	centroid_value
CSK	24
SH2B3	-24
FGF5	-71
RGL3	-113
SDCCAG8	-180
ARHGAP42	-194
AC022308.1	-200
FES	-234
AL050403.2	-236
CPEB4	-237
ZNF831	-238
DBH	-240
ADO	-240
SLC39A8	-241
ZC3HC1	-242
TEX41	-242
CACNB2	-242
INO80	-244
DNM3	-244
CLPB	-244
AL121981.1	-244
AGT	-244
SOX6	-245
SLC25A37	-245
REEP3	-245
PDE1A	-245
NAV1	-245
MECOM	-245
CCNE1	-245
AC092484.1	-245
UBASH3B	-246
TNS1	-246
RPL17P12	-246
PKD2L1	-246
PIEZO2	-246
GDF2	-246
AL445648.1	-246
AC016735.1	-246
ZFAND2A	-247
ZBTB38	-247
PALM2AKAP2	-247
GABBR1	-247
FAM186A	-247
FAHD2CP	-247
ENPEP	-247
DCDC1	-247
AUTS2	-247
ATP10A	-247
ARHGAP15	-247
AL590226.2	-247
AL356534.1	-247
ADRB1	-247
AC109322.2	-247
AC008125.1	-247
SYNPO2	-248
SSPN	-248
SLCO3A1	-248
SLC9A3R2	-248
RBMS3	-248
PTK2	-248
PLEKHG1	-248
PKHD1	-248
PHIP	-248
MIR4421	-248
LINC01738	-248
KIF26A	-248
HAS3	-248
EXOC5P1	-248
CCM2	-248
AL157371.2	-248
AL121885.2	-248
AC016745.1	-248
AC009387.1	-248
AC009296.1	-248
AC006206.2	-248
MTAP	-249
LY6E-DT	-249
UBE2D3	-250
KIF2A	-250
AP1B1P1	-250
AL592429.2	-250
AC055878.1	-250
ZFP36L1	-251
SPR	-251
SLC35F1	-251
SLC25A5P9	-251
SENP2	-251
RPS4XP18	-251
RIMKLB	-251
PDE10A	-251
NOS3	-251
MRAS	-251
MAP3K20	-251
LMO1	-251
LINC01571	-251
LINC00211	-251
LAMC1	-251
KCNK5	-251
KCNB1	-251
HRCT1	-251
HM13	-251
GNB4	-251
CCDC68	-251
BCAS2P3	-251
ARHGEF17	-251
AL035467.2	-251
ADORA1	-251
ACTBP13	-251
AC023347.1	-251
AC022031.2	-251
AC009480.2	-251
SH3TC2	-252
WNT3A	-254
HFE	-254
DPF3	-254
CAPZA1	-254
AC116366.3	-254
PXMP4	-255
PRDM16	-255
NACA	-255
MYEOV	-255
MARK3	-255
LINC02398	-255
LINC01339	-255
GRM7	-255
EXOC6B	-255
DUSP1	-255
DNAJB4	-255
CYP27A1	-255
CERS5	-255
CCDC141	-255
AL157756.1	-255
AC009498.1	-255
ACOX1	-258
ZAP70	-259
YPEL3	-259
TPTE2P5	-259
TGFB2	-259
TBC1D19	-259
SLC8A1	-259
SIK2	-259
SCN2A	-259
RPL24P7	-259
RERE	-259
PTPRD	-259
PPM1E	-259
PLK2	-259
MGA	-259
MARK2P10	-259
LRP4	-259
LINC01940	-259
LINC01890	-259
GTF2I	-259
GRIFIN	-259
GPATCH2	-259
GAB2	-259
DPEP1	-259
CYP2C19	-259
BCKDHB	-259
ATXN7	-259
AL353614.1	-259
AKR1B10	-259
AGPAT4	-259
AC126178.1	-259
AC099518.3	-259
AC040173.2	-259
AC012409.2	-259
AC011518.1	-259
AC007100.1	-259
ZNF462	-262
CABCOCO1	-264
DGKB	-266
COLEC11	-266
BANK1	-266
AC109925.1	-266
SBNO1	-267
LRRC10B	-268
STN1	-269
GUCY1A1	-269
DENND6A-DT	-269
CDC25A	-269
SEPTIN9	-270
LINC01975	-270
CACNA1C	-270
BAG3	-270
AL137781.1	-270
TM6SF1	-272
SWAP70	-272
RXFP2	-272
MYO9B	-272
FBXL19	-272
CMIP	-272
ARHGAP29	-272
ACMSD	-272
