Avg bridging: 3.1232640990422695e-05

Gene	bridging
SH2B3	0.003154920054021483
FGF5	0.0017250169677351995
CSK	0.0012693554795119978
RGL3	0.0012062125530720783
AC022308.1	0.0008087890555441898
SDCCAG8	0.0007348383388991044
ARHGAP42	0.0006267673606006233
CPEB4	0.00011697505066555175
SLC39A8	8.193198082019065e-05
ZC3HC1	6.0270959911692794e-05
FES	5.5685335933792956e-05
ZNF831	4.5811324594191165e-05
AL050403.2	4.350674506558356e-05
ADO	4.1570278659017895e-05
DBH	3.5958522015054504e-05
CACNB2	3.579363673291834e-05
