Avg betweenness: 0.007966789113602532

Gene	betweenness
DACH1	0.2970974066507377
PLEKHG1	0.09840233664331687
CABCOCO1	0.09314718386364419
AC016735.1	0.09096318504458344
RPS27	0.0698144384645472
ZFAND2A	0.06295694504724093
LRRC10B	0.04755142032188463
ATP12A	0.046417024256261145
PRSS44P	0.042746060276901754
MECR	0.040893398231333075
GABBR1	0.022855142400522683
MORC3	0.01866437338251196
SLC39A8	0.017670468723357462
GPR20	0.016893991167314038
GAB2	0.013925357111818427
CCDC63	0.008533159964564553
BANK1	0.006769592046788369
CYP27A1	0.006473328684148809
AC055878.1	0.0061271266451208735
GDF2	0.004872762273708375
MIR4421	0.004538977813258579
NEDD4L	0.004051888265059064
RPS27P25	0.002809847145959267
POLN	0.002440854260918318
PDP2	0.0023799959060231625
FRS2	0.002250556527022999
HFE	0.0019578992130082767
EXOC5P1	0.001848050001410551
AC009387.1	0.0015813258516145312
SLC35F1	0.0007551963503732374
SLC7A2	0.0006839893273013417
AC108047.1	0.0006482777265844442
DNAJB4	0.0006170892592423293
BTRC	0.0006163324998317024
AL591518.1	0.0005636118407041156
DBH	0.00041240440619007176
ZFP36L1	0.0003129150514934103
AC023347.1	0.00030434931943963044
ENPEP	0.0002610582496574177
HAX1	0.0001946518702178205
MXI1	0.000191459079511052
TDRD5	0.00015076406936727604
KLF7	0.0001349252942240198
HSPA4	0.00013068244284702245
RBMS3	0.000105041350378576
PABPC4	9.507413821907078e-05
PRDM16	9.473423144452238e-05
AC018866.2	9.315064339690062e-05
ASXL3	9.299488706475734e-05
NRG4	8.86235544900211e-05
SORCS3	6.493578199004557e-05
PALM2AKAP2	6.393349811217852e-05
UBASH3B	6.051872330942099e-05
CCKBR	6.0328297214471095e-05
MMP14	4.147015774922752e-05
ZBTB38	3.0420781762463335e-05
DPEP1	2.8826143017229486e-05
KIF2A	2.629247320855005e-05
MARK3	2.261038767877148e-05
NUDT3	2.1184445909048112e-05
AC068985.1	2.053932286490426e-05
FBXL19	2.0266504534630392e-05
UBE2D3	6.625588020936858e-06
ZNF831	0.0
ZNF652	0.0
ZAP70	0.0
TPTE2P5	0.0
TEX41	0.0
TCEA2	0.0
SYNPO2	0.0
SSPN	0.0
SPR	0.0
SORBS3	0.0
SLC25A37	0.0
SIK2	0.0
SH2B3	0.0
SEPTIN9	0.0
RERE	0.0
PXMP4	0.0
PKD2L1	0.0
PIK3R3	0.0
PDE1A	0.0
PDE10A	0.0
OR51E1	0.0
OPRM1	0.0
NTN4	0.0
NOS3	0.0
NCOR2	0.0
MYEOV	0.0
MRAS	0.0
MLF1	0.0
MINDY4	0.0
LINC02398	0.0
LINC01940	0.0
LINC01738	0.0
LINC01339	0.0
LINC00322	0.0
HRCT1	0.0
HM13	0.0
HAS3	0.0
GTF2I	0.0
GNB4	0.0
GMPPA	0.0
FAM186A	0.0
EXOC6B	0.0
EIF2AP4	0.0
DUSP1	0.0
DPYSL2	0.0
COLEC11	0.0
CLPB	0.0
CD160	0.0
CCM2	0.0
CCDC68	0.0
CCDC33	0.0
CCDC141	0.0
CAPZA1	0.0
C11orf24	0.0
ATXN7	0.0
ARHGEF17	0.0
AP000820.2	0.0
AL136367.1	0.0
ADRB1	0.0
ADORA1	0.0
ACVR1C	0.0
ACOX1	0.0
AC109322.2	0.0
AC022031.2	0.0
AC016745.1	0.0
AC011518.1	0.0
AC007652.2	0.0
AC006206.2	0.0
