Avg bridging: 0.0008390080379886884

Gene	bridging
MECR	0.009750805649937348
CABCOCO1	0.008843442916015326
GABBR1	0.007322881459417396
PLEKHG1	0.007220716372598705
AC016735.1	0.007050983293458263
ATP12A	0.006558180722272567
RPS27	0.005500825581266448
ZFAND2A	0.005458855730178192
PRSS44P	0.00470427155076165
LRRC10B	0.0043982877605011576
MORC3	0.004176918666269293
GPR20	0.004007585708931813
DACH1	0.003942566195814134
SLC39A8	0.0029699013849521206
GAB2	0.0024920758196707075
CCDC63	0.0024170658104892308
CYP27A1	0.0023325067283752614
MIR4421	0.00225174260532194
NEDD4L	0.002015039600261701
BANK1	0.0018419717725943257
AC055878.1	0.0017865731487985113
FRS2	0.0014786455281646342
GDF2	0.001403887500816271
PDP2	0.0011421174819057675
POLN	0.0010972543467686932
RPS27P25	0.0009367128881448349
AC009387.1	0.0008797628372881467
HFE	0.0008667298200640318
EXOC5P1	0.0008247709204004484
AC108047.1	0.00042940982101825876
SLC35F1	0.00036752511804555337
AL591518.1	0.0003323991665869986
SLC7A2	0.00031524722819961377
BTRC	0.00030151581445858036
DNAJB4	0.0002949366787061744
DBH	0.0002315414234420759
ZFP36L1	0.00020236632712695255
AC023347.1	0.00019985761469411316
ENPEP	0.0001735189995473411
HAX1	0.00014276135462266984
MXI1	0.00014203291420296525
TDRD5	0.00010965972717224821
KLF7	0.00010057984061594434
HSPA4	8.739484826812117e-05
RBMS3	7.861958436425866e-05
PABPC4	7.610880701183165e-05
PRDM16	7.367383751426428e-05
AC018866.2	7.013275527879842e-05
NRG4	6.712488614915055e-05
ASXL3	6.699607351008887e-05
CCKBR	5.335711535947374e-05
SORCS3	5.197025934661603e-05
PALM2AKAP2	4.787632788568158e-05
UBASH3B	4.583037331569774e-05
MMP14	3.1348059927909625e-05
ZBTB38	2.5460857918608998e-05
DPEP1	2.396080588423701e-05
KIF2A	2.1708130194366877e-05
AC068985.1	1.6770873791723788e-05
FBXL19	1.6575619044598354e-05
MARK3	1.6562734932609034e-05
NUDT3	1.6313757476686123e-05
UBE2D3	5.8354394650589395e-06
ZNF831	0.0
ZNF652	0.0
ZAP70	0.0
TPTE2P5	0.0
TEX41	0.0
TCEA2	0.0
SYNPO2	0.0
SSPN	0.0
SPR	0.0
SORBS3	0.0
SLC25A37	0.0
SIK2	0.0
SH2B3	0.0
SEPTIN9	0.0
RERE	0.0
PXMP4	0.0
PKD2L1	0.0
PIK3R3	0.0
PDE1A	0.0
PDE10A	0.0
OR51E1	0.0
OPRM1	0.0
NTN4	0.0
NOS3	0.0
NCOR2	0.0
MYEOV	0.0
MRAS	0.0
MLF1	0.0
MINDY4	0.0
LINC02398	0.0
LINC01940	0.0
LINC01738	0.0
LINC01339	0.0
LINC00322	0.0
HRCT1	0.0
HM13	0.0
HAS3	0.0
GTF2I	0.0
GNB4	0.0
GMPPA	0.0
FAM186A	0.0
EXOC6B	0.0
EIF2AP4	0.0
DUSP1	0.0
DPYSL2	0.0
COLEC11	0.0
CLPB	0.0
CD160	0.0
CCM2	0.0
CCDC68	0.0
CCDC33	0.0
CCDC141	0.0
CAPZA1	0.0
C11orf24	0.0
ATXN7	0.0
ARHGEF17	0.0
AP000820.2	0.0
AL136367.1	0.0
ADRB1	0.0
ADORA1	0.0
ACVR1C	0.0
ACOX1	0.0
AC109322.2	0.0
AC022031.2	0.0
AC016745.1	0.0
AC011518.1	0.0
AC007652.2	0.0
AC006206.2	0.0
