Avg eigenvector: 0.06381550893710378

Gene	eigenvector
DACH1	0.23820520744795093
AC016735.1	0.2094408175916122
PLEKHG1	0.20704895822548192
ZFAND2A	0.2048966855656945
RPS27	0.20438348128416947
LRRC10B	0.20365413574847624
CABCOCO1	0.19744070297923283
PRSS44P	0.19247019004973212
ATP12A	0.18566481685725808
SLC39A8	0.17808876728866463
GAB2	0.17428000625124254
MORC3	0.16550837168269428
GPR20	0.15916170165609625
GDF2	0.15688801125082008
MECR	0.1563932515612695
BANK1	0.15503721511634477
CCDC63	0.15391922526650317
AC055878.1	0.14901603847427725
RPS27P25	0.14489886655795137
GABBR1	0.14177714485244422
CYP27A1	0.13669045521689444
DNAJB4	0.12686883460635964
HFE	0.1260382673148764
SLC35F1	0.12192095565447338
SLC7A2	0.12087306815171998
EXOC5P1	0.1185690277464234
POLN	0.11675511365363261
BTRC	0.11500819852702177
MIR4421	0.11312364897220745
NEDD4L	0.11120077561291475
DBH	0.10769964219029345
PDP2	0.0984221514503707
AC009387.1	0.09348770083008234
AL591518.1	0.09204082825275195
ENPEP	0.0877305938279369
ZFP36L1	0.08450853842223717
FRS2	0.08252622077397175
AC108047.1	0.08170336341737866
ASXL3	0.0813298705894058
MMP14	0.07300051854127969
HAX1	0.07259103002569432
UBASH3B	0.07226306209409236
HSPA4	0.07199520425272392
MARK3	0.06877982518489681
SORCS3	0.06842787278264018
AC018866.2	0.06831308772945202
RBMS3	0.06798164854209097
TDRD5	0.0675844994609215
PRDM16	0.06526567133235568
NRG4	0.06406586840133163
AC068985.1	0.06243750895623805
PABPC4	0.06109812395660617
PALM2AKAP2	0.06025719585199853
HRCT1	0.059611008085723664
AC023347.1	0.058360459893787964
NUDT3	0.05693860346157441
KIF2A	0.05437697404278752
KLF7	0.05343579142302177
NTN4	0.05050611678489182
SORBS3	0.05016636336126376
MXI1	0.04882215650635941
DPEP1	0.04843093545032367
AL136367.1	0.04782248910687494
MRAS	0.04419480055432463
AC109322.2	0.04240430782786967
CLPB	0.04137687119252766
LINC01738	0.040486221061711014
UBE2D3	0.040098297239288004
ZBTB38	0.03788312832065194
CCKBR	0.03740809820364039
CAPZA1	0.03719917328752136
ARHGEF17	0.03665290748273144
AC011518.1	0.03620816430389985
FBXL19	0.03596811284838675
CCM2	0.03516503796101588
OPRM1	0.03360020915047252
ADORA1	0.032757102093105804
ZNF831	0.031022198996805812
MINDY4	0.03098170227754446
NCOR2	0.028612424917409406
GNB4	0.028516522321713634
ACOX1	0.028417740601501595
TEX41	0.025642269537796827
PDE10A	0.024876574387698986
NOS3	0.024737166863697608
AC007652.2	0.024248363626721437
CCDC68	0.022430725001115537
PIK3R3	0.020075342787394552
LINC01339	0.020001612556038665
SH2B3	0.019342470629533818
AC016745.1	0.019150944246040136
COLEC11	0.01824868794464854
LINC01940	0.01743517746610693
GMPPA	0.017349735083813378
ATXN7	0.017264404256177576
DUSP1	0.01713827430570516
ZAP70	0.01696873050619338
TCEA2	0.016771448477172844
HM13	0.015719204833589927
HAS3	0.013746232578561435
ADRB1	0.013724288851946884
RERE	0.013657949070408484
PKD2L1	0.013642127362761635
CD160	0.013619652158590415
MLF1	0.012615419524172857
TPTE2P5	0.01202261737920641
PDE1A	0.012018379720852644
CCDC141	0.011557204260931273
SIK2	0.011276252798355948
SLC25A37	0.01076988545613822
ZNF652	0.00734232845449863
SYNPO2	0.00734232845449863
SEPTIN9	0.00734232845449863
FAM186A	0.00734232845449863
EXOC6B	0.00734232845449863
CCDC33	0.00734232845449863
AP000820.2	0.00734232845449863
ACVR1C	0.00734232845449863
AC022031.2	0.00734232845449863
SPR	0.006455690628804137
OR51E1	0.006455690628804137
SSPN	0.006381960397448253
PXMP4	0.006381960397448253
GTF2I	0.006381960397448253
DPYSL2	0.006315620615909854
LINC02398	0.0060857973205981
LINC00322	0.0060857973205981
C11orf24	0.0060857973205981
MYEOV	0.005722818470943406
AC006206.2	0.0048205621695518105
EIF2AP4	0.0043700305406648935
