Avg radiality: 3.010745742806812

Gene	radiality
DACH1	3.8230769230769233
AC016735.1	3.5846153846153848
PLEKHG1	3.576923076923077
RPS27	3.5538461538461537
ZFAND2A	3.546153846153846
LRRC10B	3.546153846153846
CABCOCO1	3.546153846153846
PRSS44P	3.4923076923076923
ATP12A	3.4615384615384617
SLC39A8	3.423076923076923
MECR	3.3923076923076922
GAB2	3.3923076923076922
MORC3	3.376923076923077
GPR20	3.3692307692307693
GDF2	3.330769230769231
BANK1	3.330769230769231
AC055878.1	3.330769230769231
CCDC63	3.3230769230769233
GABBR1	3.3076923076923075
RPS27P25	3.292307692307692
CYP27A1	3.292307692307692
HFE	3.253846153846154
SLC7A2	3.230769230769231
SLC35F1	3.230769230769231
EXOC5P1	3.230769230769231
NEDD4L	3.223076923076923
MIR4421	3.223076923076923
DNAJB4	3.223076923076923
BTRC	3.2153846153846155
POLN	3.2
AC009387.1	3.2
AL591518.1	3.1846153846153844
DBH	3.169230769230769
PDP2	3.1538461538461537
FRS2	3.1538461538461537
ZFP36L1	3.146153846153846
ENPEP	3.146153846153846
ASXL3	3.1384615384615384
UBASH3B	3.123076923076923
TDRD5	3.123076923076923
AC108047.1	3.123076923076923
HSPA4	3.1076923076923078
SORCS3	3.1
NRG4	3.1
MMP14	3.1
HRCT1	3.1
RBMS3	3.0923076923076924
MARK3	3.0923076923076924
HAX1	3.0923076923076924
PALM2AKAP2	3.0846153846153848
PABPC4	3.0846153846153848
PRDM16	3.076923076923077
AC068985.1	3.076923076923077
AC023347.1	3.076923076923077
AC018866.2	3.076923076923077
KLF7	3.0615384615384613
DPEP1	3.0615384615384613
ZBTB38	3.046153846153846
UBE2D3	3.0384615384615383
MXI1	3.0384615384615383
MRAS	3.0384615384615383
AL136367.1	3.0384615384615383
NTN4	3.0307692307692307
LINC01738	3.0307692307692307
SORBS3	3.023076923076923
KIF2A	3.0153846153846153
ADORA1	3.0076923076923077
NUDT3	3.0
AC109322.2	3.0
AC011518.1	3.0
ZNF831	2.9846153846153847
MINDY4	2.9846153846153847
OPRM1	2.976923076923077
NCOR2	2.976923076923077
FBXL19	2.976923076923077
CCKBR	2.976923076923077
CCM2	2.9615384615384617
PDE10A	2.953846153846154
TEX41	2.9307692307692306
COLEC11	2.9307692307692306
CLPB	2.9307692307692306
CAPZA1	2.9307692307692306
AC016745.1	2.923076923076923
LINC01339	2.9153846153846152
PKD2L1	2.9
PIK3R3	2.9
AC007652.2	2.9
ADRB1	2.8923076923076922
RERE	2.8846153846153846
ATXN7	2.8846153846153846
SH2B3	2.876923076923077
LINC01940	2.876923076923077
ARHGEF17	2.876923076923077
ACOX1	2.876923076923077
GMPPA	2.8692307692307693
CD160	2.853846153846154
SLC25A37	2.8384615384615386
ZNF652	2.830769230769231
SYNPO2	2.830769230769231
SEPTIN9	2.830769230769231
FAM186A	2.830769230769231
EXOC6B	2.830769230769231
CCDC33	2.830769230769231
AP000820.2	2.830769230769231
ACVR1C	2.830769230769231
AC022031.2	2.830769230769231
GNB4	2.792307692307692
TCEA2	2.730769230769231
DUSP1	2.730769230769231
ZAP70	2.723076923076923
NOS3	2.723076923076923
CCDC68	2.7153846153846155
HM13	2.6923076923076925
PDE1A	2.6846153846153844
MLF1	2.6846153846153844
HAS3	2.6846153846153844
TPTE2P5	2.6615384615384614
SIK2	2.6538461538461537
CCDC141	2.6538461538461537
SPR	2.5923076923076924
OR51E1	2.5923076923076924
SSPN	2.5846153846153848
PXMP4	2.5846153846153848
GTF2I	2.5846153846153848
LINC02398	2.5538461538461537
LINC00322	2.5538461538461537
DPYSL2	2.5538461538461537
C11orf24	2.5538461538461537
MYEOV	2.4692307692307693
AC006206.2	2.4
EIF2AP4	2.3153846153846156
