Avg bridging: 0.0008390080379886884

Gene	bridging
MECR	0.009750805649937348
CABCOCO1	0.008843442916015326
GABBR1	0.007322881459417396
PLEKHG1	0.007220716372598705
AC016735.1	0.007050983293458263
ATP12A	0.006558180722272567
RPS27	0.005500825581266448
ZFAND2A	0.005458855730178192
PRSS44P	0.00470427155076165
LRRC10B	0.0043982877605011576
MORC3	0.004176918666269293
GPR20	0.004007585708931813
DACH1	0.003942566195814134
SLC39A8	0.0029699013849521206
GAB2	0.0024920758196707075
CCDC63	0.0024170658104892308
CYP27A1	0.0023325067283752614
MIR4421	0.00225174260532194
NEDD4L	0.002015039600261701
BANK1	0.0018419717725943257
AC055878.1	0.0017865731487985113
FRS2	0.0014786455281646342
GDF2	0.001403887500816271
PDP2	0.0011421174819057675
POLN	0.0010972543467686932
RPS27P25	0.0009367128881448349
AC009387.1	0.0008797628372881467
HFE	0.0008667298200640318
