Avg eigenvector: 0.06381550893710378

Gene	eigenvector
DACH1	0.23820520744795093
AC016735.1	0.2094408175916122
PLEKHG1	0.20704895822548192
ZFAND2A	0.2048966855656945
RPS27	0.20438348128416947
LRRC10B	0.20365413574847624
CABCOCO1	0.19744070297923283
PRSS44P	0.19247019004973212
ATP12A	0.18566481685725808
SLC39A8	0.17808876728866463
GAB2	0.17428000625124254
MORC3	0.16550837168269428
GPR20	0.15916170165609625
GDF2	0.15688801125082008
MECR	0.1563932515612695
BANK1	0.15503721511634477
CCDC63	0.15391922526650317
AC055878.1	0.14901603847427725
RPS27P25	0.14489886655795137
GABBR1	0.14177714485244422
CYP27A1	0.13669045521689444
DNAJB4	0.12686883460635964
HFE	0.1260382673148764
SLC35F1	0.12192095565447338
SLC7A2	0.12087306815171998
EXOC5P1	0.1185690277464234
POLN	0.11675511365363261
BTRC	0.11500819852702177
MIR4421	0.11312364897220745
NEDD4L	0.11120077561291475
DBH	0.10769964219029345
PDP2	0.0984221514503707
AC009387.1	0.09348770083008234
AL591518.1	0.09204082825275195
ENPEP	0.0877305938279369
ZFP36L1	0.08450853842223717
FRS2	0.08252622077397175
AC108047.1	0.08170336341737866
ASXL3	0.0813298705894058
MMP14	0.07300051854127969
HAX1	0.07259103002569432
UBASH3B	0.07226306209409236
HSPA4	0.07199520425272392
MARK3	0.06877982518489681
SORCS3	0.06842787278264018
AC018866.2	0.06831308772945202
RBMS3	0.06798164854209097
TDRD5	0.0675844994609215
PRDM16	0.06526567133235568
NRG4	0.06406586840133163
