Avg radiality: 3.010745742806812

Gene	radiality
DACH1	3.8230769230769233
AC016735.1	3.5846153846153848
PLEKHG1	3.576923076923077
RPS27	3.5538461538461537
ZFAND2A	3.546153846153846
LRRC10B	3.546153846153846
CABCOCO1	3.546153846153846
PRSS44P	3.4923076923076923
ATP12A	3.4615384615384617
SLC39A8	3.423076923076923
MECR	3.3923076923076922
GAB2	3.3923076923076922
MORC3	3.376923076923077
GPR20	3.3692307692307693
GDF2	3.330769230769231
BANK1	3.330769230769231
AC055878.1	3.330769230769231
CCDC63	3.3230769230769233
GABBR1	3.3076923076923075
RPS27P25	3.292307692307692
CYP27A1	3.292307692307692
HFE	3.253846153846154
SLC7A2	3.230769230769231
SLC35F1	3.230769230769231
EXOC5P1	3.230769230769231
NEDD4L	3.223076923076923
MIR4421	3.223076923076923
DNAJB4	3.223076923076923
BTRC	3.2153846153846155
POLN	3.2
AC009387.1	3.2
AL591518.1	3.1846153846153844
DBH	3.169230769230769
PDP2	3.1538461538461537
FRS2	3.1538461538461537
ZFP36L1	3.146153846153846
ENPEP	3.146153846153846
ASXL3	3.1384615384615384
UBASH3B	3.123076923076923
TDRD5	3.123076923076923
AC108047.1	3.123076923076923
HSPA4	3.1076923076923078
SORCS3	3.1
NRG4	3.1
MMP14	3.1
HRCT1	3.1
RBMS3	3.0923076923076924
MARK3	3.0923076923076924
HAX1	3.0923076923076924
PALM2AKAP2	3.0846153846153848
PABPC4	3.0846153846153848
PRDM16	3.076923076923077
AC068985.1	3.076923076923077
AC023347.1	3.076923076923077
AC018866.2	3.076923076923077
KLF7	3.0615384615384613
DPEP1	3.0615384615384613
ZBTB38	3.046153846153846
UBE2D3	3.0384615384615383
MXI1	3.0384615384615383
MRAS	3.0384615384615383
AL136367.1	3.0384615384615383
NTN4	3.0307692307692307
LINC01738	3.0307692307692307
SORBS3	3.023076923076923
KIF2A	3.0153846153846153
