Avg betweenness: 0.006850086684340828

Gene	betweenness
ZFAND2A	0.31687499119856655
MIR4421	0.15309692841597644
DACH1	0.1009910426909559
SLC7A2	0.09219546250564097
SLC39A8	0.09204285754770285
LRRC10B	0.07625840291962235
CCDC63	0.04382350407442949
RPS27	0.038644747537942725
MMP14	0.03684516648758251
GPR20	0.031329560123219656
PDP2	0.029373889601520823
BANK1	0.02158191892717517
GAB2	0.018573505762304196
DBH	0.018079647669297264
DNAJB4	0.017446794486530685
SSPN	0.017248500532867795
CAPZA1	0.01717022818723812
MECR	0.015274100885534832
CABCOCO1	0.014123126328265798
POLN	0.013215801023511642
AC018866.2	0.011811747446903881
PDE10A	0.011531553291735417
FAM186A	0.011049723756906079
CCDC141	0.008371629347533157
SH2B3	0.0063651952511852615
NUDT3	0.003408087302525859
BTRC	0.0029861859764418845
SLC8A1	0.002875131872041812
PRSS44P	0.002550063468241061
NTN4	0.002187089081353208
HRCT1	0.001809183263520458
RIMKLB	0.0014918849210908574
AC016735.1	0.001428702616506159
RPS27P25	0.0013393564447962063
RBMS3	0.0012267274953385037
CCM2	0.0010416701581634634
ATP12A	0.0010020020801989964
GABBR1	0.0009181936212858139
PRDM16	0.0007573315638163785
MXI1	0.0007456501627885137
NCOR2	0.0006869918911326397
ARHGEF17	0.0005404460416827955
KIF2A	0.0005138196460418714
FAHD2CP	0.0004644864037129231
FRK	0.0004643878072763293
AGPAT4	0.0004260813342982121
RNU6-192P	0.00040359555027757153
MYEOV	0.00035742056218164765
HSPA4	0.00029087071720111245
C19orf47	0.0002785018476111788
AC068985.1	0.00022645134929827814
SORBS3	0.0002163836915703708
SLC35F1	0.00021427057006623084
CLPB	0.0001918563147032435
HDAC7	0.00018033485112407008
PLEKHG1	0.00017413017141364826
EXOC5P1	0.00016201864811127834
RERE	0.000130478129024218
AC055878.1	0.00012065934674909677
TEX41	0.00011446547042871807
GMPPA	0.00011437780011411414
KLF7	0.00010633873938097785
CCDC33	0.00010488113618868683
RAPSN	0.00010392604894398512
CD160	0.00010333537957847351
GNB4	9.987625088914224e-05
GDF2	8.529090935912342e-05
PABPC4	8.043982388301939e-05
PDE1A	7.21462893762753e-05
AC016745.1	6.815551847938968e-05
FRS2	6.545608776934572e-05
ZAP70	4.6582772124282706e-05
CYP27A1	4.4578911982226905e-05
SORCS3	4.1962973592807844e-05
HM13	4.1626236823171416e-05
NEDD4L	3.8605824977832345e-05
CCNE1	3.8294016194568686e-05
CCKBR	3.4488077580041064e-05
FBXL19	3.371057698866171e-05
AC022031.2	2.8501271595194248e-05
MARK2P10	2.1051061025061678e-05
FGF5	1.866036051118924e-05
NAV1	1.6944094679870588e-05
SDCCAG8	1.5748707347314123e-05
AC099535.1	1.4546449818901339e-05
DUSP1	1.4067935338653571e-05
NOS3	1.3154433043935805e-05
AL356534.1	4.092490280335584e-06
ZNF831	0.0
ZNF692	0.0
ZNF652	0.0
ZNF462	0.0
ZBTB38	0.0
YPEL3	0.0
UBE2D3	0.0
UBASH3B	0.0
TDRD5	0.0
TCEA2	0.0
TBC1D19	0.0
TASOR	0.0
SYNPO2	0.0
STN1	0.0
SELENOKP3	0.0
RPL24P7	0.0
RNASEH2B	0.0
RGL3	0.0
REEP3	0.0
PREX1	0.0
POU2F1	0.0
PKD2L1	0.0
PIEZO2	0.0
PHIP	0.0
PALM2AKAP2	0.0
OR51E1	0.0
OPRM1	0.0
NRG4	0.0
MTAP	0.0
MRAS	0.0
MORC3	0.0
MLF1	0.0
MINDY4	0.0
MARK3	0.0
LINC02398	0.0
LINC01975	0.0
LINC01738	0.0
LINC01571	0.0
LINC01320	0.0
LINC01169	0.0
LINC00211	0.0
LEF1	0.0
LAMC1	0.0
KLF2	0.0
KCNK5	0.0
IRX1	0.0
HFE	0.0
HAX1	0.0
GUCY1A1	0.0
GTF2I	0.0
GRM7	0.0
DPYSL2	0.0
DPEP1	0.0
DENND2A	0.0
DCDC1	0.0
CTBP2	0.0
CHD6	0.0
CDC42BPA	0.0
CDC25A	0.0
CAMTA1	0.0
C1GALT1	0.0
C11orf24	0.0
BCKDHB	0.0
AZIN1	0.0
ATXN7	0.0
ASXL3	0.0
ARHGAP42	0.0
ARHGAP29	0.0
ARHGAP15	0.0
AP000820.2	0.0
AL591518.1	0.0
AL445648.1	0.0
AL157756.1	0.0
AL157371.2	0.0
AL139420.2	0.0
AL137781.1	0.0
AL121981.1	0.0
AL121885.2	0.0
ADRB1	0.0
ADORA1	0.0
ACVR1C	0.0
ACTBP13	0.0
ACMSD	0.0
ACE	0.0
AC116366.3	0.0
AC109925.1	0.0
AC109322.2	0.0
AC108047.1	0.0
AC012409.2	0.0
AC011518.1	0.0
AC009480.2	0.0
AC009387.1	0.0
AC008125.1	0.0
AC007652.2	0.0
