Avg bridging: 0.0013342110494410824

Gene	bridging
MIR4421	0.01595901014008626
CCDC63	0.014622338103319544
DACH1	0.014101928991700203
SLC39A8	0.01249060675790387
GPR20	0.011918478188324982
ZFAND2A	0.011775295273841562
BANK1	0.010613202514943498
LRRC10B	0.010584619805262251
SLC7A2	0.01017279822593392
PDP2	0.009767130370542875
MMP14	0.009146478401471729
FAM186A	0.008602273206080648
DNAJB4	0.008327997145745657
CABCOCO1	0.00790517708863329
MECR	0.007356189071191931
RPS27	0.0071651615718814395
GAB2	0.007132326381330201
AC018866.2	0.006709040284986294
CAPZA1	0.0065244478746297125
DBH	0.006432354422816463
SSPN	0.005859028048214081
PDE10A	0.0055712212693777245
POLN	0.005451959490734723
CCDC141	0.004560209990549943
SH2B3	0.002122383898711466
PRSS44P	0.0018946269214119417
NUDT3	0.0018136146614767413
BTRC	0.0016585460000158511
SLC8A1	0.0016556836956612738
NTN4	0.001385260417710155
RIMKLB	0.001151764713703015
HRCT1	0.0010698615802376187
RBMS3	0.0008590885509682187
RPS27P25	0.0008361689037377262
AC016735.1	0.0007167778834564764
CCM2	0.0006559335811033084
ATP12A	0.0006193799219084263
PRDM16	0.0005738713690539495
GABBR1	0.0005367196189258511
NCOR2	0.0005239963214755195
MXI1	0.0005026672851575507
ARHGEF17	0.0004190811399152829
KIF2A	0.00039693012129100625
FRK	0.00035428232657521943
AGPAT4	0.0003426690806673215
FAHD2CP	0.00034232952369563807
MYEOV	0.00028055655888782545
RNU6-192P	0.00026237111636940886
HSPA4	0.0002583241725734568
C19orf47	0.00024623997942131444
SORBS3	0.0002041643904321374
SLC35F1	0.00017106405171633224
AC068985.1	0.000167041013262756
CLPB	0.00016516581865346714
PLEKHG1	0.00013412300886364196
EXOC5P1	0.00013275881725358736
HDAC7	0.00011664464299646529
RERE	0.0001145420583937452
AC055878.1	0.0001083637464336363
KLF7	9.413077132218461e-05
GNB4	8.981767605490269e-05
RAPSN	8.541732260235662e-05
TEX41	8.321852129185354e-05
GMPPA	8.133989405622338e-05
CCDC33	7.898287917364848e-05
CD160	7.05210806127554e-05
GDF2	6.82453223920117e-05
PDE1A	6.120724778965574e-05
AC016745.1	6.068827614958988e-05
PABPC4	5.680414876065273e-05
FRS2	5.557689666470378e-05
CYP27A1	4.04763439680082e-05
ZAP70	3.661463868453915e-05
HM13	3.564588329771225e-05
SORCS3	3.324636130769939e-05
CCNE1	3.2522234012365886e-05
CCKBR	3.115045379064031e-05
NEDD4L	3.0326938057328413e-05
FBXL19	2.7346519242510105e-05
AC022031.2	2.5503576983540803e-05
MARK2P10	2.0150093605548885e-05
FGF5	1.67805123238402e-05
SDCCAG8	1.4665800687333622e-05
NAV1	1.3503652367231696e-05
AC099535.1	1.2676435743422693e-05
DUSP1	1.2288597066138927e-05
NOS3	1.1924513913658297e-05
AL356534.1	3.368894734812965e-06
ZNF831	0.0
ZNF692	0.0
ZNF652	0.0
ZNF462	0.0
ZBTB38	0.0
YPEL3	0.0
UBE2D3	0.0
UBASH3B	0.0
TDRD5	0.0
TCEA2	0.0
TBC1D19	0.0
TASOR	0.0
SYNPO2	0.0
STN1	0.0
SELENOKP3	0.0
RPL24P7	0.0
RNASEH2B	0.0
RGL3	0.0
REEP3	0.0
PREX1	0.0
POU2F1	0.0
PKD2L1	0.0
PIEZO2	0.0
PHIP	0.0
PALM2AKAP2	0.0
OR51E1	0.0
OPRM1	0.0
NRG4	0.0
MTAP	0.0
MRAS	0.0
MORC3	0.0
MLF1	0.0
MINDY4	0.0
MARK3	0.0
LINC02398	0.0
LINC01975	0.0
LINC01738	0.0
LINC01571	0.0
LINC01320	0.0
LINC01169	0.0
LINC00211	0.0
LEF1	0.0
LAMC1	0.0
KLF2	0.0
KCNK5	0.0
IRX1	0.0
HFE	0.0
HAX1	0.0
GUCY1A1	0.0
GTF2I	0.0
GRM7	0.0
DPYSL2	0.0
DPEP1	0.0
DENND2A	0.0
DCDC1	0.0
CTBP2	0.0
CHD6	0.0
CDC42BPA	0.0
CDC25A	0.0
CAMTA1	0.0
C1GALT1	0.0
C11orf24	0.0
BCKDHB	0.0
AZIN1	0.0
ATXN7	0.0
ASXL3	0.0
ARHGAP42	0.0
ARHGAP29	0.0
ARHGAP15	0.0
AP000820.2	0.0
AL591518.1	0.0
AL445648.1	0.0
AL157756.1	0.0
AL157371.2	0.0
AL139420.2	0.0
AL137781.1	0.0
AL121981.1	0.0
AL121885.2	0.0
ADRB1	0.0
ADORA1	0.0
ACVR1C	0.0
ACTBP13	0.0
ACMSD	0.0
ACE	0.0
AC116366.3	0.0
AC109925.1	0.0
AC109322.2	0.0
AC108047.1	0.0
AC012409.2	0.0
AC011518.1	0.0
AC009480.2	0.0
AC009387.1	0.0
AC008125.1	0.0
AC007652.2	0.0
