Avg centroid_value: -144.2912087912088

Gene	centroid_value
ZFAND2A	34
MIR4421	-34
SLC7A2	-44
SLC39A8	-49
DACH1	-49
LRRC10B	-50
RPS27	-60
MMP14	-73
CCDC63	-81
GAB2	-84
PDP2	-85
SH2B3	-89
DBH	-89
SSPN	-90
CAPZA1	-92
GPR20	-93
POLN	-94
BANK1	-102
PDE10A	-104
AC016735.1	-104
MECR	-107
DNAJB4	-107
SLC8A1	-108
NUDT3	-109
GABBR1	-109
ATP12A	-109
RPS27P25	-110
CABCOCO1	-111
BTRC	-111
AC018866.2	-112
NTN4	-114
HDAC7	-117
RNU6-192P	-118
CCM2	-118
HRCT1	-119
GMPPA	-122
MXI1	-123
SORCS3	-124
CCDC141	-124
TEX41	-125
NAV1	-125
EXOC5P1	-127
ARHGEF17	-127
AL356534.1	-127
GUCY1A1	-128
PDE1A	-129
NCOR2	-129
MYEOV	-129
FBXL19	-129
GDF2	-132
FRK	-132
RAPSN	-133
HM13	-133
PRSS44P	-134
ZAP70	-135
SLC35F1	-135
RBMS3	-136
MARK3	-136
ZNF831	-137
UBASH3B	-137
SDCCAG8	-137
AC068985.1	-137
OR51E1	-138
AGPAT4	-138
AC011518.1	-138
PLEKHG1	-139
MRAS	-139
KLF7	-139
FAM186A	-139
AC099535.1	-139
NOS3	-140
MLF1	-140
RIMKLB	-141
MORC3	-141
KIF2A	-141
CCKBR	-141
GRM7	-142
AC055878.1	-142
AL137781.1	-143
AC012409.2	-143
FRS2	-144
C19orf47	-144
PRDM16	-145
PABPC4	-146
LINC01169	-146
DUSP1	-146
CD160	-147
TASOR	-148
RERE	-148
FAHD2CP	-148
CCNE1	-148
ARHGAP42	-149
AL121885.2	-149
RPL24P7	-150
HSPA4	-150
GNB4	-152
FGF5	-152
CLPB	-152
AC022031.2	-152
AC109322.2	-153
KCNK5	-154
NEDD4L	-155
ASXL3	-155
SORBS3	-156
DPEP1	-156
CYP27A1	-157
CCDC33	-157
ADORA1	-157
AC016745.1	-157
UBE2D3	-158
MINDY4	-158
KLF2	-159
ZNF692	-160
AC109925.1	-160
MARK2P10	-161
LEF1	-161
STN1	-162
HFE	-162
AC008125.1	-162
CAMTA1	-163
BCKDHB	-165
ACTBP13	-165
ACE	-165
LINC01320	-166
LINC00211	-166
HAX1	-166
CDC25A	-166
AL157756.1	-168
AC009480.2	-168
OPRM1	-169
PKD2L1	-172
YPEL3	-174
RGL3	-174
AC007652.2	-174
NRG4	-175
TCEA2	-176
CTBP2	-176
CHD6	-176
C11orf24	-176
ATXN7	-176
TDRD5	-177
DPYSL2	-179
AL445648.1	-179
ACMSD	-179
AC108047.1	-179
ZNF652	-180
ZNF462	-180
ZBTB38	-180
TBC1D19	-180
SYNPO2	-180
SELENOKP3	-180
RNASEH2B	-180
REEP3	-180
PREX1	-180
POU2F1	-180
PIEZO2	-180
PHIP	-180
PALM2AKAP2	-180
MTAP	-180
LINC02398	-180
LINC01975	-180
LINC01738	-180
LINC01571	-180
LAMC1	-180
IRX1	-180
GTF2I	-180
DENND2A	-180
DCDC1	-180
CDC42BPA	-180
C1GALT1	-180
AZIN1	-180
ARHGAP29	-180
ARHGAP15	-180
AP000820.2	-180
AL591518.1	-180
AL157371.2	-180
AL139420.2	-180
AL121981.1	-180
ADRB1	-180
ACVR1C	-180
AC116366.3	-180
AC009387.1	-180
