Avg closeness: 0.4563529651131022

Gene	closeness
ZFAND2A	0.7479338842975206
MIR4421	0.6557971014492754
SLC7A2	0.6328671328671329
SLC39A8	0.6219931271477663
DACH1	0.6219931271477663
LRRC10B	0.6198630136986302
RPS27	0.5993377483443708
MMP14	0.5746031746031746
CCDC63	0.5603715170278638
GAB2	0.5552147239263804
PDP2	0.5535168195718655
SH2B3	0.5468277945619335
DBH	0.5468277945619335
SSPN	0.5451807228915663
CAPZA1	0.5419161676646707
GPR20	0.5402985074626866
POLN	0.5386904761904762
BANK1	0.5261627906976745
PDE10A	0.523121387283237
AC016735.1	0.523121387283237
MECR	0.5186246418338109
DNAJB4	0.5186246418338109
SLC8A1	0.5171428571428571
NUDT3	0.5156695156695157
GABBR1	0.5156695156695157
ATP12A	0.5156695156695157
RPS27P25	0.5142045454545454
CABCOCO1	0.5127478753541076
BTRC	0.5127478753541076
AC018866.2	0.5112994350282486
NTN4	0.5084269662921348
HDAC7	0.5041782729805014
RNU6-192P	0.5027777777777778
CCM2	0.5027777777777778
HRCT1	0.5013850415512465
GMPPA	0.49725274725274726
MXI1	0.4958904109589041
SORCS3	0.49453551912568305
CCDC141	0.49453551912568305
TEX41	0.49318801089918257
EXOC5P1	0.4905149051490515
ARHGEF17	0.4905149051490515
AL356534.1	0.4905149051490515
GUCY1A1	0.4891891891891892
PDE1A	0.48787061994609165
NCOR2	0.48787061994609165
MYEOV	0.48787061994609165
FBXL19	0.48787061994609165
GDF2	0.4839572192513369
FRK	0.4839572192513369
RAPSN	0.4826666666666667
HM13	0.4826666666666667
ZAP70	0.48010610079575594
SLC35F1	0.48010610079575594
RBMS3	0.47883597883597884
MARK3	0.47883597883597884
ZNF831	0.47757255936675463
UBASH3B	0.47757255936675463
AC068985.1	0.47757255936675463
PLEKHG1	0.47506561679790027
MRAS	0.47506561679790027
KLF7	0.47506561679790027
AC099535.1	0.47506561679790027
NOS3	0.4738219895287958
MLF1	0.4738219895287958
RIMKLB	0.4725848563968668
KIF2A	0.4725848563968668
AC055878.1	0.4713541666666667
NAV1	0.4701298701298701
AC012409.2	0.4701298701298701
FRS2	0.4689119170984456
C19orf47	0.4689119170984456
PRDM16	0.46770025839793283
PABPC4	0.46649484536082475
LINC01169	0.46649484536082475
DUSP1	0.46649484536082475
CD160	0.4652956298200514
RERE	0.4641025641025641
ARHGAP42	0.4629156010230179
AL121885.2	0.4629156010230179
RPL24P7	0.461734693877551
HSPA4	0.461734693877551
GNB4	0.4593908629441624
FGF5	0.4593908629441624
CLPB	0.4593908629441624
AC109322.2	0.4582278481012658
KCNK5	0.45707070707070707
NEDD4L	0.45591939546599497
SORBS3	0.4547738693467337
SDCCAG8	0.4547738693467337
PRSS44P	0.4547738693467337
DPEP1	0.4547738693467337
CCDC33	0.45363408521303256
ADORA1	0.45363408521303256
AC016745.1	0.45363408521303256
MINDY4	0.4525
ZNF692	0.4502487562189055
AC109925.1	0.4502487562189055
STN1	0.44801980198019803
HFE	0.44801980198019803
AC008125.1	0.44801980198019803
CAMTA1	0.4469135802469136
AC011518.1	0.4469135802469136
OR51E1	0.4458128078817734
BCKDHB	0.44471744471744473
ACTBP13	0.44471744471744473
ACE	0.44471744471744473
LINC01320	0.44362745098039214
LINC00211	0.44362745098039214
FAM186A	0.44362745098039214
CDC25A	0.44362745098039214
AGPAT4	0.44362745098039214
AL157756.1	0.44146341463414634
GRM7	0.43614457831325304
MORC3	0.43509615384615385
CCNE1	0.434052757793765
CCKBR	0.434052757793765
CTBP2	0.43301435406698563
CHD6	0.43301435406698563
ATXN7	0.43301435406698563
TDRD5	0.431980906921241
AL137781.1	0.431980906921241
DPYSL2	0.42992874109263657
ZBTB38	0.42890995260663506
SYNPO2	0.42890995260663506
LINC01738	0.42890995260663506
GTF2I	0.42890995260663506
DCDC1	0.42890995260663506
CDC42BPA	0.42890995260663506
AZIN1	0.42890995260663506
AP000820.2	0.42890995260663506
AL591518.1	0.42890995260663506
AL139420.2	0.42890995260663506
AC116366.3	0.42890995260663506
TASOR	0.4268867924528302
FAHD2CP	0.4268867924528302
AC022031.2	0.4268867924528302
ASXL3	0.41898148148148145
UBE2D3	0.4132420091324201
KLF2	0.4113636363636364
CYP27A1	0.40582959641255606
LEF1	0.40492170022371365
YPEL3	0.4022222222222222
AC007652.2	0.4022222222222222
TCEA2	0.4004424778761062
ACMSD	0.3978021978021978
AC108047.1	0.3978021978021978
RNASEH2B	0.3969298245614035
MTAP	0.3969298245614035
LINC01975	0.3969298245614035
ARHGAP15	0.3969298245614035
HAX1	0.39606126914660833
AC009480.2	0.39433551198257083
MARK2P10	0.3926247288503254
C11orf24	0.3917748917748918
RGL3	0.38924731182795697
ZNF652	0.388412017167382
AL121981.1	0.388412017167382
REEP3	0.3842887473460722
POU2F1	0.3842887473460722
PHIP	0.3842887473460722
PALM2AKAP2	0.3842887473460722
LAMC1	0.3842887473460722
C1GALT1	0.3842887473460722
DENND2A	0.3834745762711864
ARHGAP29	0.3834745762711864
OPRM1	0.37166324435318276
IRX1	0.3656565656565657
PIEZO2	0.35984095427435386
ACVR1C	0.35984095427435386
ZNF462	0.35700197238658776
PKD2L1	0.35700197238658776
NRG4	0.35700197238658776
TBC1D19	0.3542074363992172
AL445648.1	0.3521400778210117
SELENOKP3	0.35145631067961164
LINC02398	0.34541984732824427
ADRB1	0.34215500945179583
AC009387.1	0.34215500945179583
LINC01571	0.3395872420262664
AL157371.2	0.3389513108614232
PREX1	0.3078231292517007
