Avg eigenvector: 0.050946583049614504

Gene	eigenvector
ZFAND2A	0.28203248870843833
MIR4421	0.24055383129857816
SLC7A2	0.23671904446319267
LRRC10B	0.22654855490969306
SLC39A8	0.22520468841121938
DACH1	0.21630491839207752
RPS27	0.20942904350168634
MMP14	0.18320270978701014
SH2B3	0.15791877826353357
GAB2	0.15295207709405076
SSPN	0.15211429076722355
CCDC63	0.15107486710022414
DBH	0.15031688523565329
PDP2	0.14721113339521696
GPR20	0.13874348794533042
POLN	0.13622565511500642
CAPZA1	0.1350702622965386
AC016735.1	0.1239261842830619
PDE10A	0.11999980376882391
GABBR1	0.1153480696867243
BANK1	0.11319978162330915
SLC8A1	0.10907748843893232
DNAJB4	0.10850503594194229
MECR	0.10813108171934648
NUDT3	0.10796828064226341
ATP12A	0.10758913963770851
CABCOCO1	0.10267742524870623
NTN4	0.10185985188651196
AC018866.2	0.10097490358051872
HRCT1	0.10000944621182764
BTRC	0.09817019054513873
HDAC7	0.09577137870338788
RPS27P25	0.09453150088442826
RNU6-192P	0.09441864508223893
CCM2	0.0926160580047077
MXI1	0.08702901007316773
CCDC141	0.08643788243230406
TEX41	0.07917733301331042
GMPPA	0.07875829925962324
ARHGEF17	0.07456601117546693
SORCS3	0.0719934622794531
AL356534.1	0.07136509518681577
GUCY1A1	0.06706991853496488
PDE1A	0.067004585920174
EXOC5P1	0.06548439758647664
NAV1	0.0641360392195224
FBXL19	0.06199332593145832
NCOR2	0.06119589996440733
RAPSN	0.06005240035868592
MYEOV	0.05874344436760829
GDF2	0.05725090362105005
RBMS3	0.05700062386943862
ZAP70	0.0567631950035311
PRSS44P	0.05666281514305915
SLC35F1	0.05545877443745696
FRK	0.05484978198397678
KIF2A	0.054679127351701516
AC099535.1	0.05466251271097181
HM13	0.05366585557634133
PLEKHG1	0.05286483538652309
AC068985.1	0.05184331650733967
FRS2	0.04927901542839851
MRAS	0.04797070647796051
UBASH3B	0.04758891528545928
DUSP1	0.047486528263777576
C19orf47	0.04738238389767634
PRDM16	0.04735687981458102
SDCCAG8	0.043957786953313954
MARK3	0.04261287503532857
ZNF831	0.04253390538793029
KLF7	0.04223721157045474
NOS3	0.041873377067337236
MLF1	0.041652655786024714
AGPAT4	0.03934471872787239
HSPA4	0.03889774605611334
PABPC4	0.03875601531454997
NEDD4L	0.03875409692457524
AL121885.2	0.0385042727935338
FGF5	0.03802588413022762
LINC01169	0.037358863697103374
FAM186A	0.037156895465161655
RIMKLB	0.037122923928321186
CD160	0.03658664327993464
AC109322.2	0.036530033237674855
OR51E1	0.03618811117082372
AC055878.1	0.036187297396550855
MORC3	0.036171074815705244
GNB4	0.03555211858244119
ARHGAP42	0.035050741822049994
CLPB	0.033397163435021186
RERE	0.03228724564604391
CCNE1	0.0315039909840263
AC012409.2	0.0313513810949908
ADORA1	0.03058009337801482
HFE	0.030107414658165868
GRM7	0.02955839507356694
AC011518.1	0.029381364291688493
CCKBR	0.029292057773692128
AC016745.1	0.029152689387354436
AC022031.2	0.027496047321349682
SORBS3	0.027248452648514044
CCDC33	0.027180209903106864
RPL24P7	0.02671723987907031
AL137781.1	0.026586259961234177
TASOR	0.026504265645136544
KCNK5	0.026177174719488508
FAHD2CP	0.02593027070065736
CYP27A1	0.02549776414927695
ZNF692	0.0249038043400151
AC109925.1	0.0249038043400151
AC008125.1	0.024699314727714892
STN1	0.02429417463607212
DPEP1	0.02318129562247368
BCKDHB	0.02309137544942505
ASXL3	0.02295158428394661
LINC00211	0.02151191008766724
CAMTA1	0.020576201729114695
MARK2P10	0.02031836649692487
LEF1	0.02012807136863993
AL157756.1	0.020121511767422204
ACTBP13	0.01954041465077075
HAX1	0.018781107266166434
ACE	0.01849110807723541
MINDY4	0.018387920371908558
LINC01320	0.01789513153754707
CDC25A	0.01789513153754707
UBE2D3	0.015940347792511175
KLF2	0.015582484026088713
CTBP2	0.015103585270722177
CHD6	0.015103585270722177
ATXN7	0.015103585270722177
AC009480.2	0.014370498839264337
TDRD5	0.013741636151484103
DPYSL2	0.013722772070362273
C11orf24	0.013681751944894568
YPEL3	0.013216948321787393
AC007652.2	0.013216948321787393
TCEA2	0.012686698629888301
RGL3	0.010965677062476467
OPRM1	0.010197835970614423
ZBTB38	0.009923675796807781
SYNPO2	0.009923675796807781
LINC01738	0.009923675796807781
GTF2I	0.009923675796807781
DCDC1	0.009923675796807781
CDC42BPA	0.009923675796807781
AZIN1	0.009923675796807781
AP000820.2	0.009923675796807781
AL591518.1	0.009923675796807781
AL139420.2	0.009923675796807781
AC116366.3	0.009923675796807781
ACMSD	0.00977051312608091
AC108047.1	0.00937666368226926
RNASEH2B	0.008464244575100777
MTAP	0.008464244575100777
LINC01975	0.008464244575100777
ARHGAP15	0.008464244575100777
ZNF652	0.00832931950716175
AL121981.1	0.00832931950716175
PKD2L1	0.008205637223510554
DENND2A	0.007971455740739288
ARHGAP29	0.007971455740739288
POU2F1	0.007924179415518977
LAMC1	0.007924179415518977
C1GALT1	0.007924179415518977
NRG4	0.007834872897522613
REEP3	0.007611028285349425
PHIP	0.007611028285349425
PALM2AKAP2	0.007611028285349425
AL445648.1	0.006875785719353578
IRX1	0.006446319423745359
PIEZO2	0.00531586158260986
ACVR1C	0.00531586158260986
TBC1D19	0.0052891913803002535
ZNF462	0.005179909473914394
SELENOKP3	0.0048819743880045615
LINC02398	0.003983183168723032
AC009387.1	0.003817960354676319
ADRB1	0.0038048062170117176
LINC01571	0.0036129299384135647
AL157371.2	0.0035530247512762475
PREX1	0.0013074627918321462
