Avg radiality: 2.794608706210914

Gene	radiality
ZFAND2A	3.6906077348066297
MIR4421	3.5027624309392267
SLC7A2	3.447513812154696
SLC39A8	3.4198895027624308
DACH1	3.4198895027624308
LRRC10B	3.414364640883978
RPS27	3.3591160220994474
MMP14	3.287292817679558
CCDC63	3.2430939226519335
GAB2	3.226519337016575
PDP2	3.2209944751381214
SH2B3	3.1988950276243093
DBH	3.1988950276243093
SSPN	3.1933701657458564
CAPZA1	3.18232044198895
GPR20	3.1767955801104972
POLN	3.1712707182320443
BANK1	3.1270718232044197
PDE10A	3.116022099447514
AC016735.1	3.116022099447514
MECR	3.0994475138121547
DNAJB4	3.0994475138121547
SLC8A1	3.0939226519337018
NUDT3	3.088397790055249
GABBR1	3.088397790055249
ATP12A	3.088397790055249
RPS27P25	3.0828729281767955
CABCOCO1	3.0773480662983426
BTRC	3.0773480662983426
AC018866.2	3.0718232044198897
NTN4	3.0607734806629834
HDAC7	3.044198895027624
RNU6-192P	3.0386740331491713
CCM2	3.0386740331491713
HRCT1	3.0331491712707184
GMPPA	3.016574585635359
MXI1	3.0110497237569063
SORCS3	3.005524861878453
CCDC141	3.005524861878453
TEX41	3.0
EXOC5P1	2.9889502762430937
ARHGEF17	2.9889502762430937
AL356534.1	2.9889502762430937
GUCY1A1	2.983425414364641
PDE1A	2.977900552486188
NCOR2	2.977900552486188
MYEOV	2.977900552486188
FBXL19	2.977900552486188
GDF2	2.9613259668508287
FRK	2.9613259668508287
RAPSN	2.955801104972376
HM13	2.955801104972376
ZAP70	2.9447513812154695
SLC35F1	2.9447513812154695
RBMS3	2.9392265193370166
MARK3	2.9392265193370166
ZNF831	2.9337016574585637
UBASH3B	2.9337016574585637
AC068985.1	2.9337016574585637
PLEKHG1	2.9226519337016574
MRAS	2.9226519337016574
KLF7	2.9226519337016574
AC099535.1	2.9226519337016574
NOS3	2.9171270718232045
MLF1	2.9171270718232045
RIMKLB	2.911602209944751
KIF2A	2.911602209944751
AC055878.1	2.9060773480662982
NAV1	2.9005524861878453
AC012409.2	2.9005524861878453
FRS2	2.8950276243093924
C19orf47	2.8950276243093924
PRDM16	2.889502762430939
PABPC4	2.883977900552486
LINC01169	2.883977900552486
DUSP1	2.883977900552486
CD160	2.8784530386740332
RERE	2.8729281767955803
ARHGAP42	2.867403314917127
AL121885.2	2.867403314917127
RPL24P7	2.861878453038674
HSPA4	2.861878453038674
GNB4	2.850828729281768
FGF5	2.850828729281768
CLPB	2.850828729281768
AC109322.2	2.845303867403315
KCNK5	2.839779005524862
NEDD4L	2.834254143646409
SORBS3	2.8287292817679557
SDCCAG8	2.8287292817679557
PRSS44P	2.8287292817679557
DPEP1	2.8287292817679557
CCDC33	2.8232044198895028
ADORA1	2.8232044198895028
AC016745.1	2.8232044198895028
MINDY4	2.81767955801105
ZNF692	2.8066298342541436
AC109925.1	2.8066298342541436
STN1	2.7955801104972378
HFE	2.7955801104972378
AC008125.1	2.7955801104972378
CAMTA1	2.7900552486187844
AC011518.1	2.7900552486187844
OR51E1	2.7845303867403315
BCKDHB	2.7790055248618786
ACTBP13	2.7790055248618786
ACE	2.7790055248618786
LINC01320	2.773480662983425
LINC00211	2.773480662983425
FAM186A	2.773480662983425
CDC25A	2.773480662983425
AGPAT4	2.773480662983425
AL157756.1	2.7624309392265194
GRM7	2.734806629834254
MORC3	2.729281767955801
CCNE1	2.723756906077348
CCKBR	2.723756906077348
CTBP2	2.718232044198895
CHD6	2.718232044198895
ATXN7	2.718232044198895
TDRD5	2.712707182320442
AL137781.1	2.712707182320442
DPYSL2	2.701657458563536
ZBTB38	2.696132596685083
SYNPO2	2.696132596685083
LINC01738	2.696132596685083
GTF2I	2.696132596685083
DCDC1	2.696132596685083
CDC42BPA	2.696132596685083
AZIN1	2.696132596685083
AP000820.2	2.696132596685083
AL591518.1	2.696132596685083
AL139420.2	2.696132596685083
AC116366.3	2.696132596685083
TASOR	2.685082872928177
FAHD2CP	2.685082872928177
AC022031.2	2.685082872928177
ASXL3	2.6408839779005526
UBE2D3	2.6077348066298343
KLF2	2.596685082872928
CYP27A1	2.56353591160221
LEF1	2.5580110497237567
YPEL3	2.541436464088398
AC007652.2	2.541436464088398
TCEA2	2.5303867403314917
ACMSD	2.5138121546961325
AC108047.1	2.5138121546961325
RNASEH2B	2.5082872928176796
MTAP	2.5082872928176796
LINC01975	2.5082872928176796
ARHGAP15	2.5082872928176796
HAX1	2.5027624309392267
AC009480.2	2.4917127071823204
MARK2P10	2.4806629834254146
C11orf24	2.4751381215469612
RGL3	2.458563535911602
ZNF652	2.453038674033149
AL121981.1	2.453038674033149
REEP3	2.425414364640884
POU2F1	2.425414364640884
PHIP	2.425414364640884
PALM2AKAP2	2.425414364640884
LAMC1	2.425414364640884
C1GALT1	2.425414364640884
DENND2A	2.4198895027624308
ARHGAP29	2.4198895027624308
OPRM1	2.3370165745856353
IRX1	2.292817679558011
PIEZO2	2.248618784530387
ACVR1C	2.248618784530387
ZNF462	2.226519337016575
PKD2L1	2.226519337016575
NRG4	2.226519337016575
TBC1D19	2.2044198895027622
AL445648.1	2.1878453038674035
SELENOKP3	2.18232044198895
LINC02398	2.132596685082873
ADRB1	2.1049723756906076
AC009387.1	2.1049723756906076
LINC01571	2.0828729281767955
AL157371.2	2.0773480662983426
PREX1	1.7790055248618784
