Avg betweenness: 0.006850086684340828

Gene	betweenness
ZFAND2A	0.31687499119856655
MIR4421	0.15309692841597644
DACH1	0.1009910426909559
SLC7A2	0.09219546250564097
SLC39A8	0.09204285754770285
LRRC10B	0.07625840291962235
CCDC63	0.04382350407442949
RPS27	0.038644747537942725
MMP14	0.03684516648758251
GPR20	0.031329560123219656
PDP2	0.029373889601520823
BANK1	0.02158191892717517
GAB2	0.018573505762304196
DBH	0.018079647669297264
DNAJB4	0.017446794486530685
SSPN	0.017248500532867795
CAPZA1	0.01717022818723812
MECR	0.015274100885534832
CABCOCO1	0.014123126328265798
POLN	0.013215801023511642
AC018866.2	0.011811747446903881
PDE10A	0.011531553291735417
FAM186A	0.011049723756906079
CCDC141	0.008371629347533157
