Avg bridging: 0.0013342110494410824

Gene	bridging
MIR4421	0.01595901014008626
CCDC63	0.014622338103319544
DACH1	0.014101928991700203
SLC39A8	0.01249060675790387
GPR20	0.011918478188324982
ZFAND2A	0.011775295273841562
BANK1	0.010613202514943498
LRRC10B	0.010584619805262251
SLC7A2	0.01017279822593392
PDP2	0.009767130370542875
MMP14	0.009146478401471729
FAM186A	0.008602273206080648
DNAJB4	0.008327997145745657
CABCOCO1	0.00790517708863329
MECR	0.007356189071191931
RPS27	0.0071651615718814395
GAB2	0.007132326381330201
AC018866.2	0.006709040284986294
CAPZA1	0.0065244478746297125
DBH	0.006432354422816463
SSPN	0.005859028048214081
PDE10A	0.0055712212693777245
POLN	0.005451959490734723
CCDC141	0.004560209990549943
SH2B3	0.002122383898711466
PRSS44P	0.0018946269214119417
NUDT3	0.0018136146614767413
BTRC	0.0016585460000158511
SLC8A1	0.0016556836956612738
NTN4	0.001385260417710155
