Avg closeness: 0.4563529651131022

Gene	closeness
ZFAND2A	0.7479338842975206
MIR4421	0.6557971014492754
SLC7A2	0.6328671328671329
SLC39A8	0.6219931271477663
DACH1	0.6219931271477663
LRRC10B	0.6198630136986302
RPS27	0.5993377483443708
MMP14	0.5746031746031746
CCDC63	0.5603715170278638
GAB2	0.5552147239263804
PDP2	0.5535168195718655
SH2B3	0.5468277945619335
DBH	0.5468277945619335
SSPN	0.5451807228915663
CAPZA1	0.5419161676646707
GPR20	0.5402985074626866
POLN	0.5386904761904762
BANK1	0.5261627906976745
PDE10A	0.523121387283237
AC016735.1	0.523121387283237
MECR	0.5186246418338109
DNAJB4	0.5186246418338109
SLC8A1	0.5171428571428571
NUDT3	0.5156695156695157
GABBR1	0.5156695156695157
ATP12A	0.5156695156695157
RPS27P25	0.5142045454545454
CABCOCO1	0.5127478753541076
BTRC	0.5127478753541076
AC018866.2	0.5112994350282486
NTN4	0.5084269662921348
HDAC7	0.5041782729805014
RNU6-192P	0.5027777777777778
CCM2	0.5027777777777778
HRCT1	0.5013850415512465
GMPPA	0.49725274725274726
MXI1	0.4958904109589041
SORCS3	0.49453551912568305
CCDC141	0.49453551912568305
TEX41	0.49318801089918257
EXOC5P1	0.4905149051490515
ARHGEF17	0.4905149051490515
AL356534.1	0.4905149051490515
GUCY1A1	0.4891891891891892
PDE1A	0.48787061994609165
NCOR2	0.48787061994609165
MYEOV	0.48787061994609165
FBXL19	0.48787061994609165
GDF2	0.4839572192513369
FRK	0.4839572192513369
RAPSN	0.4826666666666667
HM13	0.4826666666666667
ZAP70	0.48010610079575594
SLC35F1	0.48010610079575594
RBMS3	0.47883597883597884
MARK3	0.47883597883597884
ZNF831	0.47757255936675463
UBASH3B	0.47757255936675463
AC068985.1	0.47757255936675463
PLEKHG1	0.47506561679790027
MRAS	0.47506561679790027
KLF7	0.47506561679790027
AC099535.1	0.47506561679790027
NOS3	0.4738219895287958
MLF1	0.4738219895287958
RIMKLB	0.4725848563968668
KIF2A	0.4725848563968668
AC055878.1	0.4713541666666667
NAV1	0.4701298701298701
AC012409.2	0.4701298701298701
FRS2	0.4689119170984456
C19orf47	0.4689119170984456
PRDM16	0.46770025839793283
PABPC4	0.46649484536082475
LINC01169	0.46649484536082475
DUSP1	0.46649484536082475
CD160	0.4652956298200514
RERE	0.4641025641025641
ARHGAP42	0.4629156010230179
AL121885.2	0.4629156010230179
RPL24P7	0.461734693877551
HSPA4	0.461734693877551
GNB4	0.4593908629441624
FGF5	0.4593908629441624
CLPB	0.4593908629441624
AC109322.2	0.4582278481012658
KCNK5	0.45707070707070707
