Avg eigenvector: 0.050946583049614504

Gene	eigenvector
ZFAND2A	0.28203248870843833
MIR4421	0.24055383129857816
SLC7A2	0.23671904446319267
LRRC10B	0.22654855490969306
SLC39A8	0.22520468841121938
DACH1	0.21630491839207752
RPS27	0.20942904350168634
MMP14	0.18320270978701014
SH2B3	0.15791877826353357
GAB2	0.15295207709405076
SSPN	0.15211429076722355
CCDC63	0.15107486710022414
DBH	0.15031688523565329
PDP2	0.14721113339521696
GPR20	0.13874348794533042
POLN	0.13622565511500642
CAPZA1	0.1350702622965386
AC016735.1	0.1239261842830619
PDE10A	0.11999980376882391
GABBR1	0.1153480696867243
BANK1	0.11319978162330915
SLC8A1	0.10907748843893232
DNAJB4	0.10850503594194229
MECR	0.10813108171934648
NUDT3	0.10796828064226341
ATP12A	0.10758913963770851
CABCOCO1	0.10267742524870623
NTN4	0.10185985188651196
AC018866.2	0.10097490358051872
HRCT1	0.10000944621182764
BTRC	0.09817019054513873
HDAC7	0.09577137870338788
RPS27P25	0.09453150088442826
RNU6-192P	0.09441864508223893
CCM2	0.0926160580047077
MXI1	0.08702901007316773
CCDC141	0.08643788243230406
TEX41	0.07917733301331042
GMPPA	0.07875829925962324
ARHGEF17	0.07456601117546693
SORCS3	0.0719934622794531
AL356534.1	0.07136509518681577
GUCY1A1	0.06706991853496488
PDE1A	0.067004585920174
EXOC5P1	0.06548439758647664
NAV1	0.0641360392195224
FBXL19	0.06199332593145832
NCOR2	0.06119589996440733
RAPSN	0.06005240035868592
MYEOV	0.05874344436760829
GDF2	0.05725090362105005
RBMS3	0.05700062386943862
ZAP70	0.0567631950035311
PRSS44P	0.05666281514305915
SLC35F1	0.05545877443745696
FRK	0.05484978198397678
KIF2A	0.054679127351701516
AC099535.1	0.05466251271097181
HM13	0.05366585557634133
PLEKHG1	0.05286483538652309
AC068985.1	0.05184331650733967
