Avg betweenness: 0.004529427001665425

Gene	betweenness
AC069368.1	0.5706635922722846
NEBL	0.14076851343237826
UBAP1	0.10314444117985201
SLC20A2	0.08205588414387481
SPINK7	0.023265756271210965
AC104119.1	0.016590445531695634
TET2	0.014340005876266273
FNDC3B	0.010028614861843874
STAM2	0.0027854779576142385
NFKBIA	0.0008360904945005814
ZNF638	6.855643983427226e-05
SF3A3	6.855643983427226e-05
AC007092.1	6.855643983427226e-05
FER	2.3845718203225132e-05
SMOC2	1.4903573877015708e-05
HMGB3P18	1.4903573877015708e-05
EDN1	1.4903573877015708e-05
AC073115.2	1.4903573877015708e-05
ZNF827	0.0
ZNF618	0.0
ZNF467	0.0
ZBTB20	0.0
YY1	0.0
YKT6	0.0
YAP1	0.0
WNT7A	0.0
WIPF1	0.0
WDR1	0.0
USP50	0.0
ULK4	0.0
TSPAN14	0.0
TRIP6	0.0
TRHR	0.0
TRAPPC9	0.0
TRANK1	0.0
TNS3	0.0
TMX2	0.0
TLN2	0.0
THEM7P	0.0
TGFBR3	0.0
TET1	0.0
TCF7L2	0.0
TCF7L1	0.0
TBL1XR1	0.0
SUGCT	0.0
STEAP2	0.0
STAB1	0.0
SPSB1	0.0
SNX19	0.0
SLC25A26	0.0
SLC22A3	0.0
SGIP1	0.0
SGCD	0.0
SCN10A	0.0
SCAI	0.0
SAMD4AA	0.0
RREB1	0.0
RNU4-35P	0.0
RNF207	0.0
RN7SKP15	0.0
RIN3	0.0
RERG	0.0
RANP6	0.0
RABGAP1	0.0
QSOX1	0.0
PRR16	0.0
PROM1	0.0
PRKCE	0.0
PRDM11	0.0
PLXDC2	0.0
PHF19	0.0
PHC2	0.0
PHACTR4	0.0
PHACTR1	0.0
PDE3A	0.0
PAPPA2	0.0
PALLD	0.0
ODF2L	0.0
OBI1	0.0
NRG1	0.0
NOX4	0.0
NME7	0.0
MYPN	0.0
MYO1E	0.0
MYH6	0.0
MTNR1B	0.0
MSH5	0.0
MPPE1P1	0.0
MLIP	0.0
MED13L	0.0
MCF2L	0.0
MAP1B	0.0
MALRD1	0.0
LUZP1	0.0
LUCAT1	0.0
LRRC69	0.0
LINC02576	0.0
LINC02544	0.0
LINC02230	0.0
LINC01611	0.0
LINC01358	0.0
LINC00536	0.0
LIN54	0.0
LHFPL2	0.0
KLHL29	0.0
KIF15	0.0
KCNQ5	0.0
KAT2B	0.0
JCAD	0.0
ITGA1	0.0
INHBA	0.0
ING1	0.0
IL6	0.0
HNF4G	0.0
HGFAC	0.0
HDAC9	0.0
HAUS6	0.0
H1-7	0.0
GDF7	0.0
GATA2	0.0
G6PC2	0.0
FUT10	0.0
FTMT	0.0
FOXO3	0.0
FNDC1	0.0
FN1	0.0
FHL2	0.0
FGD6	0.0
FBXL17	0.0
FBN1	0.0
FBLN5	0.0
FAM193A	0.0
FAM186B	0.0
FAF1	0.0
ESR1	0.0
ENSA	0.0
EML1	0.0
ELN	0.0
EEPD1	0.0
EDNRA	0.0
EBF1	0.0
DIRC1	0.0
DIO3OS	0.0
DDAH1	0.0
CYP20A1	0.0
CYBRD1	0.0
CTNNA3	0.0
CTBP1-DT	0.0
CREB5	0.0
CRACR2B	0.0
COX8A	0.0
COL6A3	0.0
COL21A1	0.0
COL15A1	0.0
COG5	0.0
CNRIP1	0.0
CMSS1	0.0
CHRM2	0.0
CEP164	0.0
CELF2	0.0
CDKN1A	0.0
CDK6	0.0
CDK14	0.0
CD46	0.0
CCND2	0.0
CCN3	0.0
CCDC75P1	0.0
CCDC30	0.0
CCDC197	0.0
CAV1	0.0
C1QTNF7	0.0
BNC2	0.0
BMP6	0.0
ARMH3	0.0
ARL6IP6	0.0
ARL14EP	0.0
ARL14	0.0
ARHGAP12	0.0
AP003351.1	0.0
ANKUB1	0.0
AL691420.1	0.0
AL589647.1	0.0
AL365295.1	0.0
AL359546.1	0.0
AL359091.2	0.0
AL357146.1	0.0
AL356364.1	0.0
AL355499.1	0.0
AL353681.1	0.0
AL163932.1	0.0
AL162726.3	0.0
AL121970.1	0.0
AL049775.2	0.0
AKR1A1	0.0
AIG1	0.0
AFAP1	0.0
ADCY5	0.0
ADAMTS8	0.0
AC093904.1	0.0
AC087312.1	0.0
AC084017.1	0.0
AC074286.1	0.0
AC067959.1	0.0
AC058822.1	0.0
AC023161.1	0.0
AC022274.1	0.0
AC021074.3	0.0
AC018706.1	0.0
AC007563.2	0.0
AC007389.1	0.0
AC007381.2	0.0
AC004869.1	0.0
ABCC9	0.0
