Avg centroid_value: -202.3661971830986

Gene	centroid_value
AC069368.1	52
NEBL	-52
UBAP1	-63
SLC20A2	-73
SPINK7	-120
AC104119.1	-129
TET2	-133
FNDC3B	-143
STAM2	-170
NFKBIA	-200
ZNF638	-202
SF3A3	-202
AC007092.1	-202
TGFBR3	-203
TCF7L1	-203
SPSB1	-203
SGIP1	-203
RNF207	-203
QSOX1	-203
PRKCE	-203
PHC2	-203
PHACTR4	-203
PAPPA2	-203
ODF2L	-203
NME7	-203
LUZP1	-203
LINC02576	-203
LINC01358	-203
KLHL29	-203
GDF7	-203
FHL2	-203
FAF1	-203
ENSA	-203
DDAH1	-203
CNRIP1	-203
CD46	-203
CCDC30	-203
AL356364.1	-203
AL353681.1	-203
AKR1A1	-203
AC093904.1	-203
AC067959.1	-203
AC007389.1	-203
AC007381.2	-203
ZBTB20	-204
WNT7A	-204
WIPF1	-204
ULK4	-204
TRANK1	-204
STAB1	-204
SLC25A26	-204
SCN10A	-204
KIF15	-204
KAT2B	-204
GATA2	-204
G6PC2	-204
FN1	-204
DIRC1	-204
CYP20A1	-204
CYBRD1	-204
COL6A3	-204
CMSS1	-204
CCDC75P1	-204
ARL6IP6	-204
ARL14	-204
ANKUB1	-204
ADCY5	-204
AC084017.1	-204
AC074286.1	-204
AC021074.3	-204
AC007563.2	-204
WDR1	-205
TBL1XR1	-205
PROM1	-205
LIN54	-205
HGFAC	-205
FAM193A	-205
CTBP1-DT	-205
C1QTNF7	-205
AFAP1	-205
AC058822.1	-205
ZNF827	-206
RANP6	-206
PALLD	-206
FER	-206
EDNRA	-206
SMOC2	-207
PRR16	-207
MAP1B	-207
LUCAT1	-207
LINC02230	-207
LHFPL2	-207
ITGA1	-207
HMGB3P18	-207
FTMT	-207
FBXL17	-207
EDN1	-207
AC073115.2	-207
ZNF467	-208
YKT6	-208
TRIP6	-208
TNS3	-208
SUGCT	-208
STEAP2	-208
SLC22A3	-208
SGCD	-208
RREB1	-208
RNU4-35P	-208
PHACTR1	-208
NRG1	-208
MSH5	-208
MLIP	-208
LINC02544	-208
LINC01611	-208
KCNQ5	-208
INHBA	-208
IL6	-208
HDAC9	-208
FUT10	-208
FOXO3	-208
FNDC1	-208
ESR1	-208
ELN	-208
EEPD1	-208
EBF1	-208
CREB5	-208
COL21A1	-208
COG5	-208
CHRM2	-208
CDKN1A	-208
CDK6	-208
CDK14	-208
CAV1	-208
BMP6	-208
AL589647.1	-208
AL357146.1	-208
AL355499.1	-208
AL121970.1	-208
AIG1	-208
AC018706.1	-208
AC004869.1	-208
TRHR	-209
TRAPPC9	-209
LRRC69	-209
LINC00536	-209
HNF4G	-209
HAUS6	-209
CCN3	-209
BNC2	-209
AP003351.1	-209
AC022274.1	-209
ZNF618	-210
SCAI	-210
RABGAP1	-210
PLXDC2	-210
PHF19	-210
MALRD1	-210
CTNNA3	-210
COL15A1	-210
CELF2	-210
AL691420.1	-210
AL359546.1	-210
AL359091.2	-210
AL162726.3	-210
AC087312.1	-210
YY1	-211
YAP1	-211
USP50	-211
TSPAN14	-211
TMX2	-211
TLN2	-211
THEM7P	-211
TET1	-211
TCF7L2	-211
SNX19	-211
SAMD4AA	-211
RN7SKP15	-211
RIN3	-211
RERG	-211
PRDM11	-211
PDE3A	-211
OBI1	-211
NOX4	-211
MYPN	-211
MYO1E	-211
MYH6	-211
MTNR1B	-211
MPPE1P1	-211
MED13L	-211
MCF2L	-211
JCAD	-211
ING1	-211
H1-7	-211
FGD6	-211
FBN1	-211
FBLN5	-211
FAM186B	-211
EML1	-211
DIO3OS	-211
CRACR2B	-211
COX8A	-211
CEP164	-211
CCND2	-211
CCDC197	-211
ARMH3	-211
ARL14EP	-211
ARHGAP12	-211
AL365295.1	-211
AL163932.1	-211
AL049775.2	-211
ADAMTS8	-211
AC023161.1	-211
ABCC9	-211
