Avg betweenness: 0.008754924320962056

Gene	betweenness
APOE	0.19632809816516875
GATA2	0.16846006228977123
FER	0.06676800046679238
TRIP6	0.06357235080592247
AL355499.1	0.057850869892184034
AC104119.1	0.051276506076459505
OSBPL7	0.038896773161367026
HMGB3P18	0.0381986714948197
SPIB	0.03194997896117711
FAM186B	0.027664992775762128
HGFAC	0.021612858287582814
SUGCT	0.020829737547877522
RANP6	0.01908545302217157
AC091152.3	0.017665008625051833
AC004869.1	0.017541445969143987
PAPPA2	0.016580769080434224
KIF15	0.009476983866786566
MYPN	0.00913582200520872
AC087312.1	0.008802750354189095
AC007563.2	0.007212477782951324
DOT1L	0.0057470330007284125
EDNRA	0.00499722525479379
LUZP1	0.0033036532628872724
LINC01611	0.002818474283843009
FGD6	0.0025547157500009888
COG5	0.0024851249021663867
SCAI	0.002168583102983516
XRCC6	0.001419297381863521
FHL2	0.0013943554668790505
PHACTR4	0.001282202304918111
TMEM239	0.0011785447714225414
AC009070.1	0.0011533430113749377
AC024267.2	0.0010768234260828623
CCND2	0.0008297318913147229
ZNF467	0.0007334617369432779
AP003351.1	0.0006970026226126835
ESR1	0.000681200887773413
CELF2	0.0006460838550441504
ELN	0.0005622265691668122
UQCR10	0.0004944676239414167
LUCAT1	0.0004771310453785872
AP000317.2	0.00041870023247314966
VAC14	0.0003423792868184683
FNDC1	0.00021621896621896617
KCNQ5	0.00021514300842428858
PRDM11	0.00021242542705986376
ULK4	0.00011922216480739354
TP53	0.0001087671297202478
AC004156.1	0.00010378510378510379
PLXDC2	9.327309271811364e-05
EEPD1	7.876128755249633e-05
CCDC30	7.2866798899387e-05
FNDC3B	7.055742078199336e-05
AC023161.1	6.759874492432632e-05
TNRC6B	6.367865752180119e-05
MORF4L1	5.28984903984904e-05
MAPK4	4.611933959760047e-05
AC120498.4	3.987558335384423e-05
KCNH4	3.416700621669566e-05
BRD1	3.240349394195548e-05
NOTCH3	9.157509157509158e-06
LCA5L	7.96305144131231e-06
PDE3A	5.7234432234432234e-06
ZNF516	0.0
YKT6	0.0
WIPF1	0.0
TNRC6A	0.0
SGIP1	0.0
RNF207	0.0
RN7SKP15	0.0
RABGAP1	0.0
PSMG2	0.0
PROCR	0.0
PRKCE	0.0
ODF2L	0.0
NFAT5	0.0
MYH6	0.0
MSH5	0.0
MLIP	0.0
MED13L	0.0
MAP2K2	0.0
LINC02544	0.0
LINC02230	0.0
LINC01569	0.0
LINC01358	0.0
LINC00536	0.0
KIAA1755	0.0
KAT2B	0.0
ITGA1	0.0
ING1	0.0
IDH2	0.0
HDAC9	0.0
GIPR	0.0
FBN1	0.0
DYNLRB1	0.0
DDAH1	0.0
CHD2	0.0
CEP164	0.0
C20orf203	0.0
BNC2	0.0
AL691420.1	0.0
AL049775.2	0.0
AC074286.1	0.0
AC067959.1	0.0
AC058822.1	0.0
AC009097.2	0.0
