Avg bridging: 0.0009468222629967794

Gene	bridging
GATA2	0.007558162702920249
TRIP6	0.006405176818312672
AC104119.1	0.00625415750053748
FER	0.00623749782315277
AL355499.1	0.006062928544711385
FAM186B	0.005884946332597197
OSBPL7	0.004953266229837745
AC091152.3	0.004786796295998202
SPIB	0.004450803555139713
AC004869.1	0.003497672993224441
APOE	0.0034334489594220648
RANP6	0.0031733063844971918
HMGB3P18	0.0030871792794743185
PAPPA2	0.0030727077937628276
HGFAC	0.0025809746015579764
AC007563.2	0.0025676225500090933
KIF15	0.0025615744949956942
AC087312.1	0.002282634119717853
SUGCT	0.001963427486591244
MYPN	0.001950321477244697
EDNRA	0.0016634628415701876
DOT1L	0.0016082110273488838
FGD6	0.0012735679995487539
LUZP1	0.0012727540290419824
LINC01611	0.0012599750199537478
SCAI	0.0009120689791996067
COG5	0.0008198433117750925
TMEM239	0.000764822692855134
XRCC6	0.000763626064205099
AC024267.2	0.0006883169031732539
FHL2	0.0006676148411242217
PHACTR4	0.0005832514826471604
AC009070.1	0.0005607078305710983
CCND2	0.0004936947847791571
ESR1	0.00040734163002811375
AP003351.1	0.00038989170761792737
CELF2	0.00038610421436855
ZNF467	0.0003793011827545672
LUCAT1	0.00033917523704887157
UQCR10	0.00030936177672956713
ELN	0.00029318990759060615
AP000317.2	0.00026824387408444815
VAC14	0.00023559444893222158
FNDC1	0.000158513733319927
PRDM11	0.00015587463181832917
KCNQ5	0.00015537939016996966
ULK4	0.00010021945907157684
AC004156.1	8.279480234560899e-05
TP53	8.03473653815836e-05
AC023161.1	6.33903281714731e-05
PLXDC2	6.206130903701161e-05
EEPD1	6.19197847257867e-05
CCDC30	5.753436240776979e-05
FNDC3B	5.210776672701614e-05
TNRC6B	4.8896276949390044e-05
MORF4L1	4.02063369085229e-05
MAPK4	3.552487670017541e-05
AC120498.4	3.317062329401524e-05
BRD1	2.6778965739193096e-05
KCNH4	2.5891362949623623e-05
NOTCH3	6.8944038326490135e-06
LCA5L	6.1093096870704284e-06
PDE3A	4.817057768830221e-06
ZNF516	0.0
YKT6	0.0
WIPF1	0.0
TNRC6A	0.0
SGIP1	0.0
RNF207	0.0
RN7SKP15	0.0
RABGAP1	0.0
PSMG2	0.0
PROCR	0.0
PRKCE	0.0
ODF2L	0.0
NFAT5	0.0
MYH6	0.0
MSH5	0.0
MLIP	0.0
MED13L	0.0
MAP2K2	0.0
LINC02544	0.0
LINC02230	0.0
LINC01569	0.0
LINC01358	0.0
LINC00536	0.0
KIAA1755	0.0
KAT2B	0.0
ITGA1	0.0
ING1	0.0
IDH2	0.0
HDAC9	0.0
GIPR	0.0
FBN1	0.0
DYNLRB1	0.0
DDAH1	0.0
CHD2	0.0
CEP164	0.0
C20orf203	0.0
BNC2	0.0
AL691420.1	0.0
AL049775.2	0.0
AC074286.1	0.0
AC067959.1	0.0
AC058822.1	0.0
AC009097.2	0.0
