Avg degree: 18.867924528301888

Gene	Degree
APOE	84
GATA2	78
TRIP6	61
HMGB3P18	60
FER	60
AL355499.1	59
SUGCT	57
AC104119.1	57
OSBPL7	54
HGFAC	54
SPIB	53
RANP6	48
PAPPA2	48
AC004869.1	46
FAM186B	44
MYPN	43
KIF15	39
AC091152.3	39
AC087312.1	39
DOT1L	38
EDNRA	33
COG5	33
AC007563.2	33
LUZP1	31
SCAI	29
PHACTR4	27
LINC01611	26
FHL2	26
FGD6	25
AC009070.1	25
ZNF467	24
XRCC6	23
ELN	23
AP003351.1	21
ESR1	20
CELF2	20
CCND2	20
UQCR10	18
PLXDC2	18
AP000317.2	17
AC024267.2	17
TMEM239	16
VAC14	15
LUCAT1	15
KCNQ5	14
FNDC3B	14
TP53	13
PRDM11	13
MORF4L1	13
LCA5L	13
KCNH4	13
YKT6	12
TNRC6B	12
ODF2L	12
NOTCH3	12
FNDC1	12
EEPD1	12
MAPK4	11
LINC02230	11
CCDC30	11
AC004156.1	11
WIPF1	10
ULK4	9
RN7SKP15	9
PDE3A	9
GIPR	9
PROCR	8
BRD1	8
AC120498.4	8
SGIP1	7
BNC2	7
AL049775.2	7
AC058822.1	7
TNRC6A	5
MYH6	5
KIAA1755	5
KAT2B	5
ING1	5
AC023161.1	4
LINC01569	3
IDH2	3
HDAC9	3
FBN1	3
DYNLRB1	3
DDAH1	3
ZNF516	2
MSH5	2
MED13L	2
LINC01358	2
LINC00536	2
CHD2	2
C20orf203	2
AC074286.1	2
AC009097.2	2
RNF207	1
RABGAP1	1
PSMG2	1
PRKCE	1
NFAT5	1
MLIP	1
MAP2K2	1
LINC02544	1
ITGA1	1
CEP164	1
AL691420.1	1
AC067959.1	1
