Avg eigenvector: 0.07563910039571674

Gene	eigenvector
APOE	0.21916695015297435
GATA2	0.21101643848074067
HMGB3P18	0.19592716532186255
SUGCT	0.1944126277632811
FER	0.1918532173615162
TRIP6	0.1891038773683135
AL355499.1	0.1888817677333927
HGFAC	0.18576217364195208
AC104119.1	0.18361075841202656
OSBPL7	0.18322301080870268
SPIB	0.17793463879351445
RANP6	0.17025385995420217
PAPPA2	0.16886122517006502
AC004869.1	0.1656446109312337
MYPN	0.16426071315809265
FAM186B	0.16361286558057322
DOT1L	0.15202972988116883
AC087312.1	0.15077819709450102
KIF15	0.1485878234219822
AC091152.3	0.1464156590988475
COG5	0.14357712560787803
AC007563.2	0.13666864307934484
EDNRA	0.1355006050099941
LUZP1	0.1336710305747731
SCAI	0.12473473345103665
PHACTR4	0.1230267991846208
FHL2	0.11499441273015071
ZNF467	0.11320814469405
FGD6	0.11302978715112892
AC009070.1	0.10987601674191247
ELN	0.10829152134521357
LINC01611	0.10688633445126568
XRCC6	0.09791869007423003
AP003351.1	0.09646457656419709
CCND2	0.09585085389768883
PLXDC2	0.09236351455086264
CELF2	0.0917573337130974
ESR1	0.09088271065610377
UQCR10	0.08069823091877178
AP000317.2	0.08046507183647784
AC024267.2	0.07700959654346269
FNDC3B	0.07183749079093722
LCA5L	0.06937937748498663
LUCAT1	0.06912586635914908
TMEM239	0.06792689069567245
VAC14	0.06707078886610791
KCNQ5	0.06683830677569266
KCNH4	0.06644911819894189
MORF4L1	0.06574694240798583
YKT6	0.06321264618701013
ODF2L	0.06303501100712694
EEPD1	0.06261315414182163
TP53	0.06206842980316677
NOTCH3	0.0606344752979834
PRDM11	0.060244232085518934
TNRC6B	0.06019935078385257
FNDC1	0.05685209554940756
LINC02230	0.05684564151901333
AC004156.1	0.05665946235864534
WIPF1	0.055108652983933894
MAPK4	0.05450476784561288
CCDC30	0.0535124595320879
RN7SKP15	0.04800216459556869
PDE3A	0.04656749755819735
ULK4	0.04649441348826058
GIPR	0.044913921879234465
PROCR	0.0444605241851702
SGIP1	0.03942452080148336
AL049775.2	0.03921929133601595
AC120498.4	0.03912569808946849
AC058822.1	0.03889685706052132
BRD1	0.03665883475128388
BNC2	0.03601002352152142
TNRC6A	0.028194030629716534
MYH6	0.028137895740610968
KIAA1755	0.02651793734226984
KAT2B	0.02651729227889091
ING1	0.025349077463310655
AC023161.1	0.020113940616139126
IDH2	0.01847315719484114
HDAC9	0.017674592714377733
DYNLRB1	0.017030019296222075
FBN1	0.016429934814645778
LINC01569	0.016027322893165656
DDAH1	0.014580259061304062
AC074286.1	0.01269239035608076
LINC01358	0.01212700194977858
MSH5	0.012045881684750456
C20orf203	0.01203932794305229
LINC00536	0.01200672453274838
CHD2	0.01123346456864535
ZNF516	0.01082936141044674
MED13L	0.010786394938403027
AC009097.2	0.009899411298967962
RABGAP1	0.006466432662092762
PRKCE	0.006466432662092762
MLIP	0.006466432662092762
RNF207	0.006225957693987999
CEP164	0.006225957693987999
AL691420.1	0.006225957693987999
AC067959.1	0.006225957693987999
PSMG2	0.005660569287685821
MAP2K2	0.0055728952809595295
ITGA1	0.00541737787912707
NFAT5	0.005405941639072009
LINC02544	0.0048273595219443495
