Avg radiality: 2.127583108715184

Gene	radiality
APOE	2.8380952380952382
GATA2	2.780952380952381
TRIP6	2.619047619047619
HMGB3P18	2.6095238095238096
FER	2.6095238095238096
AL355499.1	2.6
SUGCT	2.580952380952381
AC104119.1	2.580952380952381
OSBPL7	2.552380952380952
HGFAC	2.552380952380952
SPIB	2.5428571428571427
RANP6	2.4952380952380953
PAPPA2	2.4952380952380953
AC004869.1	2.4761904761904763
FAM186B	2.4571428571428573
MYPN	2.447619047619048
KIF15	2.4095238095238094
AC091152.3	2.4095238095238094
AC087312.1	2.4095238095238094
DOT1L	2.4
EDNRA	2.3523809523809525
COG5	2.3523809523809525
AC007563.2	2.3523809523809525
LUZP1	2.3333333333333335
SCAI	2.295238095238095
PHACTR4	2.295238095238095
LINC01611	2.276190476190476
FHL2	2.276190476190476
ZNF467	2.2666666666666666
FGD6	2.2666666666666666
AC009070.1	2.2666666666666666
ELN	2.257142857142857
XRCC6	2.2476190476190476
AP003351.1	2.238095238095238
ESR1	2.219047619047619
CELF2	2.2095238095238097
CCND2	2.2095238095238097
PLXDC2	2.2
AC024267.2	2.1809523809523808
AP000317.2	2.1714285714285713
FNDC3B	2.1619047619047618
MORF4L1	2.1523809523809523
UQCR10	2.142857142857143
EEPD1	2.142857142857143
LUCAT1	2.1333333333333333
LCA5L	2.1333333333333333
KCNQ5	2.1333333333333333
YKT6	2.123809523809524
WIPF1	2.123809523809524
VAC14	2.123809523809524
RN7SKP15	2.123809523809524
FNDC1	2.123809523809524
TNRC6B	2.1142857142857143
NOTCH3	2.1142857142857143
LINC02230	2.1142857142857143
KCNH4	2.1142857142857143
TP53	2.104761904761905
TMEM239	2.104761904761905
PRDM11	2.0952380952380953
AC004156.1	2.0952380952380953
AL049775.2	2.0761904761904764
ULK4	2.066666666666667
ODF2L	2.066666666666667
CCDC30	2.066666666666667
SGIP1	2.057142857142857
PROCR	2.057142857142857
MAPK4	2.057142857142857
AC120498.4	2.057142857142857
AC058822.1	2.057142857142857
MYH6	2.0285714285714285
KAT2B	2.0285714285714285
GIPR	2.019047619047619
BNC2	2.0095238095238095
PDE3A	2.0
AC023161.1	1.9904761904761905
TNRC6A	1.9714285714285715
KIAA1755	1.9619047619047618
IDH2	1.9619047619047618
HDAC9	1.9619047619047618
LINC01569	1.9523809523809523
AC074286.1	1.9428571428571428
BRD1	1.9238095238095239
LINC01358	1.9142857142857144
FBN1	1.9142857142857144
MSH5	1.9047619047619047
C20orf203	1.9047619047619047
MED13L	1.8761904761904762
DYNLRB1	1.8761904761904762
ING1	1.8571428571428572
RABGAP1	1.8476190476190477
PRKCE	1.8476190476190477
MLIP	1.8476190476190477
LINC00536	1.838095238095238
RNF207	1.7904761904761906
CEP164	1.7904761904761906
AL691420.1	1.7904761904761906
AC067959.1	1.7904761904761906
CHD2	1.7714285714285714
ZNF516	1.7619047619047619
DDAH1	1.7333333333333334
AC009097.2	1.6952380952380952
PSMG2	1.619047619047619
MAP2K2	1.6095238095238096
ITGA1	1.5904761904761904
NFAT5	1.561904761904762
LINC02544	1.4666666666666666
