Avg betweenness: 0.008754924320962056

Gene	betweenness
APOE	0.19632809816516875
GATA2	0.16846006228977123
FER	0.06676800046679238
TRIP6	0.06357235080592247
AL355499.1	0.057850869892184034
AC104119.1	0.051276506076459505
OSBPL7	0.038896773161367026
HMGB3P18	0.0381986714948197
SPIB	0.03194997896117711
FAM186B	0.027664992775762128
HGFAC	0.021612858287582814
SUGCT	0.020829737547877522
RANP6	0.01908545302217157
AC091152.3	0.017665008625051833
AC004869.1	0.017541445969143987
PAPPA2	0.016580769080434224
KIF15	0.009476983866786566
MYPN	0.00913582200520872
AC087312.1	0.008802750354189095
