Avg bridging: 0.0009468222629967794

Gene	bridging
GATA2	0.007558162702920249
TRIP6	0.006405176818312672
AC104119.1	0.00625415750053748
FER	0.00623749782315277
AL355499.1	0.006062928544711385
FAM186B	0.005884946332597197
OSBPL7	0.004953266229837745
AC091152.3	0.004786796295998202
SPIB	0.004450803555139713
AC004869.1	0.003497672993224441
APOE	0.0034334489594220648
RANP6	0.0031733063844971918
HMGB3P18	0.0030871792794743185
PAPPA2	0.0030727077937628276
HGFAC	0.0025809746015579764
AC007563.2	0.0025676225500090933
KIF15	0.0025615744949956942
AC087312.1	0.002282634119717853
SUGCT	0.001963427486591244
MYPN	0.001950321477244697
EDNRA	0.0016634628415701876
DOT1L	0.0016082110273488838
FGD6	0.0012735679995487539
LUZP1	0.0012727540290419824
LINC01611	0.0012599750199537478
