Avg closeness: 0.5349612670146495

Gene	closeness
APOE	0.8333333333333334
GATA2	0.7954545454545454
TRIP6	0.7046979865771812
HMGB3P18	0.7
FER	0.7
AL355499.1	0.695364238410596
SUGCT	0.6862745098039216
AC104119.1	0.6862745098039216
OSBPL7	0.6730769230769231
HGFAC	0.6730769230769231
SPIB	0.6687898089171974
RANP6	0.6481481481481481
PAPPA2	0.6481481481481481
AC004869.1	0.6402439024390244
FAM186B	0.6325301204819277
MYPN	0.6287425149700598
KIF15	0.6140350877192983
AC091152.3	0.6140350877192983
AC087312.1	0.6140350877192983
DOT1L	0.6104651162790697
EDNRA	0.5932203389830508
COG5	0.5932203389830508
AC007563.2	0.5932203389830508
LUZP1	0.5865921787709497
SCAI	0.5737704918032787
PHACTR4	0.5737704918032787
LINC01611	0.5675675675675675
FHL2	0.5675675675675675
ZNF467	0.5645161290322581
FGD6	0.5645161290322581
AC009070.1	0.5645161290322581
ELN	0.5614973262032086
XRCC6	0.5585106382978723
AP003351.1	0.5555555555555556
ESR1	0.5497382198952879
CELF2	0.546875
CCND2	0.546875
PLXDC2	0.5440414507772021
AC024267.2	0.5384615384615384
AP000317.2	0.5357142857142857
