Avg eigenvector: 0.07563910039571674

Gene	eigenvector
APOE	0.21916695015297435
GATA2	0.21101643848074067
HMGB3P18	0.19592716532186255
SUGCT	0.1944126277632811
FER	0.1918532173615162
TRIP6	0.1891038773683135
AL355499.1	0.1888817677333927
HGFAC	0.18576217364195208
AC104119.1	0.18361075841202656
OSBPL7	0.18322301080870268
SPIB	0.17793463879351445
RANP6	0.17025385995420217
PAPPA2	0.16886122517006502
AC004869.1	0.1656446109312337
MYPN	0.16426071315809265
FAM186B	0.16361286558057322
DOT1L	0.15202972988116883
AC087312.1	0.15077819709450102
KIF15	0.1485878234219822
AC091152.3	0.1464156590988475
COG5	0.14357712560787803
AC007563.2	0.13666864307934484
EDNRA	0.1355006050099941
LUZP1	0.1336710305747731
SCAI	0.12473473345103665
PHACTR4	0.1230267991846208
FHL2	0.11499441273015071
ZNF467	0.11320814469405
FGD6	0.11302978715112892
AC009070.1	0.10987601674191247
ELN	0.10829152134521357
LINC01611	0.10688633445126568
XRCC6	0.09791869007423003
AP003351.1	0.09646457656419709
CCND2	0.09585085389768883
PLXDC2	0.09236351455086264
CELF2	0.0917573337130974
ESR1	0.09088271065610377
UQCR10	0.08069823091877178
AP000317.2	0.08046507183647784
AC024267.2	0.07700959654346269
