Avg radiality: 2.127583108715184

Gene	radiality
APOE	2.8380952380952382
GATA2	2.780952380952381
TRIP6	2.619047619047619
HMGB3P18	2.6095238095238096
FER	2.6095238095238096
AL355499.1	2.6
SUGCT	2.580952380952381
AC104119.1	2.580952380952381
OSBPL7	2.552380952380952
HGFAC	2.552380952380952
SPIB	2.5428571428571427
RANP6	2.4952380952380953
PAPPA2	2.4952380952380953
AC004869.1	2.4761904761904763
FAM186B	2.4571428571428573
MYPN	2.447619047619048
KIF15	2.4095238095238094
AC091152.3	2.4095238095238094
AC087312.1	2.4095238095238094
DOT1L	2.4
EDNRA	2.3523809523809525
COG5	2.3523809523809525
AC007563.2	2.3523809523809525
LUZP1	2.3333333333333335
SCAI	2.295238095238095
PHACTR4	2.295238095238095
LINC01611	2.276190476190476
FHL2	2.276190476190476
ZNF467	2.2666666666666666
FGD6	2.2666666666666666
AC009070.1	2.2666666666666666
ELN	2.257142857142857
XRCC6	2.2476190476190476
AP003351.1	2.238095238095238
ESR1	2.219047619047619
CELF2	2.2095238095238097
CCND2	2.2095238095238097
PLXDC2	2.2
AC024267.2	2.1809523809523808
AP000317.2	2.1714285714285713
FNDC3B	2.1619047619047618
MORF4L1	2.1523809523809523
UQCR10	2.142857142857143
EEPD1	2.142857142857143
LUCAT1	2.1333333333333333
LCA5L	2.1333333333333333
KCNQ5	2.1333333333333333
