Avg bridging: 0.001181321636051134

Gene	bridging
AL355499.1	0.017527918786612185
AC087312.1	0.015005720130485945
TRIP6	0.014082774926351717
APOE	0.012189833103782981
GATA2	0.010558364281085352
HGFAC	0.01052756029474471
FGD6	0.010160389266313023
VAC14	0.009774662128999377
SUGCT	0.009230822667716338
CCND2	0.009058228377262133
LIG3	0.008563418305270618
MORF4L1	0.008488617050010035
SLC20A2	0.006944730754254563
MYPN	0.006669983660124356
OSBPL7	0.006666917582800693
EDNRA	0.004725708708274375
AC104119.1	0.0042247798643967474
KIAA1755	0.004047072578826574
FNDC3B	0.004009158237076987
XRCC6	0.0035901028833404845
AC023161.1	0.0035870527960796383
AC091152.3	0.0035282138147350846
KCNH4	0.003011786760719214
FER	0.003005136147064028
PHACTR4	0.002546293243674645
LUZP1	0.0025136057216213086
AP003351.1	0.0022950288990258136
NOTCH3	0.002118718431111877
PAPPA2	0.0019006985038161558
FHOD3	0.0018794636580111742
AC007563.2	0.0016684413269579873
PROM1	0.0016661725469723774
SPIB	0.0015702657945958665
KIF15	0.0015169309686184598
EEPD1	0.001425041412322658
FAM186B	0.0013987653376178384
ELN	0.0013325881311498338
AC024267.2	0.0013287785874968876
FOXO3	0.0010380928171428616
COG5	0.0008107462816553657
LINC01611	0.0006530216667708543
AC009097.2	0.0006495724564821534
PLXDC2	0.0006094593309818685
TP53	0.0006075953246598523
AC074286.1	0.00041970645246199083
LCA5L	0.00041484533779336083
KAT2B	0.00039137994000241794
AC022274.1	0.0003873216515242632
AP000317.2	0.0003260176652837044
ZNF467	0.0003138946577943223
HMGB3P18	0.00029601939627159633
RANP6	0.00029362835030738666
LINC02230	0.0002864067641368732
WNT7A	0.0002731459498128508
SCAI	0.00023562706622983813
BRD1	0.0002239797335347872
DOT1L	0.0002186403756534932
EBF1	0.00014026695574195772
WIPF1	0.00013803460212165536
AC004869.1	0.00012898004051450592
AL356364.1	0.00010721610750644947
TMEM239	0.00010133636349608419
AC004156.1	9.636960259054202e-05
ITGA1	9.485235840840863e-05
TRANK1	9.06635328455362e-05
ODF2L	8.437335592368972e-05
FHL2	8.436593851839358e-05
AC058822.1	7.826202138925265e-05
MYO1E	7.485910255464241e-05
PYY	6.88677485315854e-05
MYH6	6.223901263858656e-05
AC009070.1	4.810252966818164e-05
JCAD	4.6650398105550996e-05
PROCR	4.326511472799749e-05
AL359091.2	2.5640167760601565e-05
KCNQ5	2.2653191839524255e-05
FNDC1	2.1231152124181196e-05
PRKCE	1.88478423257986e-05
PRDM11	1.7822687679125534e-05
CELF2	1.407182258246088e-05
ZNF827	9.38121505497392e-06
AC093904.1	8.536207661771814e-06
RN7SKP15	7.345109806344367e-06
YAP1	7.03591129123044e-06
LINC02544	6.85963028938044e-06
MCF2L	6.07646400005897e-06
ULK4	4.159406952549918e-06
HDAC9	3.898367244439967e-06
ZNF516	0.0
ZCCHC2	0.0
ZBTB20	0.0
YY1	0.0
YKT6	0.0
WDR1	0.0
UQCR10	0.0
UBAP1	0.0
TSPAN14	0.0
TRIOBP	0.0
TRHR	0.0
TRAPPC9	0.0
TNRC6B	0.0
TNRC6A	0.0
TMX2	0.0
THEM7P	0.0
TCF7L2	0.0
TCF7L1	0.0
TBL1XR1	0.0
STAB1	0.0
SMAD3	0.0
SLC22A3	0.0
SLC14A2	0.0
SGIP1	0.0
SGCD	0.0
SCN10A	0.0
SAMD4AA	0.0
RREB1	0.0
RNU4-35P	0.0
RNF207	0.0
RIN3	0.0
RAMP2	0.0
RABGAP1	0.0
PSMG2	0.0
PHF19	0.0
PHACTR1	0.0
PDE3A	0.0
PALLD	0.0
NOX4	0.0
NFAT5	0.0
NEBL	0.0
MXRA7	0.0
MSH5	0.0
MPPE1P1	0.0
MLIP	0.0
MAPK4	0.0
MAP2K2	0.0
LUCAT1	0.0
LRRC69	0.0
LINC01569	0.0
LIN54	0.0
LHFPL2	0.0
INHBA	0.0
ING1	0.0
GIPR	0.0
G6PC2	0.0
FBXL17	0.0
FBN1	0.0
FBLN5	0.0
ESR1	0.0
EDN1	0.0
DYNLRB1	0.0
DNM2	0.0
DDAH1	0.0
CYP20A1	0.0
CYBRD1	0.0
CRK	0.0
CREB5	0.0
CRACR2B	0.0
COL6A3	0.0
COL6A1	0.0
COL21A1	0.0
COL15A1	0.0
CNRIP1	0.0
CMSS1	0.0
CHD2	0.0
CEP164	0.0
CDKN1A	0.0
CD46	0.0
CCDC75P1	0.0
CCDC30	0.0
CCDC157	0.0
C1QTNF7	0.0
BNC2	0.0
ARMH3	0.0
ARL6IP6	0.0
ARL14	0.0
ARHGAP12	0.0
ANKUB1	0.0
AL691420.1	0.0
AL365295.1	0.0
AL357146.1	0.0
AL163932.1	0.0
AL049775.2	0.0
AFAP1	0.0
AF207955.1	0.0
ADCY5	0.0
ADAMTS8	0.0
AC120498.4	0.0
AC067959.1	0.0
AC018706.1	0.0
ABCC9	0.0
