Avg centroid_value: -151.18947368421053

Gene	centroid_value
AL355499.1	9
GATA2	-9
AC087312.1	-43
APOE	-59
CCND2	-62
HGFAC	-66
TRIP6	-69
SUGCT	-73
EDNRA	-78
AC104119.1	-78
FNDC3B	-90
KCNH4	-91
XRCC6	-93
SPIB	-95
OSBPL7	-97
AC007563.2	-99
PHACTR4	-100
MYPN	-100
KIAA1755	-100
AP003351.1	-100
AC091152.3	-100
VAC14	-101
AC024267.2	-101
NOTCH3	-103
FER	-103
PAPPA2	-105
KAT2B	-106
KIF15	-107
PROM1	-108
LINC01611	-108
HMGB3P18	-108
FGD6	-108
FHOD3	-109
FOXO3	-110
MYH6	-113
EEPD1	-113
WNT7A	-114
PLXDC2	-115
DOT1L	-116
TP53	-118
ELN	-118
COG5	-118
AC023161.1	-120
AC004869.1	-120
LINC02230	-121
LIG3	-121
AC074286.1	-121
AC058822.1	-122
AC009097.2	-123
FAM186B	-124
ZNF467	-125
MYO1E	-125
MSH5	-125
LCA5L	-125
HDAC9	-125
RN7SKP15	-127
PYY	-127
AC009070.1	-127
AP000317.2	-129
EBF1	-130
ODF2L	-132
TMEM239	-134
PRKCE	-135
ARL6IP6	-137
LRRC69	-139
JCAD	-139
MAPK4	-141
SAMD4AA	-142
NEBL	-143
KCNQ5	-144
BRD1	-145
RANP6	-146
PSMG2	-148
MPPE1P1	-148
MORF4L1	-148
AC093904.1	-148
AL163932.1	-149
SCAI	-150
ABCC9	-150
RIN3	-151
MAP2K2	-151
CYBRD1	-151
RABGAP1	-152
ULK4	-153
ITGA1	-156
AC004156.1	-156
UQCR10	-158
AL359091.2	-160
PROCR	-161
TRANK1	-162
LUZP1	-162
AL356364.1	-163
TMX2	-164
CCDC30	-164
ZBTB20	-166
SLC20A2	-166
UBAP1	-167
SGIP1	-168
COL6A1	-168
CCDC75P1	-168
AC022274.1	-168
SLC14A2	-169
RAMP2	-169
PRDM11	-169
MCF2L	-169
AL049775.2	-169
AC067959.1	-169
RNU4-35P	-171
ING1	-172
FNDC1	-172
NOX4	-174
LINC02544	-174
AC120498.4	-174
TNRC6A	-175
FHL2	-175
DYNLRB1	-175
ANKUB1	-175
ZNF516	-176
WIPF1	-177
DNM2	-177
CREB5	-177
AC018706.1	-177
YKT6	-178
YAP1	-180
ZNF827	-182
SCN10A	-182
ADCY5	-182
THEM7P	-183
INHBA	-183
CMSS1	-183
G6PC2	-184
CEP164	-184
WDR1	-185
SGCD	-185
MLIP	-185
ESR1	-185
CELF2	-185
LIN54	-186
GIPR	-187
CHD2	-187
ZCCHC2	-188
YY1	-188
TSPAN14	-188
TRIOBP	-188
TRHR	-188
TRAPPC9	-188
TNRC6B	-188
TCF7L2	-188
TCF7L1	-188
TBL1XR1	-188
STAB1	-188
SMAD3	-188
SLC22A3	-188
RREB1	-188
RNF207	-188
PHF19	-188
PHACTR1	-188
PDE3A	-188
PALLD	-188
NFAT5	-188
MXRA7	-188
LUCAT1	-188
LINC01569	-188
LHFPL2	-188
FBXL17	-188
FBN1	-188
FBLN5	-188
EDN1	-188
DDAH1	-188
CYP20A1	-188
CRK	-188
CRACR2B	-188
COL6A3	-188
COL21A1	-188
COL15A1	-188
CNRIP1	-188
CDKN1A	-188
CD46	-188
CCDC157	-188
C1QTNF7	-188
BNC2	-188
ARMH3	-188
ARL14	-188
ARHGAP12	-188
AL691420.1	-188
AL365295.1	-188
AL357146.1	-188
AFAP1	-188
AF207955.1	-188
ADAMTS8	-188
