Avg betweenness: 0.006580576737351653

Gene	betweenness
AL355499.1	0.3724879304093319
GATA2	0.268741802264248
AC087312.1	0.11172979747028519
APOE	0.0767417487947864
TRIP6	0.05729424910368372
HGFAC	0.0475007287738639
CCND2	0.03929725576298672
SUGCT	0.031093029335367648
FGD6	0.0187285156547686
VAC14	0.018142482896090256
EDNRA	0.016102858112610585
AC104119.1	0.014906006783922017
OSBPL7	0.014351942011355753
LIG3	0.012972592617204095
MYPN	0.012826350338897438
MORF4L1	0.011053943513079856
FNDC3B	0.010584614064396952
SLC20A2	0.010582010582010581
XRCC6	0.008878609841381838
KIAA1755	0.008684993368521802
KCNH4	0.008174846912977152
AC091152.3	0.007917875906863436
