Avg bridging: 0.001181321636051134

Gene	bridging
AL355499.1	0.017527918786612185
AC087312.1	0.015005720130485945
TRIP6	0.014082774926351717
APOE	0.012189833103782981
GATA2	0.010558364281085352
HGFAC	0.01052756029474471
FGD6	0.010160389266313023
VAC14	0.009774662128999377
SUGCT	0.009230822667716338
CCND2	0.009058228377262133
LIG3	0.008563418305270618
MORF4L1	0.008488617050010035
SLC20A2	0.006944730754254563
MYPN	0.006669983660124356
OSBPL7	0.006666917582800693
EDNRA	0.004725708708274375
AC104119.1	0.0042247798643967474
KIAA1755	0.004047072578826574
FNDC3B	0.004009158237076987
XRCC6	0.0035901028833404845
AC023161.1	0.0035870527960796383
AC091152.3	0.0035282138147350846
KCNH4	0.003011786760719214
FER	0.003005136147064028
PHACTR4	0.002546293243674645
LUZP1	0.0025136057216213086
AP003351.1	0.0022950288990258136
NOTCH3	0.002118718431111877
PAPPA2	0.0019006985038161558
FHOD3	0.0018794636580111742
AC007563.2	0.0016684413269579873
PROM1	0.0016661725469723774
SPIB	0.0015702657945958665
KIF15	0.0015169309686184598
EEPD1	0.001425041412322658
FAM186B	0.0013987653376178384
ELN	0.0013325881311498338
AC024267.2	0.0013287785874968876
