Avg centroid_value: -151.18947368421053

Gene	centroid_value
AL355499.1	9
GATA2	-9
AC087312.1	-43
APOE	-59
CCND2	-62
HGFAC	-66
TRIP6	-69
SUGCT	-73
EDNRA	-78
AC104119.1	-78
FNDC3B	-90
KCNH4	-91
XRCC6	-93
SPIB	-95
OSBPL7	-97
AC007563.2	-99
PHACTR4	-100
MYPN	-100
KIAA1755	-100
AP003351.1	-100
AC091152.3	-100
VAC14	-101
AC024267.2	-101
NOTCH3	-103
FER	-103
PAPPA2	-105
KAT2B	-106
KIF15	-107
PROM1	-108
LINC01611	-108
HMGB3P18	-108
FGD6	-108
FHOD3	-109
FOXO3	-110
MYH6	-113
EEPD1	-113
WNT7A	-114
PLXDC2	-115
DOT1L	-116
TP53	-118
ELN	-118
COG5	-118
AC023161.1	-120
AC004869.1	-120
LINC02230	-121
LIG3	-121
AC074286.1	-121
AC058822.1	-122
AC009097.2	-123
FAM186B	-124
ZNF467	-125
MYO1E	-125
MSH5	-125
LCA5L	-125
HDAC9	-125
RN7SKP15	-127
PYY	-127
AC009070.1	-127
AP000317.2	-129
EBF1	-130
ODF2L	-132
TMEM239	-134
PRKCE	-135
ARL6IP6	-137
LRRC69	-139
JCAD	-139
MAPK4	-141
SAMD4AA	-142
NEBL	-143
KCNQ5	-144
BRD1	-145
RANP6	-146
PSMG2	-148
MPPE1P1	-148
MORF4L1	-148
AC093904.1	-148
AL163932.1	-149
SCAI	-150
ABCC9	-150
RIN3	-151
MAP2K2	-151
CYBRD1	-151
