Avg closeness: 0.45523953445473303

Gene	closeness
AL355499.1	0.7325581395348837
GATA2	0.7078651685393258
AC087312.1	0.627906976744186
APOE	0.5962145110410094
CCND2	0.590625
HGFAC	0.5833333333333334
TRIP6	0.5779816513761468
SUGCT	0.5709969788519638
EDNRA	0.5625
AC104119.1	0.5625
FNDC3B	0.5431034482758621
KCNH4	0.5415472779369628
XRCC6	0.5384615384615384
SPIB	0.5354107648725213
OSBPL7	0.532394366197183
AC007563.2	0.5294117647058824
PHACTR4	0.5279329608938548
MYPN	0.5279329608938548
KIAA1755	0.5279329608938548
AP003351.1	0.5279329608938548
AC091152.3	0.5279329608938548
VAC14	0.5264623955431755
AC024267.2	0.5264623955431755
NOTCH3	0.5235457063711911
FER	0.5235457063711911
PAPPA2	0.5206611570247934
KAT2B	0.5192307692307693
KIF15	0.5178082191780822
PROM1	0.5163934426229508
LINC01611	0.5163934426229508
HMGB3P18	0.5163934426229508
FGD6	0.5163934426229508
FHOD3	0.5149863760217984
FOXO3	0.5135869565217391
MYH6	0.5094339622641509
EEPD1	0.5094339622641509
WNT7A	0.5080645161290323
PLXDC2	0.5067024128686327
DOT1L	0.5053475935828877
TP53	0.5026595744680851
ELN	0.5026595744680851
COG5	0.5026595744680851
AC023161.1	0.5
AC004869.1	0.5
LINC02230	0.49868073878627966
LIG3	0.49868073878627966
AC074286.1	0.49868073878627966
AC058822.1	0.49736842105263157
AC009097.2	0.49606299212598426
FAM186B	0.49476439790575916
ZNF467	0.4934725848563969
MYO1E	0.4934725848563969
MSH5	0.4934725848563969
LCA5L	0.4934725848563969
HDAC9	0.4934725848563969
RN7SKP15	0.4909090909090909
PYY	0.4909090909090909
AC009070.1	0.4909090909090909
AP000317.2	0.4883720930232558
EBF1	0.48711340206185566
ODF2L	0.4846153846153846
PRKCE	0.48091603053435117
ARL6IP6	0.47848101265822784
LRRC69	0.4760705289672544
JCAD	0.4760705289672544
MAPK4	0.47368421052631576
SAMD4AA	0.4725
TMEM239	0.4713216957605985
NEBL	0.4713216957605985
KCNQ5	0.4701492537313433
RANP6	0.46782178217821785
PSMG2	0.46551724137931033
MPPE1P1	0.46551724137931033
AC093904.1	0.46551724137931033
AL163932.1	0.4643734643734644
ABCC9	0.4632352941176471
RIN3	0.4621026894865526
MAP2K2	0.4621026894865526
CYBRD1	0.4621026894865526
RABGAP1	0.4609756097560976
MORF4L1	0.45542168674698796
