Avg degree: 10.526315789473685

Gene	Degree
AL355499.1	122
GATA2	112
AC087312.1	78
APOE	65
CCND2	61
HGFAC	56
TRIP6	53
SUGCT	48
EDNRA	46
AC104119.1	45
XRCC6	35
KCNH4	35
FNDC3B	34
SPIB	31
OSBPL7	30
AC007563.2	29
AP003351.1	28
AC091152.3	27
VAC14	26
PHACTR4	26
KIAA1755	26
MYPN	25
FER	25
AC024267.2	25
KIF15	23
FGD6	23
PROM1	22
PAPPA2	22
NOTCH3	22
LINC01611	20
KAT2B	20
HMGB3P18	20
EEPD1	19
FOXO3	18
FHOD3	18
WNT7A	16
PLXDC2	16
LINC02230	16
AC009097.2	16
TP53	15
MYH6	15
FAM186B	15
DOT1L	15
LIG3	14
AC023161.1	14
AC004869.1	14
TMEM239	13
ELN	13
COG5	13
ZNF467	12
MYO1E	12
AP000317.2	12
AC074286.1	12
