Avg radiality: 2.7893065998329143

Gene	radiality
AL355499.1	3.6613756613756614
GATA2	3.613756613756614
AC087312.1	3.433862433862434
APOE	3.3492063492063493
CCND2	3.3333333333333335
HGFAC	3.312169312169312
TRIP6	3.2962962962962963
SUGCT	3.2751322751322753
EDNRA	3.248677248677249
AC104119.1	3.248677248677249
FNDC3B	3.185185185185185
KCNH4	3.17989417989418
XRCC6	3.1693121693121693
SPIB	3.1587301587301586
OSBPL7	3.1481481481481484
AC007563.2	3.1375661375661377
PHACTR4	3.132275132275132
MYPN	3.132275132275132
KIAA1755	3.132275132275132
AP003351.1	3.132275132275132
AC091152.3	3.132275132275132
VAC14	3.126984126984127
AC024267.2	3.126984126984127
NOTCH3	3.1164021164021163
FER	3.1164021164021163
PAPPA2	3.105820105820106
KAT2B	3.1005291005291005
KIF15	3.0952380952380953
PROM1	3.0899470899470898
LINC01611	3.0899470899470898
HMGB3P18	3.0899470899470898
FGD6	3.0899470899470898
FHOD3	3.0846560846560847
FOXO3	3.0793650793650795
MYH6	3.0634920634920637
EEPD1	3.0634920634920637
WNT7A	3.058201058201058
PLXDC2	3.052910052910053
DOT1L	3.0476190476190474
TP53	3.037037037037037
ELN	3.037037037037037
COG5	3.037037037037037
AC023161.1	3.0264550264550265
AC004869.1	3.0264550264550265
LINC02230	3.0211640211640214
LIG3	3.0211640211640214
AC074286.1	3.0211640211640214
AC058822.1	3.015873015873016
AC009097.2	3.0105820105820107
FAM186B	3.005291005291005
ZNF467	3.0
MYO1E	3.0
MSH5	3.0
LCA5L	3.0
HDAC9	3.0
RN7SKP15	2.9894179894179893
PYY	2.9894179894179893
AC009070.1	2.9894179894179893
AP000317.2	2.9788359788359786
EBF1	2.9735449735449735
ODF2L	2.962962962962963
PRKCE	2.947089947089947
ARL6IP6	2.9365079365079363
LRRC69	2.925925925925926
JCAD	2.925925925925926
MAPK4	2.9153439153439153
SAMD4AA	2.9100529100529102
TMEM239	2.9047619047619047
NEBL	2.9047619047619047
KCNQ5	2.8994708994708995
RANP6	2.888888888888889
PSMG2	2.878306878306878
MPPE1P1	2.878306878306878
AC093904.1	2.878306878306878
AL163932.1	2.873015873015873
ABCC9	2.867724867724868
RIN3	2.8624338624338623
MAP2K2	2.8624338624338623
CYBRD1	2.8624338624338623
RABGAP1	2.857142857142857
MORF4L1	2.8306878306878307
UQCR10	2.8253968253968256
ULK4	2.804232804232804
LUZP1	2.804232804232804
AL356364.1	2.798941798941799
TMX2	2.7936507936507935
CCDC30	2.7936507936507935
