Avg centroid_value: -223.02941176470588

Gene	centroid_value
AC138627.1	48
OR4A44P	-48
AL358074.1	-70
PRKAG2	-92
ARL15	-133
HRH1	-171
PDE11A	-173
CPS1	-175
NFATC2	-185
SLC4A1AP	-196
SZT2	-214
SKI	-214
MTHFR	-214
GTF2B	-214
FGR	-214
APOB	-214
TFCP2L1	-215
AC010967.1	-215
LINC01857	-216
TMEM108	-218
PCCB	-218
TENT5A	-219
SPRY4	-219
POM121C	-219
JAZF1	-219
HOXA3	-219
CTBP2P4	-219
AC092353.2	-219
AC009126.1	-219
AC005586.2	-219
RBPMS	-220
PTPRD	-220
DOCK8	-220
AC090919.1	-220
AC018953.1	-220
XPR1	-221
VCAM1	-221
SEMA4A	-221
PKN2	-221
PAX2	-221
NADK	-221
MIR4418	-221
LSP1	-221
LINC01808	-221
KDF1	-221
KCNK3	-221
IRF6	-221
IER5L	-221
HTRA1	-221
HIVEP3	-221
FOXO6	-221
CRB1	-221
CELA2A	-221
CASZ1	-221
C1orf21	-221
BCAR3	-221
AGBL4	-221
ADCY3	-221
AC106053.1	-221
AC090469.2	-221
THSD7B	-222
THADA	-222
TBR1	-222
STK39	-222
SIPA1	-222
RTN4	-222
RBMS1	-222
PRKD3	-222
POLR1A	-222
OLA1	-222
NRXN1	-222
MEIS1	-222
LRCH1	-222
FOSL2	-222
FGF9	-222
COBLL1	-222
C12orf75	-222
APOLD1	-222
AKAP13	-222
AC016766.1	-222
ZNF385B	-223
SPATS2L	-223
AC096555.1	-223
AC018735.1	-223
TRIP12	-224
FARP2	-224
ERBB4	-224
AC062015.1	-224
YEATS2	-225
USP4	-225
TERT	-225
SHROOM3	-225
RNU6-412P	-225
RNU6-281P	-225
PDGFC	-225
NPR3	-225
NPNT	-225
LRBA	-225
LINC02513	-225
LINC02172	-225
LINC01091	-225
LCORL	-225
ITGB5	-225
ITGA9	-225
FGD5	-225
FAM13A	-225
CNTN3	-225
CADM2	-225
BMPR1B	-225
ARHGAP24	-225
AHRR	-225
AC104596.1	-225
AC099541.1	-225
AC079943.2	-225
AC073359.1	-225
AC034231.1	-225
AC025614.3	-225
ZNF318	-226
ZMAT2	-226
UFL1	-226
TMEM161B	-226
TFAP2D	-226
STXBP5	-226
RNF130	-226
PRDM6	-226
PHTF2	-226
NUS1	-226
NCOA7	-226
MKLN1	-226
MAST4	-226
MAD1L1	-226
LINC01184	-226
KLF14	-226
IRF5	-226
HIPK2	-226
GSDME	-226
FOXC1	-226
FBN2	-226
EPB41L2	-226
CWC27	-226
CDKAL1	-226
CCT6A	-226
CASC15	-226
C5orf67	-226
AC094104.2	-226
AC093523.2	-226
AC091979.1	-226
AC072054.1	-226
AC004917.1	-226
ZFPM2	-234
ZBTB10	-234
TSNARE1	-234
SVEP1	-234
PREX2	-234
NDUFAF6	-234
NCALD	-234
MSRA	-234
LPL	-234
LINC00824	-234
LINC00599	-234
LINC00208	-234
KANK1	-234
GLIS3	-234
EBF2	-234
DDHD2	-234
CLN8	-234
CENPP	-234
AL391117.1	-234
AC103409.1	-234
AC091114.1	-234
AC087664.2	-234
AC087269.3	-234
AC021218.1	-234
VCL	-235
TASOR2	-235
RPL17P50	-235
PTEN	-235
PPP2R2D	-235
PLCE1	-235
NUCB2	-235
NIBAN2	-235
METTL15	-235
LINC01153	-235
INPP5A	-235
HSPA12A	-235
CSRP3	-235
CNNM2	-235
ARMC4	-235
AMPD3	-235
AL590080.1	-235
WASF3	-236
TUBBP2	-236
SYT1	-236
SOX5	-236
SIK3	-236
SCGB1A1	-236
RPL31P57	-236
RNY1P8	-236
RGS6	-236
RBFOX1	-236
RAD52	-236
PRKD1	-236
PRKAG1	-236
PPP2R5E	-236
PDE8A	-236
OR5B12	-236
OR4C50P	-236
OR4A16	-236
NAA60	-236
MRPL40P1	-236
MIA2	-236
LTBP2	-236
LINC02151	-236
LATS2	-236
L2HGDH	-236
KDM5A	-236
IGF1	-236
HOXC4	-236
HNF4GP1	-236
HIC1	-236
GVQW3	-236
GRIN2B	-236
FERMT2	-236
FBRSL1	-236
EIF2AK4	-236
DGKH	-236
CDC16	-236
BCL2	-236
ATP2B1	-236
ATAD5	-236
ARHGEF25	-236
AP003057.1	-236
AC092747.1	-236
AC068888.1	-236
AC011495.1	-236
AC008992.1	-236
AC007493.1	-236
ABHD17C	-236
