Avg radiality: 2.995106903520895

Gene	radiality
AC138627.1	3.9662447257383966
OR4A44P	3.7637130801687766
AL358074.1	3.670886075949367
PRKAG2	3.5780590717299576
ARL15	3.4050632911392404
HRH1	3.2447257383966246
PDE11A	3.2362869198312234
CPS1	3.2278481012658227
SLC4A1AP	3.1392405063291138
SZT2	3.0632911392405062
SKI	3.0632911392405062
MTHFR	3.0632911392405062
GTF2B	3.0632911392405062
FGR	3.0632911392405062
APOB	3.0632911392405062
TFCP2L1	3.059071729957806
AC010967.1	3.059071729957806
LINC01857	3.0548523206751055
TMEM108	3.0464135021097047
PCCB	3.0464135021097047
TENT5A	3.042194092827004
SPRY4	3.042194092827004
POM121C	3.042194092827004
JAZF1	3.042194092827004
HOXA3	3.042194092827004
CTBP2P4	3.042194092827004
AC092353.2	3.042194092827004
AC009126.1	3.042194092827004
AC005586.2	3.042194092827004
RBPMS	3.037974683544304
PTPRD	3.037974683544304
DOCK8	3.037974683544304
AC090919.1	3.037974683544304
AC018953.1	3.037974683544304
XPR1	3.0337552742616034
VCAM1	3.0337552742616034
SEMA4A	3.0337552742616034
PKN2	3.0337552742616034
PAX2	3.0337552742616034
NADK	3.0337552742616034
MIR4418	3.0337552742616034
LSP1	3.0337552742616034
LINC01808	3.0337552742616034
KDF1	3.0337552742616034
KCNK3	3.0337552742616034
IRF6	3.0337552742616034
IER5L	3.0337552742616034
HTRA1	3.0337552742616034
HIVEP3	3.0337552742616034
FOXO6	3.0337552742616034
CRB1	3.0337552742616034
CELA2A	3.0337552742616034
CASZ1	3.0337552742616034
C1orf21	3.0337552742616034
BCAR3	3.0337552742616034
AGBL4	3.0337552742616034
ADCY3	3.0337552742616034
AC106053.1	3.0337552742616034
AC090469.2	3.0337552742616034
THSD7B	3.029535864978903
THADA	3.029535864978903
TBR1	3.029535864978903
STK39	3.029535864978903
SIPA1	3.029535864978903
RTN4	3.029535864978903
RBMS1	3.029535864978903
PRKD3	3.029535864978903
POLR1A	3.029535864978903
OLA1	3.029535864978903
NRXN1	3.029535864978903
MEIS1	3.029535864978903
LRCH1	3.029535864978903
FOSL2	3.029535864978903
FGF9	3.029535864978903
COBLL1	3.029535864978903
C12orf75	3.029535864978903
APOLD1	3.029535864978903
AKAP13	3.029535864978903
AC016766.1	3.029535864978903
ZNF385B	3.0253164556962027
SPATS2L	3.0253164556962027
AC096555.1	3.0253164556962027
AC018735.1	3.0253164556962027
TRIP12	3.021097046413502
FARP2	3.021097046413502
ERBB4	3.021097046413502
AC062015.1	3.021097046413502
YEATS2	3.0168776371308015
USP4	3.0168776371308015
TERT	3.0168776371308015
SHROOM3	3.0168776371308015
RNU6-412P	3.0168776371308015
RNU6-281P	3.0168776371308015
PDGFC	3.0168776371308015
NPR3	3.0168776371308015
NPNT	3.0168776371308015
LRBA	3.0168776371308015
LINC02513	3.0168776371308015
LINC02172	3.0168776371308015
LINC01091	3.0168776371308015
LCORL	3.0168776371308015
ITGB5	3.0168776371308015
ITGA9	3.0168776371308015
FGD5	3.0168776371308015
FAM13A	3.0168776371308015
CNTN3	3.0168776371308015
CADM2	3.0168776371308015
BMPR1B	3.0168776371308015
ARHGAP24	3.0168776371308015
AHRR	3.0168776371308015
AC104596.1	3.0168776371308015
AC099541.1	3.0168776371308015
AC079943.2	3.0168776371308015
AC073359.1	3.0168776371308015
AC034231.1	3.0168776371308015
AC025614.3	3.0168776371308015
ZNF318	3.0126582278481013
ZMAT2	3.0126582278481013
UFL1	3.0126582278481013
TMEM161B	3.0126582278481013
TFAP2D	3.0126582278481013
STXBP5	3.0126582278481013
RNF130	3.0126582278481013
PRDM6	3.0126582278481013
PHTF2	3.0126582278481013
NUS1	3.0126582278481013
NCOA7	3.0126582278481013
MKLN1	3.0126582278481013
MAST4	3.0126582278481013
MAD1L1	3.0126582278481013
LINC01184	3.0126582278481013
KLF14	3.0126582278481013
IRF5	3.0126582278481013
HIPK2	3.0126582278481013
GSDME	3.0126582278481013
FOXC1	3.0126582278481013
FBN2	3.0126582278481013
EPB41L2	3.0126582278481013
CWC27	3.0126582278481013
CDKAL1	3.0126582278481013
CCT6A	3.0126582278481013
CASC15	3.0126582278481013
C5orf67	3.0126582278481013
AC094104.2	3.0126582278481013
AC093523.2	3.0126582278481013
AC091979.1	3.0126582278481013
AC072054.1	3.0126582278481013
AC004917.1	3.0126582278481013
ZFPM2	2.978902953586498
ZBTB10	2.978902953586498
TSNARE1	2.978902953586498
SVEP1	2.978902953586498
PREX2	2.978902953586498
NDUFAF6	2.978902953586498
NCALD	2.978902953586498
MSRA	2.978902953586498
LPL	2.978902953586498
LINC00824	2.978902953586498
LINC00599	2.978902953586498
LINC00208	2.978902953586498
KANK1	2.978902953586498
GLIS3	2.978902953586498
EBF2	2.978902953586498
DDHD2	2.978902953586498
CLN8	2.978902953586498
CENPP	2.978902953586498
AL391117.1	2.978902953586498
AC103409.1	2.978902953586498
AC091114.1	2.978902953586498
AC087664.2	2.978902953586498
AC087269.3	2.978902953586498
AC021218.1	2.978902953586498
VCL	2.9746835443037973
TASOR2	2.9746835443037973
RPL17P50	2.9746835443037973
PTEN	2.9746835443037973
PPP2R2D	2.9746835443037973
PLCE1	2.9746835443037973
NUCB2	2.9746835443037973
NIBAN2	2.9746835443037973
METTL15	2.9746835443037973
LINC01153	2.9746835443037973
INPP5A	2.9746835443037973
HSPA12A	2.9746835443037973
CSRP3	2.9746835443037973
CNNM2	2.9746835443037973
ARMC4	2.9746835443037973
AMPD3	2.9746835443037973
AL590080.1	2.9746835443037973
WASF3	2.970464135021097
TUBBP2	2.970464135021097
SYT1	2.970464135021097
SOX5	2.970464135021097
SIK3	2.970464135021097
SCGB1A1	2.970464135021097
RNY1P8	2.970464135021097
RGS6	2.970464135021097
RBFOX1	2.970464135021097
RAD52	2.970464135021097
PRKD1	2.970464135021097
PRKAG1	2.970464135021097
PPP2R5E	2.970464135021097
PDE8A	2.970464135021097
OR5B12	2.970464135021097
OR4C50P	2.970464135021097
OR4A16	2.970464135021097
NAA60	2.970464135021097
MRPL40P1	2.970464135021097
MIA2	2.970464135021097
LTBP2	2.970464135021097
LINC02151	2.970464135021097
LATS2	2.970464135021097
L2HGDH	2.970464135021097
KDM5A	2.970464135021097
IGF1	2.970464135021097
HOXC4	2.970464135021097
HNF4GP1	2.970464135021097
GVQW3	2.970464135021097
GRIN2B	2.970464135021097
FERMT2	2.970464135021097
FBRSL1	2.970464135021097
EIF2AK4	2.970464135021097
DGKH	2.970464135021097
CDC16	2.970464135021097
ATP2B1	2.970464135021097
ARHGEF25	2.970464135021097
AP003057.1	2.970464135021097
AC092747.1	2.970464135021097
AC068888.1	2.970464135021097
AC007493.1	2.970464135021097
ABHD17C	2.970464135021097
NFATC2	2.8607594936708862
RPL31P57	1.8649789029535866
HIC1	1.8649789029535866
BCL2	1.8649789029535866
ATAD5	1.8649789029535866
AC011495.1	1.8649789029535866
AC008992.1	1.8649789029535866
