Avg centroid_value: -223.02941176470588

Gene	centroid_value
AC138627.1	48
OR4A44P	-48
AL358074.1	-70
PRKAG2	-92
ARL15	-133
HRH1	-171
PDE11A	-173
CPS1	-175
NFATC2	-185
SLC4A1AP	-196
SZT2	-214
SKI	-214
MTHFR	-214
GTF2B	-214
FGR	-214
APOB	-214
TFCP2L1	-215
AC010967.1	-215
LINC01857	-216
TMEM108	-218
PCCB	-218
TENT5A	-219
SPRY4	-219
POM121C	-219
JAZF1	-219
HOXA3	-219
CTBP2P4	-219
AC092353.2	-219
AC009126.1	-219
AC005586.2	-219
RBPMS	-220
PTPRD	-220
DOCK8	-220
AC090919.1	-220
AC018953.1	-220
XPR1	-221
VCAM1	-221
SEMA4A	-221
PKN2	-221
PAX2	-221
NADK	-221
MIR4418	-221
LSP1	-221
LINC01808	-221
KDF1	-221
KCNK3	-221
IRF6	-221
IER5L	-221
HTRA1	-221
HIVEP3	-221
FOXO6	-221
CRB1	-221
CELA2A	-221
CASZ1	-221
C1orf21	-221
BCAR3	-221
AGBL4	-221
ADCY3	-221
AC106053.1	-221
AC090469.2	-221
THSD7B	-222
THADA	-222
TBR1	-222
STK39	-222
SIPA1	-222
RTN4	-222
RBMS1	-222
PRKD3	-222
POLR1A	-222
OLA1	-222
NRXN1	-222
MEIS1	-222
LRCH1	-222
FOSL2	-222
FGF9	-222
COBLL1	-222
C12orf75	-222
APOLD1	-222
AKAP13	-222
AC016766.1	-222
ZNF385B	-223
SPATS2L	-223
AC096555.1	-223
AC018735.1	-223
