Avg eigenvector: 0.04603338360276496

Gene	eigenvector
AC138627.1	0.3463801128632068
OR4A44P	0.32848015340376235
AL358074.1	0.3125231501519891
PRKAG2	0.2844218782802555
ARL15	0.22903273547896105
HRH1	0.1777523964927956
CPS1	0.17070865563650095
PDE11A	0.16325149765092653
SLC4A1AP	0.1269990943588645
SZT2	0.07282399845798983
SKI	0.07282399845798983
MTHFR	0.07282399845798983
GTF2B	0.07282399845798983
FGR	0.07282399845798983
APOB	0.07282399845798983
NFATC2	0.07277683783357798
XPR1	0.07042837445316859
VCAM1	0.07042837445316859
SEMA4A	0.07042837445316859
PKN2	0.07042837445316859
NADK	0.07042837445316859
MIR4418	0.07042837445316859
LINC01808	0.07042837445316859
KDF1	0.07042837445316859
KCNK3	0.07042837445316859
IRF6	0.07042837445316859
HIVEP3	0.07042837445316859
FOXO6	0.07042837445316859
CRB1	0.07042837445316859
CELA2A	0.07042837445316859
CASZ1	0.07042837445316859
C1orf21	0.07042837445316859
BCAR3	0.07042837445316859
AGBL4	0.07042837445316859
ADCY3	0.07042837445316859
AC106053.1	0.07042837445316859
TFCP2L1	0.06864346853922344
AC010967.1	0.06864346853922344
THSD7B	0.0662478445344022
THADA	0.0662478445344022
TBR1	0.0662478445344022
STK39	0.0662478445344022
RTN4	0.0662478445344022
RBMS1	0.0662478445344022
PRKD3	0.0662478445344022
POLR1A	0.0662478445344022
OLA1	0.0662478445344022
NRXN1	0.0662478445344022
MEIS1	0.0662478445344022
FOSL2	0.0662478445344022
COBLL1	0.0662478445344022
AC016766.1	0.0662478445344022
LINC01857	0.06326961443967796
ZNF385B	0.06087399043485673
SPATS2L	0.06087399043485673
AC096555.1	0.06087399043485673
AC018735.1	0.06087399043485673
TRIP12	0.05525467258191223
FARP2	0.05525467258191223
ERBB4	0.05525467258191223
AC062015.1	0.05525467258191223
TMEM108	0.05179912042971744
PCCB	0.05179912042971744
YEATS2	0.049403496424896214
USP4	0.049403496424896214
TERT	0.049403496424896214
SHROOM3	0.049403496424896214
RNU6-412P	0.049403496424896214
RNU6-281P	0.049403496424896214
PDGFC	0.049403496424896214
NPR3	0.049403496424896214
NPNT	0.049403496424896214
LRBA	0.049403496424896214
LINC02513	0.049403496424896214
LINC02172	0.049403496424896214
LINC01091	0.049403496424896214
LCORL	0.049403496424896214
ITGB5	0.049403496424896214
ITGA9	0.049403496424896214
FGD5	0.049403496424896214
FAM13A	0.049403496424896214
CNTN3	0.049403496424896214
CADM2	0.049403496424896214
BMPR1B	0.049403496424896214
ARHGAP24	0.049403496424896214
AHRR	0.049403496424896214
AC104596.1	0.049403496424896214
AC099541.1	0.049403496424896214
AC079943.2	0.049403496424896214
AC073359.1	0.049403496424896214
AC034231.1	0.049403496424896214
AC025614.3	0.049403496424896214
