Avg centroid_value: -259.53731343283584

Gene	centroid_value
ATP2B1	0
AC004917.1	0
CNNM2	-28
NPR3	-111
MTHFR	-222
AC016766.1	-228
TBX2	-259
LINC01808	-260
YEATS2	-261
S1PR2	-261
PRKD3	-261
PRKAG2	-261
PRKAG1	-261
PLCD3	-261
NPNT	-261
LSP1	-261
HRH1	-261
HOXC4	-261
FBN2	-261
FAM13A	-261
EBF2	-261
AP003057.1	-261
AMPD3	-261
AC092747.1	-261
ABHD17C	-261
YES1	-262
TSNARE1	-262
THSD7B	-262
SZT2	-262
POM121C	-262
MKLN1	-262
L2HGDH	-262
KDF1	-262
KCNK3	-262
ITGB5	-262
HIC1	-262
FOXC1	-262
DDHD2	-262
C12orf75	-262
ARHGAP24	-262
AL391117.1	-262
AC091979.1	-262
AC087664.2	-262
AC025614.3	-262
AC018735.1	-262
AC009126.1	-262
AC008992.1	-262
AC005586.2	-262
WDR7	-263
WASF3	-263
UFL1	-263
TTC28	-263
TSHZ1	-263
TOP3A	-263
TMEM161B	-263
THADA	-263
TFAP2D	-263
TERT	-263
TENT5A	-263
SVEP1	-263
SPRY4	-263
SOX5	-263
SMOX	-263
SIK3	-263
SHROOM3	-263
SEMA4A	-263
SCGB1A1	-263
RTN4	-263
RNY1P8	-263
RNU6-281P	-263
RNU1-46P	-263
RBMS1	-263
RBFOX1	-263
PTPRD	-263
PTEN	-263
PSMD11	-263
PRKD1	-263
PRDM6	-263
PPP2R2D	-263
POLR1A	-263
PLCE1	-263
PKN2	-263
PDE11A	-263
PAX2	-263
OR4A44P	-263
NUCB2	-263
NDUFAF6	-263
NCOA7	-263
NAA60	-263
MRPL40P1	-263
MEIS1	-263
LTBP2	-263
LRBA	-263
LINC02151	-263
LINC01478	-263
LINC01184	-263
LINC01153	-263
LINC00824	-263
LINC00599	-263
LCORL	-263
LATS2	-263
KDM5A	-263
KDM4B	-263
KANK1	-263
ITGA9	-263
IRF6	-263
INSR	-263
INPP5A	-263
IGF1	-263
HTRA1	-263
HSPA12A	-263
HOXB7	-263
HOXA3	-263
HNF4GP1	-263
GVQW3	-263
GTF2B	-263
GLIS3	-263
FGR	-263
FGD5	-263
FERMT2	-263
FARP2	-263
ERBB4	-263
EIF2AK4	-263
CTBP2P4	-263
CSRP3	-263
CPS1	-263
CLN8	-263
CDKAL1	-263
CDC16	-263
CADM2	-263
C5orf67	-263
BMPR1B	-263
ATAD5	-263
ARMC4	-263
ARHGEF25	-263
AL590080.1	-263
AL358074.1	-263
AF222685.1	-263
ADCY3	-263
AC138627.1	-263
AC104596.1	-263
AC103409.1	-263
AC099541.1	-263
AC094104.2	-263
AC093523.2	-263
AC090919.1	-263
AC090469.2	-263
AC068888.1	-263
AC011495.1	-263
AC010967.1	-263
AC007923.2	-263
AC007493.1	-263
ZNF385B	-264
ZNF318	-264
ZMAT2	-264
ZFPM2	-264
ZBTB10	-264
XPR1	-264
VCL	-264
VCAM1	-264
USP4	-264
USP36	-264
TUBBP2	-264
TMEM108	-264
TFCP2L1	-264
TBR1	-264
TASOR2	-264
SYT1	-264
STXBP5	-264
STK39	-264
SPATS2L	-264
SNRNP70	-264
SLC4A1AP	-264
SKI	-264
RPL31P57	-264
RPL17P50	-264
RNU6-412P	-264
RNF130	-264
RGS6	-264
RBPMS	-264
RAD52	-264
PREX2	-264
PPP2R5E	-264
PLXNB2	-264
PHTF2	-264
PEPD	-264
PDGFC	-264
PDE8A	-264
PCCB	-264
OR5B12	-264
OR4A16	-264
OLA1	-264
NUS1	-264
NRXN1	-264
NIBAN2	-264
NFATC2	-264
NCALD	-264
MSRA	-264
MIR4418	-264
MIA2	-264
METTL15	-264
MAST4	-264
MAD1L1	-264
LRCH1	-264
LPL	-264
LINC02172	-264
LINC01857	-264
LINC01091	-264
KLF14	-264
JPH2	-264
JAZF1	-264
IRF5	-264
IER5L	-264
HIVEP3	-264
HIPK2	-264
GSE1	-264
GSDME	-264
GRIN2B	-264
FOXO6	-264
FOSL2	-264
FGF9	-264
FBRSL1	-264
EVA1C	-264
EPB41L2	-264
DOCK8	-264
DGKH	-264
CWC27	-264
COBLL1	-264
CNTN3	-264
CHST9	-264
CENPP	-264
CELA2A	-264
CCT6A	-264
CASZ1	-264
CASC15	-264
C1orf21	-264
BCAS3	-264
BCAR3	-264
BANP	-264
ARL15	-264
APOLD1	-264
APOH	-264
APOB	-264
AKAP13	-264
AHRR	-264
AGBL4	-264
AC106053.1	-264
AC096555.1	-264
AC092353.2	-264
AC091114.1	-264
AC090771.2	-264
AC087269.3	-264
AC079943.2	-264
AC073359.1	-264
AC072054.1	-264
AC062015.1	-264
AC034231.1	-264
AC021218.1	-264
AC018953.1	-264
TRIP12	-265
SIPA1	-265
OR4C50P	-265
NADK	-265
LINC02513	-265
LINC00208	-265
CRB1	-265
BCL2	-265
AC092327.1	-265
