Avg betweenness: 0.007838424667822863

Gene	betweenness
PRKAG1	0.2256754569994457
TFAP2D	0.1847781480274334
TMEM161B	0.14450050535087614
L2HGDH	0.09655582539090654
RNY1P8	0.062288339637214585
HTRA1	0.042042512961054254
LPL	0.035214109547346696
DGKH	0.032557416910460914
TTC28	0.03222036404742978
TBR1	0.027389933859403085
CNNM2	0.021968550977601965
LATS2	0.020397032077880035
HIPK2	0.020001609362855277
AMPD3	0.014924167183887053
SMOX	0.007704619889618886
FAM13A	0.006507724248623305
ADCY3	0.005404940227552912
BCAS3	0.004365395359018715
INSR	0.004344696064225076
LRBA	0.004149337435176886
RBFOX1	0.003741683458311468
CDC16	0.0036125648270356656
AC073359.1	0.0033738595505084183
KANK1	0.0023979023142047897
AC004917.1	0.0018748893306521964
PTEN	0.0017878019435102095
AC018735.1	0.0017580793387799423
TASOR2	0.0016437080090962188
HNF4GP1	0.0015792439589181115
FBRSL1	0.0014929899421885343
RNF130	0.0014564930324504981
NAA60	0.0012483692725922403
HOXB7	0.0009199099250795333
C12orf75	0.0008946772151036333
CSRP3	0.0007150353940183768
FARP2	0.0006610916156380661
KDF1	0.0006494121724140621
ZNF318	0.0006036111219856391
OR4A16	0.00047547112468716173
RAD52	0.000405218963698695
LINC02151	0.0003592194977186972
ZFPM2	0.00029534009215771744
ZBTB10	0.00023301899911406103
NPNT	0.0002176979014671604
AGBL4	0.00017329302084062177
SEMA4A	0.00016515629979522268
GLIS3	0.00012412689909269936
AC090469.2	0.00011709920066091342
AC007493.1	0.00011659648581944767
ARHGEF25	0.00010609853275327337
SVEP1	0.00010502251116199114
RBMS1	0.00010308635479634112
TUBBP2	6.509094165623682e-05
AC072054.1	6.111817887504284e-05
GRIN2B	5.469433167611582e-05
LSP1	4.169712742351854e-05
FBN2	2.758046533696328e-05
AC068888.1	2.4093047348861304e-05
AL590080.1	2.3882696512392398e-05
AC087664.2	2.209459247402944e-05
RPL17P50	1.7725599120947956e-05
AC091114.1	1.626280696048138e-05
RTN4	1.5972399693329925e-05
HOXA3	1.4907573047107931e-05
HOXC4	1.4030656985513346e-05
FGR	1.1926058437686345e-05
AC011495.1	1.1462115660934245e-05
MTHFR	7.4537865235539655e-06
AC009126.1	5.185242798994063e-06
WASF3	0.0
USP4	0.0
UFL1	0.0
TRIP12	0.0
TOP3A	0.0
THSD7B	0.0
THADA	0.0
TFCP2L1	0.0
TERT	0.0
TENT5A	0.0
STK39	0.0
SPRY4	0.0
SOX5	0.0
SIPA1	0.0
SIK3	0.0
RNU6-412P	0.0
PRKD3	0.0
PRKD1	0.0
PREX2	0.0
PRDM6	0.0
PEPD	0.0
PDGFC	0.0
PDE8A	0.0
PDE11A	0.0
PAX2	0.0
OR5B12	0.0
OR4C50P	0.0
OR4A44P	0.0
OLA1	0.0
NPR3	0.0
NCALD	0.0
MRPL40P1	0.0
METTL15	0.0
MAST4	0.0
LRCH1	0.0
LINC01478	0.0
LINC01184	0.0
LINC01153	0.0
LINC01091	0.0
KCNK3	0.0
ITGA9	0.0
IRF6	0.0
INPP5A	0.0
HSPA12A	0.0
GSE1	0.0
GSDME	0.0
EPB41L2	0.0
CLN8	0.0
CHST9	0.0
CCT6A	0.0
CASZ1	0.0
C5orf67	0.0
BMPR1B	0.0
BCAR3	0.0
ATP2B1	0.0
ATAD5	0.0
AC106053.1	0.0
AC099541.1	0.0
AC090919.1	0.0
AC079943.2	0.0
AC034231.1	0.0
AC007923.2	0.0
