Avg closeness: 0.506359078126535

Gene	closeness
PRKAG1	0.7878787878787878
TFAP2D	0.7692307692307693
TMEM161B	0.7471264367816092
L2HGDH	0.6951871657754011
RNY1P8	0.6632653061224489
LPL	0.6532663316582915
CNNM2	0.6435643564356436
HTRA1	0.6403940886699507
TBR1	0.6341463414634146
TTC28	0.6132075471698113
DGKH	0.5990783410138248
AMPD3	0.5963302752293578
LATS2	0.593607305936073
FAM13A	0.5829596412556054
SMOX	0.5803571428571429
RBFOX1	0.5777777777777777
CDC16	0.5752212389380531
ADCY3	0.5752212389380531
HIPK2	0.5701754385964912
LRBA	0.5676855895196506
BCAS3	0.5676855895196506
AC073359.1	0.5652173913043478
AC004917.1	0.5652173913043478
AC018735.1	0.5579399141630901
NAA60	0.5508474576271186
ZNF318	0.5439330543933054
FBRSL1	0.5439330543933054
PTEN	0.5416666666666666
FARP2	0.5394190871369294
C12orf75	0.5394190871369294
RAD52	0.5371900826446281
OR4A16	0.5371900826446281
KANK1	0.5371900826446281
CSRP3	0.5371900826446281
RNF130	0.5349794238683128
KDF1	0.5306122448979592
GRIN2B	0.5306122448979592
AC090469.2	0.5306122448979592
INSR	0.5284552845528455
AGBL4	0.5284552845528455
AC007493.1	0.5263157894736842
ZFPM2	0.5241935483870968
RPL17P50	0.5241935483870968
NPNT	0.5241935483870968
LINC02151	0.5241935483870968
SVEP1	0.5220883534136547
AC011495.1	0.5220883534136547
TUBBP2	0.5179282868525896
RBMS1	0.5179282868525896
FGR	0.5179282868525896
TASOR2	0.5158730158730159
SOX5	0.5138339920948617
FBN2	0.5138339920948617
ARHGEF25	0.5138339920948617
OR4A44P	0.5118110236220472
LSP1	0.5118110236220472
HNF4GP1	0.5118110236220472
ZBTB10	0.5098039215686274
AL590080.1	0.5098039215686274
AC009126.1	0.5098039215686274
KCNK3	0.5078125
ATP2B1	0.5058365758754864
PRDM6	0.5038759689922481
NCALD	0.5038759689922481
AC091114.1	0.5038759689922481
AC087664.2	0.5
SPRY4	0.4961832061068702
PREX2	0.4961832061068702
HOXB7	0.4961832061068702
AC072054.1	0.49429657794676807
RTN4	0.48872180451127817
GSDME	0.48872180451127817
PDE8A	0.4868913857677903
METTL15	0.48507462686567165
AC068888.1	0.48507462686567165
WASF3	0.483271375464684
AC099541.1	0.4797047970479705
MRPL40P1	0.47794117647058826
GSE1	0.47794117647058826
C5orf67	0.47794117647058826
ATAD5	0.47794117647058826
USP4	0.47619047619047616
GLIS3	0.47619047619047616
PRKD1	0.4727272727272727
TERT	0.4693140794223827
LINC01184	0.4693140794223827
AC106053.1	0.4693140794223827
TFCP2L1	0.4676258992805755
OR5B12	0.4676258992805755
EPB41L2	0.4676258992805755
CLN8	0.4659498207885305
AC090919.1	0.4659498207885305
SIK3	0.4642857142857143
PRKD3	0.4642857142857143
AC007923.2	0.4642857142857143
HOXC4	0.4626334519572954
AC034231.1	0.45936395759717313
PDE11A	0.45614035087719296
LINC01478	0.45614035087719296
MTHFR	0.4529616724738676
INPP5A	0.4513888888888889
STK39	0.44982698961937717
SEMA4A	0.44982698961937717
CASZ1	0.44982698961937717
LINC01153	0.4482758620689655
PEPD	0.44673539518900346
LINC01091	0.44368600682593856
TOP3A	0.4421768707482993
TENT5A	0.4421768707482993
SIPA1	0.4421768707482993
RNU6-412P	0.4421768707482993
NPR3	0.4421768707482993
HOXA3	0.4421768707482993
CCT6A	0.4421768707482993
AC079943.2	0.4421768707482993
PDGFC	0.4406779661016949
HSPA12A	0.4406779661016949
CHST9	0.4406779661016949
THSD7B	0.436241610738255
PAX2	0.436241610738255
OLA1	0.43333333333333335
BMPR1B	0.429042904290429
ITGA9	0.41935483870967744
THADA	0.4126984126984127
UFL1	0.41139240506329117
MAST4	0.41139240506329117
TRIP12	0.4012345679012346
IRF6	0.4
LRCH1	0.3812316715542522
OR4C50P	0.37572254335260113
BCAR3	0.3641456582633053
