Avg eigenvector: 0.06435063177675822

Gene	eigenvector
PRKAG1	0.23705207336074602
TFAP2D	0.23442801407247643
TMEM161B	0.22776998637743245
L2HGDH	0.21452655757886113
RNY1P8	0.20365519021934284
LPL	0.20156877441362456
CNNM2	0.19805503833553575
HTRA1	0.18837148881841856
TBR1	0.18735391371877272
TTC28	0.17019296850369225
AMPD3	0.159721885355052
DGKH	0.15232984136727953
LATS2	0.15231740255432002
FAM13A	0.1503899986058709
RBFOX1	0.14951288132991164
CDC16	0.1474355147004435
SMOX	0.14416598189628477
ADCY3	0.14093655960277449
AC004917.1	0.13792199824744064
LRBA	0.13417755089190167
AC073359.1	0.1319242391261234
BCAS3	0.13078370550683407
HIPK2	0.1306242348040661
AC018735.1	0.12941857100488713
NAA60	0.1221244414216875
ZNF318	0.10682639779960157
FBRSL1	0.10576433024731974
PTEN	0.1022136739402078
FARP2	0.09922464520957759
RAD52	0.09828633441069703
CSRP3	0.09753218119469016
OR4A16	0.09650617013081071
C12orf75	0.09573249988617233
RNF130	0.09073859484223516
AC090469.2	0.09027140794888995
GRIN2B	0.08968158196974352
INSR	0.08600608594509107
RPL17P50	0.08544771509382507
KANK1	0.08447675950997706
KDF1	0.08189194688811496
AGBL4	0.08121872189144737
SVEP1	0.07994089792257898
LINC02151	0.07930266426433384
NPNT	0.0789520364541998
ZFPM2	0.07620776633373172
AC011495.1	0.07549243540992347
RBMS1	0.0701445202434806
AC007493.1	0.06913363775253846
FGR	0.06892242070458929
FBN2	0.06598773607376505
LSP1	0.06544563226876847
AC009126.1	0.06412263890679934
ZBTB10	0.06281558309471112
ARHGEF25	0.06251259656930078
SOX5	0.060746771908966796
TUBBP2	0.060070755419430445
HOXB7	0.05840935152163742
AL590080.1	0.0582166107166525
TASOR2	0.055318295624757374
OR4A44P	0.055268832801112416
AC091114.1	0.055008013294003316
KCNK3	0.05428097832153634
AC087664.2	0.050634582097928225
AC072054.1	0.050031435834409686
ATP2B1	0.04991611821995708
HNF4GP1	0.04783885232224462
NCALD	0.047246152954831214
PRDM6	0.04453786753522524
RTN4	0.04163597460293525
GLIS3	0.04130944369515266
SPRY4	0.03857512445973344
PREX2	0.037589364975538234
PDE8A	0.03746668549357216
METTL15	0.031862576256673866
AC068888.1	0.02974821544045517
USP4	0.029160603996861694
SEMA4A	0.027760232283788936
WASF3	0.026622041780036684
HOXC4	0.026450888860491295
GSDME	0.02582434959418241
CLN8	0.02569877384109281
MRPL40P1	0.025550739067880433
LINC01184	0.024993031219277324
GSE1	0.021107207013558695
C5orf67	0.021107207013558695
AC099541.1	0.020911465284251904
AC034231.1	0.0202931130126318
ATAD5	0.019936602048821073
MTHFR	0.019892010125253375
SIK3	0.019769914891067056
PDE11A	0.01959466264641498
SIPA1	0.019396246755907554
TERT	0.019093186750790546
AC090919.1	0.019032918473346833
AC106053.1	0.018820735680267202
OLA1	0.018780568645488088
TFCP2L1	0.018418791027241973
PRKD1	0.014648797680329808
OR5B12	0.014441928702353201
EPB41L2	0.014441928702353201
PRKD3	0.014360392187674582
AC007923.2	0.014360392187674582
LINC01478	0.014030445408709706
LINC01153	0.01374203991605448
INPP5A	0.013692657444827195
PEPD	0.013611120930148574
HOXA3	0.013502324668757651
STK39	0.013136253313186096
HSPA12A	0.012929384335209489
ITGA9	0.012927945915127588
LINC01091	0.012246092239742707
CASZ1	0.012097961660620177
PDGFC	0.012016035139414898
CHST9	0.012016035139414898
THADA	0.01167362872739647
TRIP12	0.00899961013003167
TOP3A	0.007365167097504214
TENT5A	0.007365167097504214
RNU6-412P	0.007365167097504214
NPR3	0.007365167097504214
CCT6A	0.007365167097504214
AC079943.2	0.007365167097504214
THSD7B	0.007283630582825594
PAX2	0.007283630582825594
BMPR1B	0.007076761604848988
UFL1	0.006665278311205492
MAST4	0.006665278311205492
IRF6	0.00632749034732298
LRCH1	0.0052878043684912645
OR4C50P	0.004732794563115964
BCAR3	0.004058398839567389
