Avg bridging: 0.0008232939235742155

Gene	bridging
DGKH	0.0091014610568717
HIPK2	0.0075484099375116714
L2HGDH	0.006607116843506823
TTC28	0.006469084739278979
HTRA1	0.006119346020199033
RNY1P8	0.006019387768738163
PRKAG1	0.005775650950494417
TMEM161B	0.00566045114500171
LATS2	0.005632897097682855
TFAP2D	0.004753833800694018
AMPD3	0.003995313156858887
TBR1	0.00380977945097496
LPL	0.003794702632305999
INSR	0.0028287576701163265
CNNM2	0.0026055792917796653
SMOX	0.0024323091188489005
FAM13A	0.0019192131862456104
ADCY3	0.0018051089420322115
BCAS3	0.0017876102766153231
LRBA	0.0016471462687323564
KANK1	0.0014268240570891127
AC073359.1	0.0013389692759156863
HNF4GP1	0.001315532585165966
CDC16	0.0012329460021542132
TASOR2	0.0012202110416934852
RBFOX1	0.0011642127699118753
PTEN	0.0010446756673800296
RNF130	0.0008671213354857932
FBRSL1	0.00086682481777268
