Avg closeness: 0.506359078126535

Gene	closeness
PRKAG1	0.7878787878787878
TFAP2D	0.7692307692307693
TMEM161B	0.7471264367816092
L2HGDH	0.6951871657754011
RNY1P8	0.6632653061224489
LPL	0.6532663316582915
CNNM2	0.6435643564356436
HTRA1	0.6403940886699507
TBR1	0.6341463414634146
TTC28	0.6132075471698113
DGKH	0.5990783410138248
AMPD3	0.5963302752293578
LATS2	0.593607305936073
FAM13A	0.5829596412556054
SMOX	0.5803571428571429
RBFOX1	0.5777777777777777
CDC16	0.5752212389380531
ADCY3	0.5752212389380531
HIPK2	0.5701754385964912
LRBA	0.5676855895196506
BCAS3	0.5676855895196506
AC073359.1	0.5652173913043478
AC004917.1	0.5652173913043478
AC018735.1	0.5579399141630901
NAA60	0.5508474576271186
ZNF318	0.5439330543933054
FBRSL1	0.5439330543933054
PTEN	0.5416666666666666
FARP2	0.5394190871369294
C12orf75	0.5394190871369294
RAD52	0.5371900826446281
OR4A16	0.5371900826446281
KANK1	0.5371900826446281
CSRP3	0.5371900826446281
RNF130	0.5349794238683128
KDF1	0.5306122448979592
GRIN2B	0.5306122448979592
AC090469.2	0.5306122448979592
INSR	0.5284552845528455
AGBL4	0.5284552845528455
AC007493.1	0.5263157894736842
ZFPM2	0.5241935483870968
RPL17P50	0.5241935483870968
NPNT	0.5241935483870968
LINC02151	0.5241935483870968
SVEP1	0.5220883534136547
AC011495.1	0.5220883534136547
TUBBP2	0.5179282868525896
RBMS1	0.5179282868525896
FGR	0.5179282868525896
TASOR2	0.5158730158730159
SOX5	0.5138339920948617
FBN2	0.5138339920948617
ARHGEF25	0.5138339920948617
OR4A44P	0.5118110236220472
LSP1	0.5118110236220472
HNF4GP1	0.5118110236220472
ZBTB10	0.5098039215686274
AL590080.1	0.5098039215686274
AC009126.1	0.5098039215686274
KCNK3	0.5078125
