Avg eigenvector: 0.06435063177675822

Gene	eigenvector
PRKAG1	0.23705207336074602
TFAP2D	0.23442801407247643
TMEM161B	0.22776998637743245
L2HGDH	0.21452655757886113
RNY1P8	0.20365519021934284
LPL	0.20156877441362456
CNNM2	0.19805503833553575
HTRA1	0.18837148881841856
TBR1	0.18735391371877272
TTC28	0.17019296850369225
AMPD3	0.159721885355052
DGKH	0.15232984136727953
LATS2	0.15231740255432002
FAM13A	0.1503899986058709
RBFOX1	0.14951288132991164
CDC16	0.1474355147004435
SMOX	0.14416598189628477
ADCY3	0.14093655960277449
AC004917.1	0.13792199824744064
LRBA	0.13417755089190167
AC073359.1	0.1319242391261234
BCAS3	0.13078370550683407
HIPK2	0.1306242348040661
AC018735.1	0.12941857100488713
NAA60	0.1221244414216875
ZNF318	0.10682639779960157
FBRSL1	0.10576433024731974
PTEN	0.1022136739402078
FARP2	0.09922464520957759
RAD52	0.09828633441069703
CSRP3	0.09753218119469016
OR4A16	0.09650617013081071
C12orf75	0.09573249988617233
RNF130	0.09073859484223516
AC090469.2	0.09027140794888995
GRIN2B	0.08968158196974352
INSR	0.08600608594509107
RPL17P50	0.08544771509382507
KANK1	0.08447675950997706
KDF1	0.08189194688811496
AGBL4	0.08121872189144737
SVEP1	0.07994089792257898
LINC02151	0.07930266426433384
NPNT	0.0789520364541998
ZFPM2	0.07620776633373172
AC011495.1	0.07549243540992347
RBMS1	0.0701445202434806
AC007493.1	0.06913363775253846
FGR	0.06892242070458929
FBN2	0.06598773607376505
LSP1	0.06544563226876847
