Avg radiality: 2.019612448620083

Gene	radiality
PRKAG1	2.7615384615384615
TFAP2D	2.730769230769231
TMEM161B	2.6923076923076925
L2HGDH	2.5923076923076924
RNY1P8	2.523076923076923
LPL	2.5
CNNM2	2.476923076923077
HTRA1	2.4692307692307693
TBR1	2.453846153846154
TTC28	2.4
DGKH	2.3615384615384616
AMPD3	2.353846153846154
LATS2	2.3461538461538463
FAM13A	2.3153846153846156
SMOX	2.3076923076923075
RBFOX1	2.3
CDC16	2.292307692307692
ADCY3	2.292307692307692
HIPK2	2.276923076923077
LRBA	2.269230769230769
BCAS3	2.269230769230769
AC073359.1	2.2615384615384615
AC004917.1	2.2615384615384615
AC018735.1	2.2384615384615385
NAA60	2.2153846153846155
ZNF318	2.1923076923076925
FBRSL1	2.1923076923076925
PTEN	2.1846153846153844
FARP2	2.1769230769230767
C12orf75	2.1769230769230767
RAD52	2.169230769230769
OR4A16	2.169230769230769
KANK1	2.169230769230769
CSRP3	2.169230769230769
RNF130	2.1615384615384614
KDF1	2.146153846153846
GRIN2B	2.146153846153846
AC090469.2	2.146153846153846
INSR	2.1384615384615384
AGBL4	2.1384615384615384
AC007493.1	2.1307692307692307
ZFPM2	2.123076923076923
RPL17P50	2.123076923076923
NPNT	2.123076923076923
LINC02151	2.123076923076923
SVEP1	2.1153846153846154
AC011495.1	2.1153846153846154
TUBBP2	2.1
RBMS1	2.1
FGR	2.1
TASOR2	2.0923076923076924
SOX5	2.0846153846153848
FBN2	2.0846153846153848
ARHGEF25	2.0846153846153848
OR4A44P	2.076923076923077
LSP1	2.076923076923077
HNF4GP1	2.076923076923077
ZBTB10	2.0692307692307694
AL590080.1	2.0692307692307694
AC009126.1	2.0692307692307694
KCNK3	2.0615384615384613
ATP2B1	2.0538461538461537
PRDM6	2.046153846153846
NCALD	2.046153846153846
AC091114.1	2.046153846153846
AC087664.2	2.0307692307692307
