Avg bridging: 0.0007632978513874248

Gene	bridging
LPL	0.0120549588328656
PTEN	0.010939063004716476
TFAP2D	0.010929174074072439
TTC28	0.009182652583145505
RAD52	0.009165642237252102
L2HGDH	0.009054195560181463
PRKAG1	0.008985835569038762
FARP2	0.008544417938973405
HOXB7	0.006077065982931173
UFL1	0.005668755293755802
RBFOX1	0.005017503768507732
MTHFR	0.004818173275970171
RNY1P8	0.0036680067163019107
CNNM2	0.0031612072797895185
C12orf75	0.002669693961094768
KCNK3	0.0021336826393067894
AC011495.1	0.002119029696980503
CDC16	0.0021162503873044403
ATAD5	0.0020570207758735556
AC087664.2	0.0019649384310763793
AC007493.1	0.0019407905904556802
TASOR2	0.0018580046699395256
BCAS3	0.001849120547118986
TMEM161B	0.0011380434097015416
AMPD3	0.001055896933878598
CHST9	0.0010304003745928024
ZNF318	0.001020127828952615
GLIS3	0.0009225178671236087
NADK	0.000810500695292412
AC004917.1	0.0007588225929777734
LATS2	0.0007487322340612512
APOB	0.0007433311695219004
AGBL4	0.0006625424738862145
HOXA3	0.0006068964510140977
LINC02151	0.0006031943807950566
NAA60	0.0005696888063817447
FAM13A	0.00055283539646296
SVEP1	0.000533832104619985
NPR3	0.0004812588974219908
RNU6-412P	0.00040262031063943254
HOXC4	0.0003988247098543583
LRCH1	0.00037898551602135404
PREX2	0.0003062964860790552
TUBBP2	0.0003001892489078806
RPL17P50	0.0002969443875937146
FBRSL1	0.00029274840824499966
HTRA1	0.000263107643395817
STK39	0.0002625028209080311
INPP5A	0.00022418677132465763
C5orf67	0.0002203044787095776
FBN2	0.00020446217198314792
PDE11A	0.0001764604090663912
LSP1	0.00016432627638589156
KDF1	0.0001520334194690816
GRIN2B	0.00015135630909934083
C1orf21	0.00011472819821965933
NCALD	0.00010608894647912534
SEMA4A	9.688221472374849e-05
SPRY4	6.316653363353261e-05
PRKAG2	6.165050788201153e-05
GSE1	5.859461668821338e-05
CSRP3	5.8454275952288716e-05
TBR1	5.271843787585109e-05
PRKD1	4.673461560131389e-05
AL590080.1	4.415227994466922e-05
OR4A16	4.289900226219568e-05
INSR	4.09196528353952e-05
LRBA	4.0294781596588494e-05
HNF4GP1	3.804815844241569e-05
EBF2	3.1110436905125304e-05
JAZF1	2.945551861248249e-05
ATP2B1	2.4131993388208376e-05
WASF3	1.8641281631678183e-05
AC068888.1	1.7009067397081093e-05
OR4A44P	1.4532179449664962e-05
ADCY3	1.399010007894108e-05
USP4	1.3368716882169517e-05
AC018735.1	1.32227155590786e-05
CASZ1	1.2511879657897824e-05
AC005586.2	1.0601646808557871e-05
AC096555.1	1.0225994412352134e-05
RNF130	7.171551193911025e-06
DGKH	5.6747409642548045e-06
CELA2A	3.861214737493751e-06
ZMAT2	0.0
ZFPM2	0.0
ZBTB10	0.0
YES1	0.0
YEATS2	0.0
XPR1	0.0
WDR7	0.0
USP36	0.0
TSNARE1	0.0
TRIP12	0.0
TOP3A	0.0
TMEM108	0.0
TFCP2L1	0.0
TERT	0.0
SZT2	0.0
SOX5	0.0
SMOX	0.0
SLC4A1AP	0.0
SIPA1	0.0
RTN4	0.0
RPL31P57	0.0
RGS6	0.0
RBMS1	0.0
PTPRD	0.0
PRKD3	0.0
PRDM6	0.0
PPP2R5E	0.0
PLCE1	0.0
PLCD3	0.0
PEPD	0.0
PDGFC	0.0
PDE8A	0.0
PCCB	0.0
OR5B12	0.0
OR4C50P	0.0
OLA1	0.0
NPNT	0.0
NIBAN2	0.0
NFATC2	0.0
NDUFAF6	0.0
NCOA7	0.0
MKLN1	0.0
MIR4418	0.0
MAST4	0.0
MAD1L1	0.0
LTBP2	0.0
LINC02172	0.0
LINC01857	0.0
LINC01808	0.0
LINC01478	0.0
LINC01153	0.0
LINC01091	0.0
LINC00208	0.0
LCORL	0.0
KLF14	0.0
KDM5A	0.0
KDM4B	0.0
KANK1	0.0
ITGA9	0.0
IRF6	0.0
IRF5	0.0
IER5L	0.0
HSPA12A	0.0
HIPK2	0.0
HIC1	0.0
GVQW3	0.0
GSDME	0.0
FOXC1	0.0
FGR	0.0
FGF9	0.0
FGD5	0.0
DOCK8	0.0
DDHD2	0.0
CWC27	0.0
CRB1	0.0
CPS1	0.0
CNTN3	0.0
CLN8	0.0
CENPP	0.0
CDKAL1	0.0
CCT6A	0.0
BCL2	0.0
BANP	0.0
ARMC4	0.0
ARHGEF25	0.0
AL391117.1	0.0
AHRR	0.0
AF222685.1	0.0
AC138627.1	0.0
AC106053.1	0.0
AC104596.1	0.0
AC103409.1	0.0
AC099541.1	0.0
AC094104.2	0.0
AC090469.2	0.0
AC079943.2	0.0
AC073359.1	0.0
AC072054.1	0.0
AC062015.1	0.0
AC034231.1	0.0
AC021218.1	0.0
AC018953.1	0.0
AC009126.1	0.0
AC007923.2	0.0
