Avg centroid_value: -153.14361702127658

Gene	centroid_value
PRKAG1	16
L2HGDH	-16
FARP2	-50
PTEN	-66
TFAP2D	-73
RBFOX1	-76
LPL	-89
CNNM2	-93
RNY1P8	-100
TTC28	-102
AC011495.1	-105
AC007493.1	-109
MTHFR	-111
BCAS3	-111
AC087664.2	-112
UFL1	-114
CDC16	-115
HOXB7	-116
SVEP1	-117
AMPD3	-118
HOXC4	-119
NAA60	-121
CHST9	-121
LATS2	-125
TMEM161B	-127
KDF1	-128
KCNK3	-128
GLIS3	-128
AC004917.1	-128
NADK	-129
LRCH1	-130
LINC02151	-130
APOB	-130
ZNF318	-131
STK39	-131
HOXA3	-132
HTRA1	-133
FBN2	-133
PREX2	-134
FAM13A	-134
PDE11A	-135
NPR3	-135
FBRSL1	-135
C12orf75	-135
AGBL4	-135
RAD52	-136
INPP5A	-136
C5orf67	-137
TUBBP2	-138
OR4A16	-138
NCALD	-138
RPL17P50	-139
PRKAG2	-140
LSP1	-140
HNF4GP1	-140
EBF2	-140
CLN8	-140
ATP2B1	-140
AL590080.1	-140
SPRY4	-141
CSRP3	-141
ATAD5	-142
OR4A44P	-143
USP4	-144
LRBA	-144
KLF14	-144
AC018735.1	-144
USP36	-147
JAZF1	-147
INSR	-147
TASOR2	-148
SIPA1	-148
PCCB	-148
MAD1L1	-149
ITGA9	-149
PRKD1	-150
MIR4418	-150
FGR	-150
CELA2A	-150
ADCY3	-150
SMOX	-152
BANP	-152
AC104596.1	-152
AC068888.1	-152
AC034231.1	-152
AC018953.1	-152
GRIN2B	-153
AHRR	-153
LINC00208	-155
DDHD2	-155
PLCD3	-156
CDKAL1	-156
YES1	-157
WASF3	-157
LCORL	-157
AC096555.1	-157
PDGFC	-158
LINC01478	-158
KDM4B	-158
RNU6-412P	-159
RBMS1	-159
NFATC2	-159
MAST4	-159
LINC02172	-159
AC099541.1	-159
SZT2	-160
PRDM6	-160
PPP2R5E	-160
OR5B12	-160
LINC01857	-160
DOCK8	-160
CWC27	-160
TOP3A	-161
AC005586.2	-163
PTPRD	-164
CASZ1	-164
ARHGEF25	-164
TBR1	-165
TSNARE1	-168
SEMA4A	-168
ZMAT2	-169
CENPP	-169
GSE1	-171
PEPD	-172
NPNT	-172
TFCP2L1	-173
NCOA7	-173
BCL2	-173
ARMC4	-173
HIPK2	-174
SOX5	-175
LINC01808	-175
DGKH	-176
OLA1	-177
MKLN1	-177
LINC01153	-177
CPS1	-177
RNF130	-179
C1orf21	-180
RGS6	-181
AC103409.1	-183
IRF5	-185
AC007923.2	-185
ZFPM2	-186
ZBTB10	-186
YEATS2	-186
XPR1	-186
WDR7	-186
TRIP12	-186
TMEM108	-186
TERT	-186
SLC4A1AP	-186
RTN4	-186
RPL31P57	-186
PRKD3	-186
PLCE1	-186
PDE8A	-186
OR4C50P	-186
NIBAN2	-186
NDUFAF6	-186
LTBP2	-186
LINC01091	-186
KDM5A	-186
KANK1	-186
IRF6	-186
IER5L	-186
HSPA12A	-186
HIC1	-186
GVQW3	-186
GSDME	-186
FOXC1	-186
FGF9	-186
FGD5	-186
CRB1	-186
CNTN3	-186
CCT6A	-186
AL391117.1	-186
AF222685.1	-186
AC138627.1	-186
AC106053.1	-186
AC094104.2	-186
AC090469.2	-186
AC079943.2	-186
AC073359.1	-186
AC072054.1	-186
AC062015.1	-186
AC021218.1	-186
AC009126.1	-186
