Avg eigenvector: 0.05064236017608202

Gene	eigenvector
PRKAG1	0.2962937649197789
L2HGDH	0.28511718770009237
FARP2	0.25461014951832217
PTEN	0.22571969716872906
TFAP2D	0.20884979053117206
RBFOX1	0.2076216617707422
CNNM2	0.18103457406073184
LPL	0.1702835651670754
RNY1P8	0.16170073452260394
AC011495.1	0.1539720607262329
TTC28	0.14635087255563287
AC007493.1	0.14573777775732882
BCAS3	0.14297292178030016
AC087664.2	0.13302027816075265
MTHFR	0.13096563663081215
UFL1	0.12866428983839834
CDC16	0.12328282097540356
HOXC4	0.12267173292677094
HOXB7	0.12214515899457831
SVEP1	0.12178618390779541
NAA60	0.11335085500227834
AMPD3	0.11211930878167185
AC004917.1	0.10574408571312216
CHST9	0.10321146087220545
LATS2	0.09922899675011729
RAD52	0.0925638451345145
LRCH1	0.09019509546725402
ZNF318	0.08879708423456717
KDF1	0.08844933509421217
APOB	0.08544425166876143
KCNK3	0.08495437918546705
LINC02151	0.08187607815835785
TMEM161B	0.08140638493369506
HTRA1	0.0808428234099763
HOXA3	0.08073104702287322
NADK	0.0803649080792106
STK39	0.0795340687292862
GLIS3	0.07942387756318176
AGBL4	0.0771034452199307
FAM13A	0.0769788283498041
PREX2	0.07584056330773836
NPR3	0.07293351989219328
C5orf67	0.07138286564684251
INPP5A	0.07103126487777545
FBRSL1	0.06940911579667618
C12orf75	0.06876013750432607
PRKAG2	0.06857740267170843
TUBBP2	0.06524358699916936
INSR	0.06509995254214533
LSP1	0.06448069499409456
RPL17P50	0.06424120203598085
NCALD	0.06259091020016215
FBN2	0.062412831671197336
ATP2B1	0.06231353956018367
CSRP3	0.061365365752613914
HNF4GP1	0.060403888650855185
PDE11A	0.059685582532464906
LRBA	0.05943959667519092
EBF2	0.057643263059643735
OR4A16	0.057019898528375176
USP4	0.056180696901805174
CLN8	0.05525660766037797
GRIN2B	0.05411861470709697
SPRY4	0.05404694683635199
KLF14	0.05295030991585702
AC018735.1	0.05292285917837827
AL590080.1	0.052462752481943764
ATAD5	0.05221789015321813
PCCB	0.05139865528592428
FGR	0.05010829752238786
USP36	0.05001962585758515
CELA2A	0.049714127814497126
JAZF1	0.048868713077743646
OR4A44P	0.048278466715260565
TOP3A	0.04541031320279101
SIPA1	0.04225939276653953
ITGA9	0.04002571555566421
SMOX	0.03993237380922403
PRKD1	0.03990821914404564
MIR4418	0.03940528743895058
TASOR2	0.039330694877996106
ADCY3	0.0393051795691849
MAD1L1	0.03873577483294652
WASF3	0.03853309263285113
RBMS1	0.03793537869723353
CDKAL1	0.03707602136626119
TBR1	0.03686923686923408
AC068888.1	0.03665385519362693
BANP	0.035014499416732306
LCORL	0.03322590546134798
PLCD3	0.03220093893113089
OR5B12	0.03191839363727812
AC096555.1	0.03189488592156026
CASZ1	0.031729714131620915
AC018953.1	0.030430424290810238
AC104596.1	0.030390492916947103
DGKH	0.029857638761942893
PRDM6	0.029522662759255653
AC034231.1	0.02933491457771637
PDGFC	0.02925810630164494
ARHGEF25	0.028512992636296516
YES1	0.02832909707220035
GSE1	0.028061851015592335
AHRR	0.027729258687151297
LINC01478	0.027686169974002747
KDM4B	0.027686169974002747
AC005586.2	0.026632965351758804
LINC00208	0.026376036498072197
DDHD2	0.026376036498072197
NFATC2	0.025803706676075355
AC099541.1	0.025803706676075355
LINC02172	0.02506852467400234
BCL2	0.02466916708131202
ZMAT2	0.024277006457256813
HIPK2	0.024203035549281555
TFCP2L1	0.024077228583877154
NCOA7	0.024077228583877154
PTPRD	0.023899759503998138
MAST4	0.02339913742712798
SOX5	0.023304076145363537
RNF130	0.022110871675801013
RNU6-412P	0.021091453060742952
SZT2	0.02040092924442174
PPP2R5E	0.02040092924442174
LINC01857	0.02040092924442174
DOCK8	0.02040092924442174
CWC27	0.02040092924442174
SEMA4A	0.019678480553098836
CENPP	0.018938369643477903
AC103409.1	0.018626257558563276
CPS1	0.018351883326552805
ARMC4	0.017924652250347686
RGS6	0.017681785663819484
TSNARE1	0.017651125110264603
OLA1	0.016371652187888927
MKLN1	0.016371652187888927
PEPD	0.01626231477602419
NPNT	0.01626231477602419
AC007923.2	0.01433032020524013
LINC01808	0.01300229312466715
IRF5	0.01191501917041673
XPR1	0.010396544934238474
TMEM108	0.010396544934238474
SLC4A1AP	0.010396544934238474
PRKD3	0.010396544934238474
PLCE1	0.010396544934238474
NIBAN2	0.010396544934238474
LTBP2	0.010396544934238474
KANK1	0.010396544934238474
IER5L	0.010396544934238474
HSPA12A	0.010396544934238474
HIC1	0.010396544934238474
GSDME	0.010396544934238474
FOXC1	0.010396544934238474
FGD5	0.010396544934238474
CRB1	0.010396544934238474
AL391117.1	0.010396544934238474
AC106053.1	0.010396544934238474
AC079943.2	0.010396544934238474
AC072054.1	0.010396544934238474
ZFPM2	0.010004384310183268
WDR7	0.010004384310183268
TRIP12	0.010004384310183268
PDE8A	0.010004384310183268
NDUFAF6	0.010004384310183268
FGF9	0.010004384310183268
CCT6A	0.010004384310183268
AF222685.1	0.010004384310183268
AC094104.2	0.010004384310183268
AC062015.1	0.010004384310183268
AC009126.1	0.010004384310183268
LINC01153	0.009730857170100185
OR4C50P	0.008933985333294632
AC090469.2	0.008933985333294632
AC021218.1	0.008933985333294632
C1orf21	0.008873257553356502
TERT	0.007920267940164418
LINC01091	0.007920267940164418
CNTN3	0.007920267940164418
YEATS2	0.007328329442729557
KDM5A	0.007328329442729557
ZBTB10	0.005975107253650454
IRF6	0.005975107253650454
GVQW3	0.005975107253650454
AC138627.1	0.005135358598116139
RTN4	0.004514768957128147
AC073359.1	0.004285993989810794
RPL31P57	0.0032480295911986807
