Avg radiality: 2.8890089885083614

Gene	radiality
PRKAG1	3.770053475935829
L2HGDH	3.6844919786096257
FARP2	3.5026737967914436
PTEN	3.4171122994652405
TFAP2D	3.379679144385027
RBFOX1	3.3636363636363638
LPL	3.2941176470588234
CNNM2	3.272727272727273
RNY1P8	3.235294117647059
TTC28	3.2245989304812834
AC011495.1	3.2085561497326203
AC007493.1	3.1871657754010694
MTHFR	3.176470588235294
BCAS3	3.176470588235294
AC087664.2	3.171122994652406
UFL1	3.160427807486631
CDC16	3.1550802139037435
HOXB7	3.1497326203208558
SVEP1	3.144385026737968
AMPD3	3.1390374331550803
HOXC4	3.1336898395721926
NAA60	3.122994652406417
CHST9	3.122994652406417
LATS2	3.1016042780748663
TMEM161B	3.090909090909091
KDF1	3.085561497326203
KCNK3	3.085561497326203
GLIS3	3.085561497326203
AC004917.1	3.085561497326203
NADK	3.0802139037433154
LRCH1	3.0748663101604277
LINC02151	3.0748663101604277
APOB	3.0748663101604277
ZNF318	3.06951871657754
STK39	3.06951871657754
HOXA3	3.064171122994652
HTRA1	3.0588235294117645
FBN2	3.0588235294117645
PREX2	3.053475935828877
FAM13A	3.053475935828877
PDE11A	3.0481283422459895
NPR3	3.0481283422459895
FBRSL1	3.0481283422459895
C12orf75	3.0481283422459895
AGBL4	3.0481283422459895
RAD52	3.0427807486631018
INPP5A	3.0427807486631018
C5orf67	3.037433155080214
OR4A16	3.0320855614973263
NCALD	3.0320855614973263
RPL17P50	3.0267379679144386
PRKAG2	3.021390374331551
LSP1	3.021390374331551
HNF4GP1	3.021390374331551
EBF2	3.021390374331551
CLN8	3.021390374331551
ATP2B1	3.021390374331551
AL590080.1	3.021390374331551
SPRY4	3.016042780748663
CSRP3	3.016042780748663
ATAD5	3.0106951871657754
LRBA	3.0
KLF14	3.0
AC018735.1	3.0
USP36	2.983957219251337
JAZF1	2.983957219251337
INSR	2.983957219251337
TASOR2	2.978609625668449
SIPA1	2.978609625668449
PCCB	2.978609625668449
MAD1L1	2.9732620320855614
ITGA9	2.9732620320855614
PRKD1	2.9679144385026737
MIR4418	2.9679144385026737
FGR	2.9679144385026737
CELA2A	2.9679144385026737
ADCY3	2.9679144385026737
SMOX	2.9572192513368982
BANP	2.9572192513368982
AC104596.1	2.9572192513368982
AC068888.1	2.9572192513368982
AC034231.1	2.9572192513368982
AC018953.1	2.9572192513368982
GRIN2B	2.9518716577540105
AHRR	2.9518716577540105
TUBBP2	2.946524064171123
LINC00208	2.9411764705882355
DDHD2	2.9411764705882355
PLCD3	2.935828877005348
YES1	2.93048128342246
WASF3	2.93048128342246
LCORL	2.93048128342246
AC096555.1	2.93048128342246
PDGFC	2.9251336898395723
LINC01478	2.9251336898395723
KDM4B	2.9251336898395723
RNU6-412P	2.9197860962566846
OR4A44P	2.9197860962566846
NFATC2	2.9197860962566846
MAST4	2.9197860962566846
LINC02172	2.9197860962566846
AC099541.1	2.9197860962566846
USP4	2.914438502673797
SZT2	2.914438502673797
PPP2R5E	2.914438502673797
OR5B12	2.914438502673797
LINC01857	2.914438502673797
DOCK8	2.914438502673797
CWC27	2.914438502673797
TOP3A	2.909090909090909
CASZ1	2.893048128342246
TBR1	2.8877005347593583
CDKAL1	2.8502673796791442
TFCP2L1	2.8449197860962565
NCOA7	2.8449197860962565
BCL2	2.8449197860962565
HIPK2	2.839572192513369
SOX5	2.834224598930481
RBMS1	2.834224598930481
DGKH	2.828877005347594
OLA1	2.823529411764706
MKLN1	2.823529411764706
CPS1	2.823529411764706
RNF130	2.8128342245989306
AC005586.2	2.8128342245989306
PTPRD	2.807486631016043
ARHGEF25	2.807486631016043
RGS6	2.802139037433155
AC103409.1	2.7914438502673797
SEMA4A	2.786096256684492
ZMAT2	2.7807486631016043
CENPP	2.7807486631016043
XPR1	2.7754010695187166
TMEM108	2.7754010695187166
SLC4A1AP	2.7754010695187166
PRKD3	2.7754010695187166
PLCE1	2.7754010695187166
NIBAN2	2.7754010695187166
LTBP2	2.7754010695187166
KANK1	2.7754010695187166
IER5L	2.7754010695187166
HSPA12A	2.7754010695187166
HIC1	2.7754010695187166
GSDME	2.7754010695187166
FOXC1	2.7754010695187166
FGD5	2.7754010695187166
CRB1	2.7754010695187166
AL391117.1	2.7754010695187166
AC106053.1	2.7754010695187166
AC079943.2	2.7754010695187166
AC072054.1	2.7754010695187166
GSE1	2.770053475935829
ARMC4	2.7593582887700534
PRDM6	2.7112299465240643
AC007923.2	2.695187165775401
ZFPM2	2.6898395721925135
WDR7	2.6898395721925135
TRIP12	2.6898395721925135
PDE8A	2.6898395721925135
NDUFAF6	2.6898395721925135
FGF9	2.6898395721925135
CCT6A	2.6898395721925135
AF222685.1	2.6898395721925135
AC094104.2	2.6898395721925135
AC062015.1	2.6898395721925135
AC009126.1	2.6898395721925135
PEPD	2.5828877005347595
NPNT	2.5828877005347595
TSNARE1	2.518716577540107
IRF5	2.513368983957219
OR4C50P	2.5080213903743314
AC090469.2	2.5080213903743314
AC021218.1	2.5080213903743314
LINC01808	2.443850267379679
TERT	2.4224598930481283
LINC01091	2.4224598930481283
CNTN3	2.4224598930481283
YEATS2	2.3850267379679146
KDM5A	2.3850267379679146
ZBTB10	2.299465240641711
LINC01153	2.299465240641711
IRF6	2.299465240641711
GVQW3	2.299465240641711
AC138627.1	2.229946524064171
C1orf21	2.2032085561497325
RTN4	2.165775401069519
AC073359.1	2.1550802139037435
RPL31P57	2.0481283422459895
