Avg bridging: 0.0007632978513874248

Gene	bridging
LPL	0.0120549588328656
PTEN	0.010939063004716476
TFAP2D	0.010929174074072439
TTC28	0.009182652583145505
RAD52	0.009165642237252102
L2HGDH	0.009054195560181463
PRKAG1	0.008985835569038762
FARP2	0.008544417938973405
HOXB7	0.006077065982931173
UFL1	0.005668755293755802
RBFOX1	0.005017503768507732
MTHFR	0.004818173275970171
RNY1P8	0.0036680067163019107
CNNM2	0.0031612072797895185
C12orf75	0.002669693961094768
KCNK3	0.0021336826393067894
AC011495.1	0.002119029696980503
CDC16	0.0021162503873044403
ATAD5	0.0020570207758735556
AC087664.2	0.0019649384310763793
AC007493.1	0.0019407905904556802
TASOR2	0.0018580046699395256
BCAS3	0.001849120547118986
TMEM161B	0.0011380434097015416
AMPD3	0.001055896933878598
CHST9	0.0010304003745928024
ZNF318	0.001020127828952615
GLIS3	0.0009225178671236087
NADK	0.000810500695292412
