Avg score: 0.012338826979912664

Gene	Score
APOE	0.08230675833881697
GATA2	0.07191151481184649
FER	0.03397867476039372
TRIP6	0.03278664398362305
AL355499.1	0.030652435900242064
AC104119.1	0.02820008822834556
OSBPL7	0.023582240776640187
HMGB3P18	0.023321837177951343
SPIB	0.02099097034173767
FAM186B	0.019392598820104284
HGFAC	0.017135051422652352
SUGCT	0.016842934287571273
RANP6	0.01619228698303529
AC091152.3	0.015662437463298734
AC004869.1	0.0156163465258267
PAPPA2	0.01525799797720557
KIF15	0.012608167268312598
MYPN	0.012480908187368642
AC087312.1	0.012356666890286928
