Avg score: 0.008051286004102326

Gene	Score
ZFAND2A	0.09243228957702548
MIR4421	0.04785600844735887
DACH1	0.03367409317051202
SLC7A2	0.03128015683753934
SLC39A8	0.031238621595326463
LRRC10B	0.026942488920257492
CCDC63	0.018114522923035375
RPS27	0.016704995277205432
MMP14	0.016215194448855393
GPR20	0.01471398472808348
PDP2	0.01418170026036467
BANK1	0.01206092126571489
GAB2	0.011242106653348294
DBH	0.01110769086641069
DNAJB4	0.010935444102042403
SSPN	0.010881473461074914
CAPZA1	0.010860169691667783
MECR	0.010344091395085643
CABCOCO1	0.010030824987080652
POLN	0.00978387379487812
AC018866.2	0.00940172562504011
PDE10A	0.009325463803282828
FAM186A	0.009194321888204491
CCDC141	0.008465411756678096
