Avg score: 0.008535976008462818

Gene	Score
AL355499.1	0.09153213866753328
GATA2	0.06800014227454164
AC087312.1	0.03238622591420372
APOE	0.024450135672086395
TRIP6	0.020038997629963518
HGFAC	0.017817603066171014
CCND2	0.0159568676271385
SUGCT	0.014095961295944807
FGD6	0.011291406595589564
VAC14	0.011158480952869594
EDNRA	0.010695847369274267
AC104119.1	0.010424374094529402
OSBPL7	0.010298699522739312
LIG3	0.009985831509752264
MYPN	0.009952660413855534
MORF4L1	0.009550637979112465
FNDC3B	0.009444183318191664
SLC20A2	0.009443592788798224
XRCC6	0.009057222513579481
KIAA1755	0.00901330586606282
KCNH4	0.008897592973770721
AC091152.3	0.00883930606806071
