Avg radiality: 2.7893065998329143

Gene	radiality
AL355499.1	3.6613756613756614
GATA2	3.613756613756614
AC087312.1	3.433862433862434
APOE	3.3492063492063493
CCND2	3.3333333333333335
HGFAC	3.312169312169312
TRIP6	3.2962962962962963
SUGCT	3.2751322751322753
EDNRA	3.248677248677249
AC104119.1	3.248677248677249
FNDC3B	3.185185185185185
KCNH4	3.17989417989418
XRCC6	3.1693121693121693
SPIB	3.1587301587301586
OSBPL7	3.1481481481481484
AC007563.2	3.1375661375661377
PHACTR4	3.132275132275132
MYPN	3.132275132275132
KIAA1755	3.132275132275132
AP003351.1	3.132275132275132
AC091152.3	3.132275132275132
VAC14	3.126984126984127
AC024267.2	3.126984126984127
NOTCH3	3.1164021164021163
FER	3.1164021164021163
PAPPA2	3.105820105820106
KAT2B	3.1005291005291005
KIF15	3.0952380952380953
PROM1	3.0899470899470898
LINC01611	3.0899470899470898
HMGB3P18	3.0899470899470898
FGD6	3.0899470899470898
FHOD3	3.0846560846560847
FOXO3	3.0793650793650795
MYH6	3.0634920634920637
EEPD1	3.0634920634920637
WNT7A	3.058201058201058
PLXDC2	3.052910052910053
DOT1L	3.0476190476190474
TP53	3.037037037037037
ELN	3.037037037037037
COG5	3.037037037037037
AC023161.1	3.0264550264550265
AC004869.1	3.0264550264550265
LINC02230	3.0211640211640214
LIG3	3.0211640211640214
AC074286.1	3.0211640211640214
AC058822.1	3.015873015873016
AC009097.2	3.0105820105820107
FAM186B	3.005291005291005
ZNF467	3.0
MYO1E	3.0
MSH5	3.0
LCA5L	3.0
HDAC9	3.0
RN7SKP15	2.9894179894179893
PYY	2.9894179894179893
AC009070.1	2.9894179894179893
AP000317.2	2.9788359788359786
EBF1	2.9735449735449735
ODF2L	2.962962962962963
PRKCE	2.947089947089947
ARL6IP6	2.9365079365079363
LRRC69	2.925925925925926
JCAD	2.925925925925926
MAPK4	2.9153439153439153
SAMD4AA	2.9100529100529102
TMEM239	2.9047619047619047
NEBL	2.9047619047619047
KCNQ5	2.8994708994708995
RANP6	2.888888888888889
PSMG2	2.878306878306878
MPPE1P1	2.878306878306878
AC093904.1	2.878306878306878
AL163932.1	2.873015873015873
ABCC9	2.867724867724868
RIN3	2.8624338624338623
MAP2K2	2.8624338624338623
CYBRD1	2.8624338624338623
RABGAP1	2.857142857142857
MORF4L1	2.8306878306878307
UQCR10	2.8253968253968256
ULK4	2.804232804232804
LUZP1	2.804232804232804
AL356364.1	2.798941798941799
TMX2	2.7936507936507935
CCDC30	2.7936507936507935
ITGA1	2.7883597883597884
ZBTB20	2.7830687830687832
AC022274.1	2.7724867724867726
SLC14A2	2.767195767195767
PRDM11	2.767195767195767
AL359091.2	2.767195767195767
PROCR	2.761904761904762
TRANK1	2.7566137566137567
FNDC1	2.751322751322751
AC120498.4	2.740740740740741
TNRC6A	2.7354497354497354
FHL2	2.7354497354497354
DYNLRB1	2.7354497354497354
ANKUB1	2.7354497354497354
UBAP1	2.7301587301587302
SGIP1	2.7248677248677247
DNM2	2.7248677248677247
COL6A1	2.7248677248677247
MCF2L	2.7195767195767195
AL049775.2	2.7195767195767195
AC067959.1	2.7195767195767195
ING1	2.7037037037037037
ADCY5	2.6984126984126986
THEM7P	2.693121693121693
NOX4	2.693121693121693
INHBA	2.693121693121693
BRD1	2.687830687830688
ZNF516	2.6825396825396823
MLIP	2.6825396825396823
ESR1	2.6825396825396823
WIPF1	2.677248677248677
LIN54	2.677248677248677
CREB5	2.677248677248677
YKT6	2.671957671957672
CHD2	2.671957671957672
YY1	2.6666666666666665
TRIOBP	2.6666666666666665
TRHR	2.6666666666666665
TNRC6B	2.6666666666666665
TCF7L1	2.6666666666666665
SLC22A3	2.6666666666666665
PDE3A	2.6666666666666665
PALLD	2.6666666666666665
NFAT5	2.6666666666666665
FBLN5	2.6666666666666665
EDN1	2.6666666666666665
DDAH1	2.6666666666666665
COL6A3	2.6666666666666665
COL21A1	2.6666666666666665
COL15A1	2.6666666666666665
CDKN1A	2.6666666666666665
CD46	2.6666666666666665
ARMH3	2.6666666666666665
AL365295.1	2.6666666666666665
AL357146.1	2.6666666666666665
AFAP1	2.6666666666666665
G6PC2	2.64021164021164
CEP164	2.64021164021164
SGCD	2.634920634920635
SCAI	2.634920634920635
GIPR	2.624338624338624
TRAPPC9	2.619047619047619
STAB1	2.619047619047619
RNF207	2.619047619047619
PHACTR1	2.619047619047619
MXRA7	2.619047619047619
LUCAT1	2.619047619047619
LHFPL2	2.619047619047619
FBN1	2.619047619047619
CYP20A1	2.619047619047619
CCDC157	2.619047619047619
C1QTNF7	2.619047619047619
AL691420.1	2.619047619047619
AC004156.1	2.582010582010582
SLC20A2	2.5555555555555554
CCDC75P1	2.544973544973545
RNU4-35P	2.5291005291005293
LINC02544	2.513227513227513
AC018706.1	2.497354497354497
RAMP2	2.4656084656084656
CMSS1	2.4656084656084656
WDR1	2.455026455026455
ZCCHC2	2.439153439153439
BNC2	2.439153439153439
YAP1	2.3915343915343916
SCN10A	2.3703703703703702
TCF7L2	2.3544973544973544
PHF19	2.3544973544973544
CRK	2.3544973544973544
ADAMTS8	2.3544973544973544
CNRIP1	2.3174603174603177
RREB1	2.3015873015873014
CRACR2B	2.3015873015873014
ARHGAP12	2.3015873015873014
TSPAN14	2.2804232804232805
ZNF827	2.185185185185185
CELF2	2.185185185185185
FBXL17	2.1375661375661377
SMAD3	2.132275132275132
LINC01569	2.0952380952380953
AF207955.1	2.0264550264550265
ARL14	1.835978835978836
TBL1XR1	1.560846560846561
